2022-07-20 16:38:39.307847 Epoch 1, Train loss 0.8098, Train acc 49.91%, Val loss 0.7777, Val acc 49.91%
2022-07-20 17:10:41.361068 Epoch 2, Train loss 0.7561, Train acc 49.89%, Val loss 0.7117, Val acc 49.94%
2022-07-20 17:44:07.274841 Epoch 3, Train loss 0.6959, Train acc 49.9%, Val loss 0.6581, Val acc 49.95%
2022-07-20 18:17:18.995603 Epoch 4, Train loss 0.6544, Train acc 49.9%, Val loss 0.6333, Val acc 49.92%
2022-07-20 18:47:47.049222 Epoch 5, Train loss 0.6363, Train acc 49.9%, Val loss 0.604, Val acc 49.98%
2022-07-20 21:53:52.325254 Epoch 1, Train loss 0.5999, Train acc 72.97%, Val loss 0.5485, Val acc 81.4%
2022-07-20 22:11:17.799047 Epoch 2, Train loss 0.5403, Train acc 82.79%, Val loss 0.5003, Val acc 86.69%
2022-07-20 22:28:49.985342 Epoch 3, Train loss 0.5058, Train acc 86.2%, Val loss 0.4863, Val acc 86.74%
2022-07-20 22:46:58.936926 Epoch 4, Train loss 0.4846, Train acc 87.07%, Val loss 0.4637, Val acc 87.46%
2022-07-20 23:05:20.933857 Epoch 5, Train loss 0.4583, Train acc 88.6%, Val loss 0.4284, Val acc 89.68%
2022-07-20 23:23:24.414832 Epoch 6, Train loss 0.4438, Train acc 88.83%, Val loss 0.4221, Val acc 88.84%
2022-07-20 23:42:10.837727 Epoch 7, Train loss 0.4221, Train acc 89.27%, Val loss 0.3948, Val acc 89.95%
2022-07-21 00:01:30.888974 Epoch 8, Train loss 0.4018, Train acc 90.17%, Val loss 0.3832, Val acc 89.84%
2022-07-21 00:20:04.989605 Epoch 9, Train loss 0.3886, Train acc 90.18%, Val loss 0.3765, Val acc 89.5%
2022-07-21 00:37:38.176423 Epoch 10, Train loss 0.3775, Train acc 90.59%, Val loss 0.3557, Val acc 90.94%
2022-07-21 00:56:38.510267 Epoch 11, Train loss 0.36, Train acc 91.37%, Val loss 0.3379, Val acc 92.06%
2022-07-21 01:19:51.288266 Epoch 12, Train loss 0.3421, Train acc 92.39%, Val loss 0.3457, Val acc 91.48%
2022-07-21 01:37:01.800466 Epoch 13, Train loss 0.3346, Train acc 92.13%, Val loss 0.3232, Val acc 92.03%
2022-07-21 01:54:23.718581 Epoch 14, Train loss 0.3135, Train acc 93.27%, Val loss 0.3067, Val acc 92.75%
2022-07-21 02:11:54.938540 Epoch 15, Train loss 0.3002, Train acc 93.52%, Val loss 0.2949, Val acc 92.97%
2022-07-21 02:29:31.122629 Epoch 16, Train loss 0.2939, Train acc 93.49%, Val loss 0.2791, Val acc 93.67%
