2022-07-14 18:56:48.508607 Epoch 1, Train loss 0.7518, Train acc 32.81%, Val loss 0.831, Val acc 0.0%
2022-07-14 18:56:51.369060 Epoch 2, Train loss 0.144, Train acc 100.0%, Val loss 0.2682, Val acc 100.0%
2022-07-14 18:56:53.899838 Epoch 3, Train loss 0.0098, Train acc 100.0%, Val loss 0.0051, Val acc 100.0%
2022-07-14 18:56:56.405576 Epoch 4, Train loss 0.0097, Train acc 100.0%, Val loss 0.0001, Val acc 100.0%
2022-07-14 18:56:59.463303 Epoch 5, Train loss 0.0097, Train acc 100.0%, Val loss 0.0, Val acc 100.0%
2022-07-14 18:58:41.354095 Epoch 1, Train loss 0.761, Train acc 0.0%, Val loss 0.7507, Val acc 0.0%
2022-07-14 18:58:44.287602 Epoch 2, Train loss 0.7603, Train acc 0.0%, Val loss 0.7505, Val acc 0.0%
2022-07-14 18:58:46.821264 Epoch 3, Train loss 0.76, Train acc 0.0%, Val loss 0.7503, Val acc 0.0%
2022-07-14 18:58:49.377866 Epoch 4, Train loss 0.7597, Train acc 0.0%, Val loss 0.7501, Val acc 0.0%
2022-07-14 18:58:52.204008 Epoch 5, Train loss 0.7595, Train acc 0.0%, Val loss 0.7499, Val acc 0.0%
2022-07-14 18:58:54.755838 Epoch 6, Train loss 0.7593, Train acc 0.0%, Val loss 0.7497, Val acc 0.0%
2022-07-14 18:58:57.272591 Epoch 7, Train loss 0.759, Train acc 0.0%, Val loss 0.7495, Val acc 0.0%
2022-07-14 18:58:59.847825 Epoch 8, Train loss 0.7588, Train acc 0.0%, Val loss 0.7493, Val acc 0.0%
2022-07-14 18:59:02.713793 Epoch 9, Train loss 0.7585, Train acc 0.0%, Val loss 0.749, Val acc 0.0%
2022-07-14 18:59:05.297163 Epoch 10, Train loss 0.7583, Train acc 0.0%, Val loss 0.7488, Val acc 0.0%
2022-07-14 18:59:07.817583 Epoch 11, Train loss 0.758, Train acc 0.0%, Val loss 0.7486, Val acc 0.0%
