2022-06-27 20:53:36.542027 Epoch 1, Train loss 0.702, Train acc 49.85%, Val loss 0.7101, Val acc 50.0%
2022-06-27 20:54:37.584022 Epoch 2, Train loss 0.6608, Train acc 60.84%, Val loss 0.944, Val acc 59.57%
2022-06-27 20:55:38.099070 Epoch 3, Train loss 0.5651, Train acc 68.7%, Val loss 2.4575, Val acc 50.0%
2022-06-27 20:56:38.911931 Epoch 4, Train loss 0.5246, Train acc 72.36%, Val loss 1.0375, Val acc 52.93%
2022-06-27 20:57:37.076826 Epoch 5, Train loss 0.5248, Train acc 71.34%, Val loss 2.0877, Val acc 49.61%
2022-06-27 20:58:36.911007 Epoch 6, Train loss 0.5168, Train acc 71.53%, Val loss 0.6163, Val acc 58.98%
2022-06-27 20:59:37.718276 Epoch 7, Train loss 0.5169, Train acc 71.88%, Val loss 0.6052, Val acc 64.65%
2022-06-27 21:00:38.259469 Epoch 8, Train loss 0.5305, Train acc 71.0%, Val loss 1.4797, Val acc 48.24%
2022-06-27 21:01:39.035433 Epoch 9, Train loss 0.5084, Train acc 72.36%, Val loss 3.2791, Val acc 49.8%
2022-06-27 21:02:38.319302 Epoch 10, Train loss 0.5058, Train acc 72.66%, Val loss 4.2706, Val acc 48.83%
2022-06-27 21:03:38.931113 Epoch 11, Train loss 0.4969, Train acc 73.24%, Val loss 0.5613, Val acc 71.29%
2022-06-27 21:04:39.745954 Epoch 12, Train loss 0.4957, Train acc 73.63%, Val loss 1.6144, Val acc 49.8%
2022-06-27 21:05:40.403262 Epoch 13, Train loss 0.5084, Train acc 72.61%, Val loss 7.885, Val acc 49.61%
2022-06-27 21:06:38.853041 Epoch 14, Train loss 0.505, Train acc 72.51%, Val loss 1.3102, Val acc 50.0%
2022-06-27 21:07:38.560192 Epoch 15, Train loss 0.4972, Train acc 73.88%, Val loss 0.568, Val acc 65.62%
2022-06-27 21:08:38.858266 Epoch 16, Train loss 0.4993, Train acc 72.95%, Val loss 0.6632, Val acc 50.0%
2022-06-27 21:09:39.540026 Epoch 17, Train loss 0.4868, Train acc 74.46%, Val loss 3.8509, Val acc 49.41%
2022-06-27 21:10:37.241762 Epoch 18, Train loss 0.491, Train acc 75.1%, Val loss 0.5273, Val acc 71.88%
2022-06-27 21:11:33.482783 Epoch 19, Train loss 0.4788, Train acc 75.39%, Val loss 1.2302, Val acc 51.37%
2022-06-27 21:12:29.815043 Epoch 20, Train loss 0.4888, Train acc 74.17%, Val loss 1.9884, Val acc 45.51%
2022-06-27 21:13:26.465043 Epoch 21, Train loss 0.4751, Train acc 76.32%, Val loss 1.5997, Val acc 49.8%
2022-06-27 21:14:22.792811 Epoch 22, Train loss 0.4622, Train acc 77.25%, Val loss 1.3739, Val acc 56.05%
2022-06-27 21:15:19.008622 Epoch 23, Train loss 0.44, Train acc 77.98%, Val loss 4.7564, Val acc 49.41%
2022-06-27 21:16:15.300654 Epoch 24, Train loss 0.433, Train acc 79.2%, Val loss 1.7463, Val acc 50.0%
2022-06-27 21:17:11.782763 Epoch 25, Train loss 0.4029, Train acc 80.96%, Val loss 1.9084, Val acc 59.57%
2022-06-27 21:18:08.057897 Epoch 26, Train loss 0.4294, Train acc 80.27%, Val loss 4.7548, Val acc 50.2%
2022-06-27 21:19:04.344900 Epoch 27, Train loss 0.3981, Train acc 82.57%, Val loss 1.6032, Val acc 60.55%
2022-06-27 21:20:04.897782 Epoch 28, Train loss 0.3794, Train acc 83.4%, Val loss 2.6327, Val acc 54.49%
