2022-06-28 14:20:11.455702 Epoch 1, Train loss 0.6894, Train acc 65.58%, Val loss 0.6416, Val acc 70.51%
2022-06-28 14:21:10.432517 Epoch 2, Train loss 0.6287, Train acc 72.71%, Val loss 0.8358, Val acc 50.0%
2022-06-28 14:22:07.891782 Epoch 3, Train loss 0.5858, Train acc 70.7%, Val loss 0.8635, Val acc 50.0%
2022-06-28 14:23:05.412059 Epoch 4, Train loss 0.5479, Train acc 72.17%, Val loss 1.2689, Val acc 50.0%
2022-06-28 14:24:03.579301 Epoch 5, Train loss 0.5205, Train acc 73.19%, Val loss 0.5652, Val acc 68.16%
2022-06-28 14:25:01.270785 Epoch 6, Train loss 0.5094, Train acc 72.75%, Val loss 1.4418, Val acc 50.2%
2022-06-28 14:25:59.360579 Epoch 7, Train loss 0.5021, Train acc 73.39%, Val loss 1.2895, Val acc 50.0%
2022-06-28 14:26:57.463449 Epoch 8, Train loss 0.487, Train acc 74.56%, Val loss 0.6479, Val acc 60.94%
2022-06-28 14:27:55.890255 Epoch 9, Train loss 0.5027, Train acc 72.9%, Val loss 0.5531, Val acc 66.02%
2022-06-28 14:28:53.890943 Epoch 10, Train loss 0.5049, Train acc 72.9%, Val loss 3.6857, Val acc 50.0%
2022-06-28 14:29:51.993539 Epoch 11, Train loss 0.4907, Train acc 73.93%, Val loss 1.5394, Val acc 50.0%
2022-06-28 14:30:50.273224 Epoch 12, Train loss 0.4956, Train acc 73.29%, Val loss 1.2742, Val acc 51.17%
2022-06-28 14:31:48.811005 Epoch 13, Train loss 0.493, Train acc 73.54%, Val loss 0.5173, Val acc 71.09%
2022-06-28 14:32:47.093763 Epoch 14, Train loss 0.4862, Train acc 74.32%, Val loss 0.7258, Val acc 61.33%
2022-06-28 14:33:45.178244 Epoch 15, Train loss 0.4747, Train acc 74.85%, Val loss 6.1151, Val acc 50.0%
2022-06-28 14:34:43.419607 Epoch 16, Train loss 0.5204, Train acc 71.88%, Val loss 0.6897, Val acc 59.38%
2022-06-28 14:35:42.224553 Epoch 17, Train loss 0.4998, Train acc 73.14%, Val loss 0.7381, Val acc 57.81%
2022-06-28 14:36:40.270183 Epoch 18, Train loss 0.4993, Train acc 73.19%, Val loss 0.5095, Val acc 72.66%
