2022-06-27 17:02:38.155152 Epoch 1, Train loss 0.9567, Train acc 50.0%, Val loss 0.7089, Val acc 50.0%
2022-06-27 17:02:39.183581 Epoch 2, Train loss 0.9843, Train acc 33.33%, Val loss 0.697, Val acc 50.0%
2022-06-27 17:02:39.903477 Epoch 3, Train loss 0.8422, Train acc 58.33%, Val loss 0.6947, Val acc 50.0%
2022-06-27 17:02:40.625360 Epoch 4, Train loss 0.9066, Train acc 45.83%, Val loss 0.7014, Val acc 50.0%
2022-06-27 17:02:41.690311 Epoch 5, Train loss 0.8371, Train acc 54.17%, Val loss 0.7115, Val acc 50.0%
2022-06-27 17:02:42.472794 Epoch 6, Train loss 0.7639, Train acc 58.33%, Val loss 0.7048, Val acc 50.0%
2022-06-27 17:02:43.200991 Epoch 7, Train loss 0.8814, Train acc 33.33%, Val loss 0.6992, Val acc 50.0%
2022-06-27 17:02:43.934184 Epoch 8, Train loss 0.9526, Train acc 41.67%, Val loss 0.6951, Val acc 50.0%
2022-06-27 17:02:45.003457 Epoch 9, Train loss 1.0105, Train acc 33.33%, Val loss 0.715, Val acc 50.0%
2022-06-27 17:02:45.767526 Epoch 10, Train loss 0.9689, Train acc 33.33%, Val loss 0.7462, Val acc 50.0%
2022-06-27 17:02:46.506434 Epoch 11, Train loss 0.8637, Train acc 45.83%, Val loss 0.7754, Val acc 50.0%
2022-06-27 17:02:47.244228 Epoch 12, Train loss 0.8639, Train acc 45.83%, Val loss 0.7361, Val acc 50.0%
2022-06-27 17:02:48.253200 Epoch 13, Train loss 0.7894, Train acc 50.0%, Val loss 0.7287, Val acc 50.0%
2022-06-27 17:02:48.995347 Epoch 14, Train loss 0.8891, Train acc 50.0%, Val loss 1.1342, Val acc 50.0%
2022-06-27 17:02:49.711971 Epoch 15, Train loss 0.9329, Train acc 41.67%, Val loss 0.9132, Val acc 50.0%
2022-06-27 17:02:50.451784 Epoch 16, Train loss 1.0451, Train acc 25.0%, Val loss 1.0126, Val acc 50.0%
2022-06-27 17:02:51.521288 Epoch 17, Train loss 0.7477, Train acc 62.5%, Val loss 0.9377, Val acc 50.0%
2022-06-27 17:02:52.252774 Epoch 18, Train loss 1.0078, Train acc 37.5%, Val loss 0.7278, Val acc 50.0%
2022-06-27 17:02:52.975613 Epoch 19, Train loss 0.8595, Train acc 45.83%, Val loss 0.788, Val acc 50.0%
2022-06-27 17:02:53.706130 Epoch 20, Train loss 0.9363, Train acc 58.33%, Val loss 1.1117, Val acc 50.0%
2022-06-27 17:02:54.737294 Epoch 21, Train loss 0.6897, Train acc 79.17%, Val loss 1.6961, Val acc 50.0%
2022-06-27 17:02:55.467893 Epoch 22, Train loss 0.8021, Train acc 58.33%, Val loss 1.7686, Val acc 50.0%
2022-06-27 17:02:56.195317 Epoch 23, Train loss 0.8191, Train acc 62.5%, Val loss 1.801, Val acc 50.0%
2022-06-27 17:02:56.936100 Epoch 24, Train loss 0.9791, Train acc 37.5%, Val loss 1.4527, Val acc 50.0%
2022-06-27 17:02:57.985761 Epoch 25, Train loss 0.8793, Train acc 45.83%, Val loss 1.3578, Val acc 50.0%
2022-06-27 17:02:58.709147 Epoch 26, Train loss 0.8428, Train acc 41.67%, Val loss 1.2582, Val acc 50.0%
2022-06-27 17:02:59.445011 Epoch 27, Train loss 0.9876, Train acc 37.5%, Val loss 1.0811, Val acc 50.0%
2022-06-27 17:03:00.170720 Epoch 28, Train loss 0.9799, Train acc 33.33%, Val loss 0.7474, Val acc 50.0%
2022-06-27 17:03:01.200119 Epoch 29, Train loss 0.7218, Train acc 66.67%, Val loss 0.7019, Val acc 50.0%
2022-06-27 17:03:01.937827 Epoch 30, Train loss 0.7392, Train acc 62.5%, Val loss 0.7019, Val acc 50.0%
2022-06-27 17:03:02.690941 Epoch 31, Train loss 0.8307, Train acc 41.67%, Val loss 0.6939, Val acc 50.0%
2022-06-27 17:03:03.429678 Epoch 32, Train loss 0.7796, Train acc 54.17%, Val loss 0.6939, Val acc 50.0%
2022-06-27 17:03:04.531427 Epoch 33, Train loss 0.7661, Train acc 54.17%, Val loss 0.6979, Val acc 50.0%
2022-06-27 17:03:05.253397 Epoch 34, Train loss 0.7662, Train acc 54.17%, Val loss 0.6961, Val acc 50.0%
2022-06-27 17:03:05.978055 Epoch 35, Train loss 0.766, Train acc 50.0%, Val loss 0.7253, Val acc 50.0%
2022-06-27 17:03:06.703263 Epoch 36, Train loss 0.7657, Train acc 54.17%, Val loss 0.7354, Val acc 50.0%
2022-06-27 17:03:07.728593 Epoch 37, Train loss 0.8613, Train acc 54.17%, Val loss 0.747, Val acc 50.0%
2022-06-27 17:03:08.472494 Epoch 38, Train loss 0.8817, Train acc 50.0%, Val loss 0.7309, Val acc 50.0%
2022-06-27 17:03:09.207797 Epoch 39, Train loss 0.8052, Train acc 58.33%, Val loss 0.7206, Val acc 50.0%
2022-06-27 17:03:09.953776 Epoch 40, Train loss 0.6741, Train acc 62.5%, Val loss 0.6961, Val acc 50.0%
