2022-08-04 03:51:20.479379 Epoch 1, Train loss 1.0773, Val loss 0.7636, Perfect loss 0.0012
2022-08-04 04:03:02.069679 Epoch 2, Train loss 0.6662, Val loss 0.6542, Perfect loss 0.0012
2022-08-04 04:15:23.224803 Epoch 3, Train loss 0.5331, Val loss 0.5511, Perfect loss 0.0012
2022-08-04 04:26:56.430389 Epoch 4, Train loss 0.4645, Val loss 0.5249, Perfect loss 0.0012
2022-08-04 04:38:27.541499 Epoch 5, Train loss 0.4129, Val loss 0.5361, Perfect loss 0.0012
2022-08-04 04:50:16.635773 Epoch 6, Train loss 0.3864, Val loss 0.5227, Perfect loss 0.0012
2022-08-04 05:01:44.386532 Epoch 7, Train loss 0.3499, Val loss 0.4571, Perfect loss 0.0012
2022-08-04 05:13:12.833802 Epoch 8, Train loss 0.3391, Val loss 0.4024, Perfect loss 0.0012
2022-08-04 05:24:43.087067 Epoch 9, Train loss 0.2873, Val loss 0.3294, Perfect loss 0.0012
2022-08-04 05:36:11.869080 Epoch 10, Train loss 0.2868, Val loss 0.4095, Perfect loss 0.0012
2022-08-04 05:47:41.822771 Epoch 11, Train loss 0.2582, Val loss 0.369, Perfect loss 0.0012
2022-08-04 05:59:09.772373 Epoch 12, Train loss 0.2511, Val loss 0.4008, Perfect loss 0.0012
2022-08-04 06:10:37.919476 Epoch 13, Train loss 0.2892, Val loss 0.3718, Perfect loss 0.0012
2022-08-04 06:22:07.917908 Epoch 14, Train loss 0.2708, Val loss 0.3705, Perfect loss 0.0012
2022-08-04 06:33:36.478383 Epoch 15, Train loss 0.2395, Val loss 0.409, Perfect loss 0.0012
2022-08-04 06:45:04.032945 Epoch 16, Train loss 0.222, Val loss 0.3376, Perfect loss 0.0012
2022-08-04 06:56:32.402703 Epoch 17, Train loss 0.2126, Val loss 0.2937, Perfect loss 0.0012
2022-08-04 07:08:01.629972 Epoch 18, Train loss 0.2172, Val loss 0.2843, Perfect loss 0.0012
2022-08-04 07:19:28.852694 Epoch 19, Train loss 0.2014, Val loss 0.3536, Perfect loss 0.0012
2022-08-04 07:30:56.891771 Epoch 20, Train loss 0.212, Val loss 0.3392, Perfect loss 0.0012
2022-08-04 07:42:25.815514 Epoch 21, Train loss 0.1859, Val loss 0.3667, Perfect loss 0.0012
2022-08-04 07:53:55.170430 Epoch 22, Train loss 0.2095, Val loss 0.2756, Perfect loss 0.0013
2022-08-04 08:05:24.577036 Epoch 23, Train loss 0.182, Val loss 0.3725, Perfect loss 0.0013
2022-08-04 08:16:54.173673 Epoch 24, Train loss 0.1918, Val loss 0.3187, Perfect loss 0.0013
2022-08-04 08:28:17.753136 Epoch 25, Train loss 0.1895, Val loss 0.3581, Perfect loss 0.0013
2022-08-04 08:39:46.475785 Epoch 26, Train loss 0.1795, Val loss 0.396, Perfect loss 0.0013
2022-08-04 08:51:17.624922 Epoch 27, Train loss 0.1954, Val loss 0.3071, Perfect loss 0.0013
2022-08-04 09:02:45.991297 Epoch 28, Train loss 0.168, Val loss 0.2763, Perfect loss 0.0013
2022-08-04 09:14:14.496921 Epoch 29, Train loss 0.1602, Val loss 0.363, Perfect loss 0.0013
2022-08-04 09:25:43.007728 Epoch 30, Train loss 0.1566, Val loss 0.2697, Perfect loss 0.0013
2022-08-04 09:37:10.385649 Epoch 31, Train loss 0.1598, Val loss 0.4092, Perfect loss 0.0013
2022-08-04 09:48:39.890575 Epoch 32, Train loss 0.1631, Val loss 0.413, Perfect loss 0.0013
2022-08-04 10:00:07.812449 Epoch 33, Train loss 0.1653, Val loss 0.3127, Perfect loss 0.0013
2022-08-04 10:11:36.867037 Epoch 34, Train loss 0.1582, Val loss 0.3089, Perfect loss 0.0013
2022-08-04 10:23:06.065517 Epoch 35, Train loss 0.1562, Val loss 0.2666, Perfect loss 0.0013
2022-08-04 10:34:36.575140 Epoch 36, Train loss 0.1495, Val loss 0.2988, Perfect loss 0.0013
2022-08-04 10:46:06.383331 Epoch 37, Train loss 0.1546, Val loss 0.2468, Perfect loss 0.0013
2022-08-04 10:57:36.271063 Epoch 38, Train loss 0.1397, Val loss 0.2382, Perfect loss 0.0013
2022-08-04 11:09:05.094991 Epoch 39, Train loss 0.1391, Val loss 0.3077, Perfect loss 0.0013
2022-08-04 11:20:33.799655 Epoch 40, Train loss 0.1514, Val loss 0.3108, Perfect loss 0.0013
2022-08-04 11:32:03.514258 Epoch 41, Train loss 0.1395, Val loss 0.3285, Perfect loss 0.0013
2022-08-04 11:43:34.060970 Epoch 42, Train loss 0.1441, Val loss 0.265, Perfect loss 0.0013
2022-08-04 11:55:29.550086 Epoch 43, Train loss 0.1297, Val loss 0.4254, Perfect loss 0.0013
2022-08-04 12:07:18.478307 Epoch 44, Train loss 0.1359, Val loss 0.4775, Perfect loss 0.0013
2022-08-04 12:18:49.981087 Epoch 45, Train loss 0.13, Val loss 0.3177, Perfect loss 0.0013
2022-08-04 12:30:18.201402 Epoch 46, Train loss 0.135, Val loss 0.3379, Perfect loss 0.0013
2022-08-04 12:41:45.869633 Epoch 47, Train loss 0.1239, Val loss 0.3251, Perfect loss 0.0013
2022-08-04 12:53:17.956085 Epoch 48, Train loss 0.131, Val loss 0.2849, Perfect loss 0.0013
2022-08-04 13:04:51.702713 Epoch 49, Train loss 0.1266, Val loss 0.2506, Perfect loss 0.0013
2022-08-04 13:16:41.804327 Epoch 50, Train loss 0.1231, Val loss 0.2496, Perfect loss 0.0013
2022-08-04 13:28:17.030218 Epoch 51, Train loss 0.1156, Val loss 0.381, Perfect loss 0.0013
2022-08-04 13:39:47.956480 Epoch 52, Train loss 0.146, Val loss 0.3048, Perfect loss 0.0013
2022-08-04 13:51:17.676142 Epoch 53, Train loss 0.127, Val loss 0.2469, Perfect loss 0.0013
2022-08-04 14:02:52.184009 Epoch 54, Train loss 0.1183, Val loss 0.2456, Perfect loss 0.0013
2022-08-04 14:14:40.503610 Epoch 55, Train loss 0.1109, Val loss 0.2603, Perfect loss 0.0013
2022-08-04 14:26:11.625180 Epoch 56, Train loss 0.1244, Val loss 0.2991, Perfect loss 0.0013
2022-08-04 14:38:05.295052 Epoch 57, Train loss 0.1078, Val loss 0.2929, Perfect loss 0.0013
2022-08-04 14:49:43.568273 Epoch 58, Train loss 0.1024, Val loss 0.3288, Perfect loss 0.0013
2022-08-04 15:01:15.472574 Epoch 59, Train loss 0.1185, Val loss 0.3656, Perfect loss 0.0013
2022-08-04 15:12:47.377362 Epoch 60, Train loss 0.1199, Val loss 0.3539, Perfect loss 0.0013
