2022-08-03 02:39:45.470874 Epoch 1, Train loss 1.6339, Val loss 1.7836
2022-08-03 02:54:22.654957 Epoch 2, Train loss 1.0762, Val loss 1.0096
2022-08-03 03:08:55.752890 Epoch 3, Train loss 0.6787, Val loss 0.4814
2022-08-03 03:23:37.436107 Epoch 4, Train loss 0.4042, Val loss 0.5092
2022-08-03 03:38:24.866665 Epoch 5, Train loss 0.3719, Val loss 0.5138
2022-08-03 03:53:30.721681 Epoch 6, Train loss 0.347, Val loss 0.4331
2022-08-03 04:08:30.193347 Epoch 7, Train loss 0.3058, Val loss 0.3604
2022-08-03 04:23:57.499501 Epoch 8, Train loss 0.3081, Val loss 0.7175
2022-08-03 04:38:58.577147 Epoch 9, Train loss 0.3081, Val loss 0.9043
2022-08-03 04:53:39.309008 Epoch 10, Train loss 0.3132, Val loss 0.5502
2022-08-03 05:08:29.296213 Epoch 11, Train loss 0.2796, Val loss 0.6832
2022-08-03 05:23:38.221480 Epoch 12, Train loss 0.2919, Val loss 0.4894
2022-08-03 05:39:24.563450 Epoch 13, Train loss 0.3049, Val loss 0.4485
2022-08-03 05:54:42.633169 Epoch 14, Train loss 0.2843, Val loss 1.2903
2022-08-03 06:09:22.655185 Epoch 15, Train loss 0.2984, Val loss 0.6354
2022-08-03 06:24:03.353280 Epoch 16, Train loss 0.2806, Val loss 0.5835
2022-08-03 06:38:44.865971 Epoch 17, Train loss 0.2921, Val loss 1.9688
2022-08-03 06:53:26.876600 Epoch 18, Train loss 0.2888, Val loss 1.1894
2022-08-03 07:08:07.904240 Epoch 19, Train loss 0.2739, Val loss 1.193
2022-08-03 07:22:50.360460 Epoch 20, Train loss 0.2877, Val loss 2.3251
2022-08-03 07:37:33.212805 Epoch 21, Train loss 0.2818, Val loss 0.5827
2022-08-03 07:52:14.517636 Epoch 22, Train loss 0.2691, Val loss 1.2129
2022-08-03 08:07:01.397796 Epoch 23, Train loss 0.2779, Val loss 1.0175
2022-08-03 08:21:43.831957 Epoch 24, Train loss 0.2818, Val loss 2.3224
2022-08-03 08:36:27.037749 Epoch 25, Train loss 0.2731, Val loss 1.0218
2022-08-03 08:51:10.502764 Epoch 26, Train loss 0.2913, Val loss 0.646
2022-08-03 09:05:53.233223 Epoch 27, Train loss 0.2779, Val loss 0.6296
2022-08-03 09:20:36.652688 Epoch 28, Train loss 0.2779, Val loss 0.5001
2022-08-03 09:35:22.504862 Epoch 29, Train loss 0.2741, Val loss 0.5888
2022-08-03 09:50:02.934519 Epoch 30, Train loss 0.2763, Val loss 0.9424
2022-08-03 10:04:44.779371 Epoch 31, Train loss 0.2803, Val loss 2.2837
2022-08-03 10:19:27.697210 Epoch 32, Train loss 0.2785, Val loss 1.9921
2022-08-03 10:34:10.230647 Epoch 33, Train loss 0.2631, Val loss 1.9078
2022-08-03 10:48:54.055070 Epoch 34, Train loss 0.288, Val loss 2.2978
2022-08-03 11:03:36.606281 Epoch 35, Train loss 0.2898, Val loss 1.2121
2022-08-03 11:18:19.442543 Epoch 36, Train loss 0.2856, Val loss 2.6809
2022-08-03 11:33:03.591358 Epoch 37, Train loss 0.2707, Val loss 3.0405
2022-08-03 11:47:49.302679 Epoch 38, Train loss 0.2558, Val loss 2.1313
2022-08-03 12:02:24.570622 Epoch 39, Train loss 0.2756, Val loss 3.5646
2022-08-03 12:17:07.874097 Epoch 40, Train loss 0.2653, Val loss 2.0238
