2022-08-03 17:33:55.671877 Epoch 1, Train loss 0.091, Val loss 0.0737
2022-08-03 17:45:22.708991 Epoch 2, Train loss 0.0765, Val loss 0.0747
2022-08-03 17:56:53.345653 Epoch 3, Train loss 0.0736, Val loss 0.07
2022-08-03 18:08:53.911142 Epoch 4, Train loss 0.0675, Val loss 0.0718
2022-08-03 18:44:32.396360 Epoch 5, Train loss 0.0829, Val loss 0.0899, Perfect loss 0.0236
2022-08-03 18:55:53.034195 Epoch 6, Train loss 0.0798, Val loss 0.0874, Perfect loss 0.0237
2022-08-03 19:07:08.375738 Epoch 7, Train loss 0.0817, Val loss 0.0872, Perfect loss 0.0238
2022-08-03 19:18:48.408541 Epoch 8, Train loss 0.076, Val loss 0.0838, Perfect loss 0.0236
2022-08-03 19:34:29.562498 Epoch 5, Train loss 0.0564, Val loss 0.0538, Perfect loss 0.0228
2022-08-03 19:46:15.216714 Epoch 6, Train loss 0.0547, Val loss 0.054, Perfect loss 0.0227
2022-08-03 19:57:47.776552 Epoch 7, Train loss 0.0541, Val loss 0.0527, Perfect loss 0.0227
2022-08-03 20:09:27.917127 Epoch 8, Train loss 0.053, Val loss 0.0525, Perfect loss 0.0227
2022-08-03 20:21:02.330233 Epoch 9, Train loss 0.0524, Val loss 0.0519, Perfect loss 0.0227
2022-08-03 20:32:35.593203 Epoch 10, Train loss 0.0518, Val loss 0.0512, Perfect loss 0.0227
2022-08-03 20:44:08.771911 Epoch 11, Train loss 0.0513, Val loss 0.0515, Perfect loss 0.0227
2022-08-03 20:55:43.200700 Epoch 12, Train loss 0.0513, Val loss 0.0511, Perfect loss 0.0227
2022-08-03 21:07:13.763165 Epoch 13, Train loss 0.0509, Val loss 0.0511, Perfect loss 0.0227
2022-08-03 21:18:44.152326 Epoch 14, Train loss 0.0509, Val loss 0.0508, Perfect loss 0.0227
2022-08-03 21:30:14.288327 Epoch 15, Train loss 0.0508, Val loss 0.0506, Perfect loss 0.0227
2022-08-03 21:41:46.547084 Epoch 16, Train loss 0.0505, Val loss 0.0503, Perfect loss 0.0227
2022-08-03 21:53:29.613769 Epoch 17, Train loss 0.05, Val loss 0.0505, Perfect loss 0.0227
2022-08-03 22:05:22.293844 Epoch 18, Train loss 0.0499, Val loss 0.0498, Perfect loss 0.0227
2022-08-03 22:17:16.134515 Epoch 19, Train loss 0.0496, Val loss 0.0494, Perfect loss 0.0227
2022-08-03 22:29:14.969180 Epoch 20, Train loss 0.0494, Val loss 0.0492, Perfect loss 0.0227
2022-08-03 22:40:56.283897 Epoch 21, Train loss 0.0492, Val loss 0.0493, Perfect loss 0.0227
2022-08-03 22:58:01.378798 Epoch 21, Train loss 0.0552, Val loss 0.0555, Perfect loss 0.0227
2022-08-03 23:09:49.323988 Epoch 22, Train loss 0.0544, Val loss 0.0525, Perfect loss 0.0228
2022-08-03 23:22:26.513696 Epoch 23, Train loss 0.0526, Val loss 0.053, Perfect loss 0.0228
2022-08-03 23:33:59.758580 Epoch 24, Train loss 0.0528, Val loss 0.0527, Perfect loss 0.0229
2022-08-03 23:45:28.207992 Epoch 25, Train loss 0.0521, Val loss 0.0508, Perfect loss 0.0229
2022-08-04 00:24:08.954196 Epoch 1, Train loss 0.0658, Val loss 0.0587, Perfect loss 0.0228
2022-08-04 00:35:40.012926 Epoch 2, Train loss 0.0586, Val loss 0.0568, Perfect loss 0.0228
2022-08-04 00:47:20.570810 Epoch 3, Train loss 0.0557, Val loss 0.0531, Perfect loss 0.0228
2022-08-04 00:59:20.618255 Epoch 4, Train loss 0.0531, Val loss 0.0519, Perfect loss 0.0228
2022-08-04 01:10:58.462410 Epoch 5, Train loss 0.0525, Val loss 0.0515, Perfect loss 0.0228
2022-08-04 01:22:31.470799 Epoch 6, Train loss 0.0519, Val loss 0.0511, Perfect loss 0.0228
2022-08-04 01:34:04.812080 Epoch 7, Train loss 0.0514, Val loss 0.0513, Perfect loss 0.0228
2022-08-04 01:45:47.788710 Epoch 8, Train loss 0.0517, Val loss 0.0508, Perfect loss 0.0228
2022-08-04 01:57:29.944266 Epoch 9, Train loss 0.0513, Val loss 0.0511, Perfect loss 0.0228
2022-08-04 02:09:21.249879 Epoch 10, Train loss 0.0509, Val loss 0.0503, Perfect loss 0.0228
2022-08-04 02:20:52.232605 Epoch 11, Train loss 0.0509, Val loss 0.0506, Perfect loss 0.0228
2022-08-04 02:32:21.755306 Epoch 12, Train loss 0.0503, Val loss 0.0503, Perfect loss 0.0228
2022-08-04 02:44:15.122702 Epoch 13, Train loss 0.0498, Val loss 0.0498, Perfect loss 0.0228
2022-08-04 02:55:51.434345 Epoch 14, Train loss 0.0496, Val loss 0.0494, Perfect loss 0.0228
2022-08-04 03:08:11.291232 Epoch 15, Train loss 0.0492, Val loss 0.0489, Perfect loss 0.0228
2022-08-04 03:21:07.586688 Epoch 16, Train loss 0.049, Val loss 0.0487, Perfect loss 0.0228
