2022-07-18 23:39:13.483701 Epoch 1, Train loss 0.9955, Train acc 49.87%, Val loss 0.9527, Val acc 49.97%
2022-07-18 23:54:15.471161 Epoch 2, Train loss 0.9422, Train acc 49.86%, Val loss 0.9172, Val acc 49.97%
2022-07-19 00:18:46.930940 Epoch 1, Train loss 0.6337, Train acc 69.8%, Val loss 0.5869, Val acc 74.74%
2022-07-19 00:33:35.664154 Epoch 2, Train loss 0.5589, Train acc 79.15%, Val loss 0.5324, Val acc 80.53%
2022-07-19 00:48:24.999307 Epoch 3, Train loss 0.5226, Train acc 82.52%, Val loss 0.4944, Val acc 84.71%
2022-07-19 01:03:06.647350 Epoch 4, Train loss 0.5011, Train acc 83.82%, Val loss 0.476, Val acc 84.76%
2022-07-19 01:18:09.115137 Epoch 5, Train loss 0.4789, Train acc 85.27%, Val loss 0.4648, Val acc 85.72%
2022-07-19 01:33:08.533986 Epoch 6, Train loss 0.465, Train acc 86.03%, Val loss 0.4489, Val acc 86.52%
2022-07-19 01:48:17.082087 Epoch 7, Train loss 0.4503, Train acc 86.74%, Val loss 0.4482, Val acc 85.5%
2022-07-19 02:02:34.871733 Epoch 8, Train loss 0.4385, Train acc 87.18%, Val loss 0.4176, Val acc 87.16%
2022-07-19 02:16:53.076690 Epoch 9, Train loss 0.4206, Train acc 87.64%, Val loss 0.4081, Val acc 87.5%
2022-07-19 02:31:10.173146 Epoch 10, Train loss 0.4079, Train acc 88.02%, Val loss 0.3858, Val acc 88.57%
2022-07-19 02:45:27.610547 Epoch 11, Train loss 0.3988, Train acc 88.61%, Val loss 0.3815, Val acc 88.69%
2022-07-19 02:59:46.733428 Epoch 12, Train loss 0.3875, Train acc 89.11%, Val loss 0.37, Val acc 89.37%
2022-07-19 03:14:04.566657 Epoch 13, Train loss 0.3732, Train acc 89.46%, Val loss 0.3699, Val acc 89.47%
2022-07-19 03:28:20.624401 Epoch 14, Train loss 0.3632, Train acc 89.96%, Val loss 0.3525, Val acc 89.77%
2022-07-19 03:42:37.008472 Epoch 15, Train loss 0.3571, Train acc 90.02%, Val loss 0.3361, Val acc 90.64%
2022-07-19 03:56:53.974425 Epoch 16, Train loss 0.3448, Train acc 90.48%, Val loss 0.3254, Val acc 90.47%
