2022-07-24 18:42:49.394909 Epoch 1, Train loss 0.5753, Train acc 68.09%, Val loss 0.4631, Val acc 78.08%
2022-07-24 18:57:23.174177 Epoch 2, Train loss 0.4411, Train acc 79.06%, Val loss 0.4196, Val acc 80.45%
2022-07-24 19:11:58.272785 Epoch 3, Train loss 0.4087, Train acc 81.47%, Val loss 0.388, Val acc 82.74%
2022-07-24 19:26:22.365288 Epoch 4, Train loss 0.3645, Train acc 84.27%, Val loss 0.3354, Val acc 86.34%
2022-07-24 19:40:44.544907 Epoch 5, Train loss 0.3378, Train acc 86.08%, Val loss 0.3503, Val acc 86.78%
2022-07-24 19:55:06.446169 Epoch 6, Train loss 0.3126, Train acc 87.75%, Val loss 0.3295, Val acc 87.61%
2022-07-24 20:09:26.756826 Epoch 7, Train loss 0.2999, Train acc 88.35%, Val loss 0.2957, Val acc 89.36%
2022-07-24 20:23:54.703227 Epoch 8, Train loss 0.2736, Train acc 89.47%, Val loss 0.2929, Val acc 90.51%
2022-07-24 20:38:17.879102 Epoch 9, Train loss 0.2458, Train acc 91.25%, Val loss 0.277, Val acc 90.76%
2022-07-24 20:52:29.141098 Epoch 10, Train loss 0.243, Train acc 91.27%, Val loss 0.2921, Val acc 90.4%
2022-07-24 21:06:41.717815 Epoch 11, Train loss 0.2328, Train acc 91.73%, Val loss 0.2729, Val acc 91.1%
2022-07-24 21:20:55.473315 Epoch 12, Train loss 0.2313, Train acc 91.94%, Val loss 0.2491, Val acc 91.22%
2022-07-24 21:35:08.688391 Epoch 13, Train loss 0.2205, Train acc 92.03%, Val loss 0.245, Val acc 92.63%
2022-07-24 21:49:19.330181 Epoch 14, Train loss 0.2115, Train acc 92.67%, Val loss 0.266, Val acc 91.88%
2022-07-24 22:03:33.016639 Epoch 15, Train loss 0.204, Train acc 92.94%, Val loss 0.262, Val acc 91.9%
2022-07-24 22:17:45.474305 Epoch 16, Train loss 0.2024, Train acc 93.06%, Val loss 0.2368, Val acc 92.62%
2022-07-25 00:36:33.863288 Epoch 17, Train loss 0.1915, Train acc 93.44%, Val loss 0.2298, Val acc 92.71%
2022-07-25 00:50:53.406270 Epoch 18, Train loss 0.1915, Train acc 93.47%, Val loss 0.2477, Val acc 93.02%
2022-07-25 01:05:08.250921 Epoch 19, Train loss 0.1787, Train acc 93.97%, Val loss 0.2372, Val acc 93.15%
2022-07-25 01:19:50.761782 Epoch 20, Train loss 0.1804, Train acc 94.04%, Val loss 0.2302, Val acc 93.2%
2022-07-25 01:34:22.672161 Epoch 21, Train loss 0.1816, Train acc 94.04%, Val loss 0.1925, Val acc 93.88%
2022-07-25 01:48:36.543803 Epoch 22, Train loss 0.1768, Train acc 94.05%, Val loss 0.2103, Val acc 93.58%
2022-07-25 02:02:51.671592 Epoch 23, Train loss 0.174, Train acc 94.3%, Val loss 0.2787, Val acc 93.19%
2022-07-25 02:17:07.956293 Epoch 24, Train loss 0.1665, Train acc 94.55%, Val loss 0.1861, Val acc 94.41%
2022-07-25 02:31:29.685337 Epoch 25, Train loss 0.1676, Train acc 94.59%, Val loss 0.1915, Val acc 94.12%
2022-07-25 02:45:49.017899 Epoch 26, Train loss 0.1524, Train acc 95.2%, Val loss 0.2177, Val acc 93.87%
2022-07-25 03:00:18.618652 Epoch 27, Train loss 0.1547, Train acc 95.03%, Val loss 0.1953, Val acc 94.62%
2022-07-25 03:14:42.835156 Epoch 28, Train loss 0.1664, Train acc 94.54%, Val loss 0.1834, Val acc 94.25%
2022-07-25 03:29:10.809941 Epoch 29, Train loss 0.1532, Train acc 95.16%, Val loss 0.2135, Val acc 94.34%
2022-07-25 03:43:39.982161 Epoch 30, Train loss 0.158, Train acc 94.91%, Val loss 0.1776, Val acc 94.43%
2022-07-25 04:00:58.786652 Epoch 29, Train loss 0.1592, Train acc 94.84%, Val loss 0.2107, Val acc 94.21%
2022-07-25 04:15:24.615755 Epoch 30, Train loss 0.1574, Train acc 94.99%, Val loss 0.1836, Val acc 94.51%
2022-07-25 04:29:52.194367 Epoch 31, Train loss 0.1434, Train acc 95.44%, Val loss 0.2269, Val acc 94.14%
