2022-06-28 19:21:33.224607 Epoch 1, Train loss 0.6508, Train acc 59.78%, Val loss 1.1307, Val acc 49.96%
2022-06-28 19:33:32.917347 Epoch 2, Train loss 0.5048, Train acc 73.93%, Val loss 0.6804, Val acc 65.73%
2022-06-28 19:45:29.066664 Epoch 3, Train loss 0.4931, Train acc 74.16%, Val loss 1.8987, Val acc 49.86%
2022-06-28 19:57:28.336019 Epoch 4, Train loss 0.4852, Train acc 74.84%, Val loss 14.8591, Val acc 50.13%
2022-06-28 20:09:29.823753 Epoch 5, Train loss 0.4854, Train acc 74.89%, Val loss 2.1779, Val acc 50.16%
2022-06-28 20:21:30.164902 Epoch 6, Train loss 0.4818, Train acc 75.01%, Val loss 5.7134, Val acc 50.11%
2022-06-28 20:33:31.384793 Epoch 7, Train loss 0.4811, Train acc 74.79%, Val loss 4.3067, Val acc 50.43%
2022-06-28 20:45:49.063211 Epoch 8, Train loss 0.4409, Train acc 78.31%, Val loss 2.2584, Val acc 55.37%
2022-06-28 20:59:00.235709 Epoch 9, Train loss 0.38, Train acc 83.68%, Val loss 0.5116, Val acc 76.72%
2022-06-28 21:11:32.669766 Epoch 10, Train loss 0.3586, Train acc 85.05%, Val loss 6.5206, Val acc 55.04%
2022-06-28 23:16:51.522027 Epoch 1, Train loss 0.7023, Train acc 50.85%, Val loss 0.6932, Val acc 49.57%
2022-06-28 23:29:56.050686 Epoch 2, Train loss 0.6526, Train acc 59.75%, Val loss 4.9189, Val acc 50.0%
2022-06-28 23:42:34.031904 Epoch 3, Train loss 0.5016, Train acc 73.63%, Val loss 1.2676, Val acc 49.91%
2022-06-28 23:59:24.656099 Epoch 4, Train loss 0.4897, Train acc 74.58%, Val loss 5.4269, Val acc 50.04%
2022-06-29 00:11:09.380262 Epoch 5, Train loss 0.4836, Train acc 74.98%, Val loss 0.4946, Val acc 74.02%
2022-06-29 00:22:41.746801 Epoch 6, Train loss 0.4885, Train acc 74.47%, Val loss 1.1996, Val acc 43.91%
2022-06-29 00:34:14.097288 Epoch 7, Train loss 0.4843, Train acc 75.1%, Val loss 0.6314, Val acc 67.63%
2022-06-29 00:45:46.350522 Epoch 8, Train loss 0.4853, Train acc 74.59%, Val loss 3.7939, Val acc 50.29%
2022-06-29 00:57:18.388167 Epoch 9, Train loss 0.4804, Train acc 74.84%, Val loss 0.4668, Val acc 76.12%
2022-06-29 01:08:50.763503 Epoch 10, Train loss 0.4792, Train acc 75.06%, Val loss 0.5062, Val acc 71.9%
2022-06-29 01:20:23.373796 Epoch 11, Train loss 0.4614, Train acc 76.51%, Val loss 0.4655, Val acc 76.12%
2022-06-29 01:31:55.902280 Epoch 12, Train loss 0.4303, Train acc 79.38%, Val loss 5.9351, Val acc 49.15%
2022-06-29 01:43:29.770423 Epoch 13, Train loss 0.3889, Train acc 82.62%, Val loss 1.3791, Val acc 55.2%
2022-06-29 01:55:03.146602 Epoch 14, Train loss 0.3599, Train acc 84.7%, Val loss 0.368, Val acc 84.48%
2022-06-29 02:06:36.167787 Epoch 15, Train loss 0.3265, Train acc 86.72%, Val loss 0.3619, Val acc 84.66%
2022-06-29 02:18:09.663232 Epoch 16, Train loss 0.2901, Train acc 88.66%, Val loss 0.3446, Val acc 86.4%
2022-06-29 02:29:43.596075 Epoch 17, Train loss 0.2729, Train acc 89.7%, Val loss 3.0918, Val acc 51.63%
2022-06-29 02:41:17.470105 Epoch 18, Train loss 0.2547, Train acc 91.02%, Val loss 33.2692, Val acc 50.88%
2022-06-29 02:52:51.421078 Epoch 19, Train loss 0.2365, Train acc 91.48%, Val loss 0.2533, Val acc 90.56%
2022-06-29 03:04:25.027111 Epoch 20, Train loss 0.2181, Train acc 92.64%, Val loss 22.4025, Val acc 52.27%
2022-06-29 03:15:59.417292 Epoch 21, Train loss 0.2128, Train acc 92.62%, Val loss 8.6642, Val acc 59.07%
2022-06-29 03:27:34.062277 Epoch 22, Train loss 0.196, Train acc 93.35%, Val loss 0.4852, Val acc 81.11%
2022-06-29 03:39:08.815996 Epoch 23, Train loss 0.1898, Train acc 93.69%, Val loss 0.4232, Val acc 83.37%
2022-06-29 03:50:42.915551 Epoch 24, Train loss 0.1813, Train acc 94.3%, Val loss 0.3947, Val acc 84.88%
2022-06-29 04:02:18.143370 Epoch 25, Train loss 0.1825, Train acc 94.05%, Val loss 0.5908, Val acc 79.24%
2022-06-29 04:13:52.692538 Epoch 26, Train loss 0.1716, Train acc 94.44%, Val loss 0.2374, Val acc 91.93%
2022-06-29 04:25:27.085057 Epoch 27, Train loss 0.1737, Train acc 94.42%, Val loss 0.2047, Val acc 92.77%
2022-06-29 04:37:00.733922 Epoch 28, Train loss 0.1636, Train acc 94.77%, Val loss 0.1781, Val acc 94.09%
2022-06-29 04:48:35.821227 Epoch 29, Train loss 0.1671, Train acc 94.72%, Val loss 0.2007, Val acc 93.46%
2022-06-29 05:00:10.040484 Epoch 30, Train loss 0.1618, Train acc 94.96%, Val loss 0.1912, Val acc 93.71%
2022-06-29 05:11:44.688019 Epoch 31, Train loss 0.1492, Train acc 95.39%, Val loss 5.7173, Val acc 58.51%
