2022-07-26 07:10:30.030099 Epoch 1, Train loss 1.3202, Val loss 1.2223
2022-07-26 07:23:21.423745 Epoch 2, Train loss 1.2012, Val loss 1.165
2022-07-26 07:36:11.309766 Epoch 3, Train loss 1.1578, Val loss 1.1502
2022-07-26 07:49:22.971173 Epoch 4, Train loss 1.1312, Val loss 1.1255
2022-07-26 08:02:10.272023 Epoch 5, Train loss 1.1223, Val loss 1.1101
2022-07-26 08:15:01.041314 Epoch 6, Train loss 1.1114, Val loss 1.0992
2022-07-26 08:28:04.254668 Epoch 7, Train loss 1.1025, Val loss 1.0918
2022-07-26 08:41:13.526287 Epoch 8, Train loss 1.0962, Val loss 1.0888
2022-07-26 08:54:21.989469 Epoch 9, Train loss 1.0922, Val loss 1.0838
2022-07-26 09:07:37.482007 Epoch 10, Train loss 1.0868, Val loss 1.08
2022-07-26 09:20:30.576130 Epoch 11, Train loss 1.0829, Val loss 1.0791
2022-07-26 09:33:27.872794 Epoch 12, Train loss 1.0808, Val loss 1.0767
2022-07-26 09:46:29.687484 Epoch 13, Train loss 1.0781, Val loss 1.0713
2022-07-26 09:59:35.274614 Epoch 14, Train loss 1.0748, Val loss 1.0667
2022-07-26 10:12:21.935819 Epoch 15, Train loss 1.0714, Val loss 1.0669
2022-07-26 10:25:08.820847 Epoch 16, Train loss 1.0672, Val loss 1.0644
2022-07-28 01:38:27.122871 Epoch 1, Train loss 1.2914, Val loss 1.1778
2022-07-28 01:52:00.762833 Epoch 2, Train loss 1.1743, Val loss 1.1459
2022-07-28 02:05:25.993166 Epoch 3, Train loss 1.1379, Val loss 1.1166
2022-07-28 02:18:49.889510 Epoch 4, Train loss 1.1199, Val loss 1.1067
2022-07-28 02:32:13.182553 Epoch 5, Train loss 1.1122, Val loss 1.1016
2022-07-28 02:45:53.770300 Epoch 6, Train loss 1.1059, Val loss 1.0978
2022-07-28 02:59:29.569252 Epoch 7, Train loss 1.101, Val loss 1.0931
2022-07-28 03:12:53.601049 Epoch 8, Train loss 1.0947, Val loss 1.0871
2022-07-28 03:26:23.399050 Epoch 9, Train loss 1.0873, Val loss 1.0803
2022-07-28 03:39:54.760946 Epoch 10, Train loss 1.0811, Val loss 1.0706
2022-07-28 03:53:20.187069 Epoch 11, Train loss 1.0754, Val loss 1.0681
2022-07-28 04:06:55.439867 Epoch 12, Train loss 1.0692, Val loss 1.0657
2022-07-28 04:20:23.735894 Epoch 13, Train loss 1.0652, Val loss 1.0615
2022-07-28 04:33:50.957467 Epoch 14, Train loss 1.062, Val loss 1.0571
2022-07-28 04:47:28.032703 Epoch 15, Train loss 1.0592, Val loss 1.0558
2022-07-28 05:00:54.538627 Epoch 16, Train loss 1.0577, Val loss 1.0543
2022-07-28 05:31:45.801187 Epoch 1, Train loss 1.3273, Val loss 1.2053
2022-07-28 06:02:18.698233 Epoch 2, Train loss 1.1721, Val loss 1.1346
2022-07-28 06:16:54.155504 Epoch 3, Train loss 1.1269, Val loss 1.1021
2022-07-28 06:31:33.141491 Epoch 4, Train loss 1.1051, Val loss 1.0941
2022-07-28 06:46:12.219613 Epoch 5, Train loss 1.0922, Val loss 1.0832
2022-07-28 07:00:51.454944 Epoch 6, Train loss 1.0818, Val loss 1.075
2022-07-28 07:15:51.380010 Epoch 7, Train loss 1.0781, Val loss 1.0719
2022-07-28 07:30:31.192373 Epoch 8, Train loss 1.075, Val loss 1.0697
2022-07-28 07:45:10.303133 Epoch 9, Train loss 1.0734, Val loss 1.0661
2022-07-28 07:59:40.649869 Epoch 10, Train loss 1.0684, Val loss 1.0607
2022-07-28 08:14:21.748829 Epoch 11, Train loss 1.0658, Val loss 1.0581
2022-07-28 08:29:02.940720 Epoch 12, Train loss 1.0605, Val loss 1.0538
2022-07-28 08:43:44.986376 Epoch 13, Train loss 1.0585, Val loss 1.0537
2022-07-28 08:58:26.128085 Epoch 14, Train loss 1.0569, Val loss 1.0515
2022-07-28 09:13:07.563633 Epoch 15, Train loss 1.0547, Val loss 1.0509
2022-07-28 09:27:47.861493 Epoch 16, Train loss 1.0525, Val loss 1.0489
