2022-07-01 00:29:37.231812 Epoch 1, Train loss 0.5635, Train acc 71.02%, Val loss 0.511, Val acc 75.34%
2022-07-01 00:42:05.883307 Epoch 2, Train loss 0.4443, Train acc 79.17%, Val loss 0.4682, Val acc 78.77%
2022-07-01 00:54:29.106627 Epoch 3, Train loss 0.3947, Train acc 82.52%, Val loss 0.3857, Val acc 83.38%
2022-07-01 01:06:46.220757 Epoch 4, Train loss 0.3593, Train acc 85.05%, Val loss 0.3561, Val acc 84.55%
2022-07-01 01:18:50.385443 Epoch 5, Train loss 0.3212, Train acc 87.2%, Val loss 0.3235, Val acc 86.74%
2022-07-01 01:30:56.477986 Epoch 6, Train loss 0.2864, Train acc 89.11%, Val loss 0.299, Val acc 89.07%
2022-07-01 01:44:19.869354 Epoch 7, Train loss 0.2532, Train acc 90.76%, Val loss 0.3054, Val acc 88.82%
2022-07-01 01:57:37.116982 Epoch 8, Train loss 0.2328, Train acc 91.65%, Val loss 0.2669, Val acc 90.55%
2022-07-06 06:49:00.827068 Epoch 1, Train loss 0.5724, Train acc 69.14%, Val loss 0.495, Val acc 74.03%
2022-07-06 07:03:20.064821 Epoch 2, Train loss 0.491, Train acc 74.78%, Val loss 0.4942, Val acc 75.67%
2022-07-06 07:17:37.319307 Epoch 3, Train loss 0.4313, Train acc 79.73%, Val loss 0.4071, Val acc 80.97%
2022-07-06 07:31:55.075981 Epoch 4, Train loss 0.409, Train acc 81.26%, Val loss 0.4362, Val acc 79.77%
2022-07-06 07:46:12.057439 Epoch 5, Train loss 0.3671, Train acc 84.05%, Val loss 0.39, Val acc 82.84%
2022-07-06 08:00:29.754663 Epoch 6, Train loss 0.3388, Train acc 85.93%, Val loss 0.3328, Val acc 86.23%
2022-07-06 08:14:46.569923 Epoch 7, Train loss 0.2982, Train acc 88.35%, Val loss 0.3007, Val acc 88.09%
2022-07-06 08:29:05.324444 Epoch 8, Train loss 0.2801, Train acc 89.41%, Val loss 0.297, Val acc 88.17%
2022-07-06 08:43:23.312972 Epoch 9, Train loss 0.2447, Train acc 91.14%, Val loss 0.2736, Val acc 89.87%
2022-07-06 08:57:41.478012 Epoch 10, Train loss 0.2369, Train acc 91.56%, Val loss 0.2553, Val acc 90.55%
2022-07-06 09:12:00.338186 Epoch 11, Train loss 0.2157, Train acc 92.54%, Val loss 0.2264, Val acc 92.02%
2022-07-06 09:26:19.014839 Epoch 12, Train loss 0.2072, Train acc 92.69%, Val loss 0.2211, Val acc 92.71%
2022-07-06 09:40:38.366141 Epoch 13, Train loss 0.1956, Train acc 93.29%, Val loss 0.2237, Val acc 92.43%
2022-07-06 09:54:55.964035 Epoch 14, Train loss 0.1844, Train acc 93.77%, Val loss 0.2111, Val acc 92.63%
2022-07-06 10:09:17.657622 Epoch 15, Train loss 0.179, Train acc 94.04%, Val loss 0.2357, Val acc 92.49%
2022-07-06 10:23:48.631266 Epoch 16, Train loss 0.1685, Train acc 94.31%, Val loss 0.2102, Val acc 93.51%
