2022-06-28 00:29:55.469444 Epoch 1, Train loss 0.7001, Train acc 51.78%, Val loss 1.4455, Val acc 49.62%
2022-06-28 00:41:05.755662 Epoch 2, Train loss 0.6373, Train acc 62.8%, Val loss 0.6837, Val acc 58.25%
2022-06-28 00:52:15.217360 Epoch 3, Train loss 0.5774, Train acc 68.69%, Val loss 0.9407, Val acc 56.07%
2022-06-28 01:03:23.965823 Epoch 4, Train loss 0.5032, Train acc 75.26%, Val loss 1.5653, Val acc 55.19%
2022-06-28 01:14:40.749501 Epoch 5, Train loss 0.3717, Train acc 84.4%, Val loss 1.2976, Val acc 59.0%
2022-06-28 01:26:06.454052 Epoch 6, Train loss 0.3392, Train acc 86.28%, Val loss 1.7751, Val acc 58.16%
2022-06-28 01:37:00.618190 Epoch 7, Train loss 0.31, Train acc 87.78%, Val loss 1.7414, Val acc 63.9%
2022-06-28 01:47:53.761197 Epoch 8, Train loss 0.2814, Train acc 89.39%, Val loss 0.5469, Val acc 74.1%
2022-06-28 01:58:47.216423 Epoch 9, Train loss 0.2693, Train acc 90.22%, Val loss 0.6223, Val acc 73.92%
2022-06-28 02:09:40.579943 Epoch 10, Train loss 0.249, Train acc 91.26%, Val loss 1.4778, Val acc 64.6%
2022-06-28 02:20:34.857572 Epoch 11, Train loss 0.2437, Train acc 91.38%, Val loss 0.3176, Val acc 88.43%
2022-06-28 02:31:28.668209 Epoch 12, Train loss 0.2229, Train acc 92.35%, Val loss 1.0621, Val acc 67.87%
2022-06-28 02:42:22.925260 Epoch 13, Train loss 0.2246, Train acc 92.48%, Val loss 0.3905, Val acc 82.61%
2022-06-28 02:53:16.974380 Epoch 14, Train loss 0.2166, Train acc 92.76%, Val loss 1.4944, Val acc 68.35%
2022-06-28 03:04:11.192819 Epoch 15, Train loss 0.2014, Train acc 93.32%, Val loss 5.8316, Val acc 53.76%
2022-06-28 03:15:06.098979 Epoch 16, Train loss 0.197, Train acc 93.39%, Val loss 0.2058, Val acc 93.14%
2022-06-28 03:26:00.486826 Epoch 17, Train loss 0.1935, Train acc 93.54%, Val loss 0.4402, Val acc 82.52%
2022-06-28 03:36:55.892271 Epoch 18, Train loss 0.1859, Train acc 93.93%, Val loss 4.0362, Val acc 61.92%
2022-06-28 03:47:50.822267 Epoch 19, Train loss 0.181, Train acc 94.05%, Val loss 0.6845, Val acc 73.96%
2022-06-28 03:58:45.627059 Epoch 20, Train loss 0.1761, Train acc 94.21%, Val loss 0.3024, Val acc 87.61%
2022-06-28 04:09:40.022827 Epoch 21, Train loss 0.1668, Train acc 94.7%, Val loss 0.2226, Val acc 92.47%
2022-06-28 04:20:33.552380 Epoch 22, Train loss 0.1588, Train acc 94.98%, Val loss 0.2185, Val acc 92.71%
2022-06-28 04:31:26.198666 Epoch 23, Train loss 0.1534, Train acc 95.11%, Val loss 4.3153, Val acc 61.13%
2022-06-28 04:42:21.310646 Epoch 24, Train loss 0.1517, Train acc 95.21%, Val loss 0.2698, Val acc 89.29%
2022-06-28 04:53:16.707631 Epoch 25, Train loss 0.1424, Train acc 95.61%, Val loss 3.3183, Val acc 66.35%
2022-06-28 05:04:11.559611 Epoch 26, Train loss 0.1454, Train acc 95.57%, Val loss 5.222, Val acc 54.07%
2022-06-28 05:15:05.996987 Epoch 27, Train loss 0.1354, Train acc 95.82%, Val loss 3.4973, Val acc 67.06%
2022-06-28 05:26:00.093386 Epoch 28, Train loss 0.1312, Train acc 95.94%, Val loss 0.3232, Val acc 88.0%
2022-06-28 05:36:55.634610 Epoch 29, Train loss 0.1319, Train acc 96.05%, Val loss 3.4343, Val acc 64.84%
2022-06-28 05:47:50.318260 Epoch 30, Train loss 0.1259, Train acc 96.3%, Val loss 18.0166, Val acc 52.93%
2022-06-28 05:58:46.304561 Epoch 31, Train loss 0.1186, Train acc 96.49%, Val loss 3.0775, Val acc 63.46%
2022-06-28 06:09:40.795247 Epoch 32, Train loss 0.1219, Train acc 96.4%, Val loss 4.6278, Val acc 65.37%
2022-06-28 06:20:36.473169 Epoch 33, Train loss 0.1215, Train acc 96.3%, Val loss 2.5752, Val acc 67.07%
2022-06-28 06:31:31.749236 Epoch 34, Train loss 0.1161, Train acc 96.5%, Val loss 6.1265, Val acc 56.25%
2022-06-28 06:42:26.181529 Epoch 35, Train loss 0.1161, Train acc 96.72%, Val loss 2.6752, Val acc 70.91%
2022-06-28 06:53:20.524006 Epoch 36, Train loss 0.1168, Train acc 96.4%, Val loss 0.2312, Val acc 91.91%
2022-06-28 07:04:15.508604 Epoch 37, Train loss 0.1092, Train acc 96.72%, Val loss 0.1893, Val acc 94.59%
2022-06-28 07:15:09.870578 Epoch 38, Train loss 0.1089, Train acc 96.79%, Val loss 5.4026, Val acc 63.25%
2022-06-28 07:26:03.999707 Epoch 39, Train loss 0.1065, Train acc 97.04%, Val loss 3.5278, Val acc 63.9%
2022-06-28 07:36:59.400726 Epoch 40, Train loss 0.1123, Train acc 96.85%, Val loss 1.1131, Val acc 72.64%
