2022-07-19 11:51:52.321089 Epoch 1, Train loss 0.7844, Train acc 49.87%, Val loss 0.7628, Val acc 49.95%
2022-07-19 12:07:12.095184 Epoch 1, Train loss 0.692, Train acc 49.85%, Val loss 0.6485, Val acc 49.88%
2022-07-19 12:17:59.182466 Epoch 2, Train loss 0.6436, Train acc 53.7%, Val loss 0.6222, Val acc 59.56%
2022-07-19 12:28:45.801182 Epoch 3, Train loss 0.6169, Train acc 68.18%, Val loss 0.593, Val acc 69.9%
2022-07-19 12:39:36.215390 Epoch 4, Train loss 0.5823, Train acc 74.07%, Val loss 0.5668, Val acc 71.51%
2022-07-19 12:50:31.039976 Epoch 5, Train loss 0.5462, Train acc 77.96%, Val loss 0.517, Val acc 81.82%
2022-07-19 13:01:18.320396 Epoch 6, Train loss 0.5128, Train acc 82.21%, Val loss 0.4909, Val acc 83.26%
2022-07-19 13:12:50.340181 Epoch 7, Train loss 0.4869, Train acc 84.84%, Val loss 0.4615, Val acc 85.67%
2022-07-19 13:24:05.939839 Epoch 8, Train loss 0.4601, Train acc 87.1%, Val loss 0.4375, Val acc 87.84%
2022-07-19 13:35:45.019205 Epoch 9, Train loss 0.4398, Train acc 88.2%, Val loss 0.4328, Val acc 86.99%
2022-07-19 13:47:11.453843 Epoch 10, Train loss 0.4268, Train acc 88.47%, Val loss 0.4322, Val acc 86.13%
2022-07-19 13:59:00.838404 Epoch 11, Train loss 0.41, Train acc 88.68%, Val loss 0.4331, Val acc 84.67%
2022-07-19 14:10:54.828004 Epoch 12, Train loss 0.3987, Train acc 89.28%, Val loss 0.3891, Val acc 88.53%
2022-07-19 14:22:21.943777 Epoch 13, Train loss 0.3843, Train acc 89.7%, Val loss 0.3678, Val acc 89.34%
2022-07-19 14:34:11.216096 Epoch 14, Train loss 0.3694, Train acc 90.26%, Val loss 0.3638, Val acc 88.87%
2022-07-19 14:45:21.629418 Epoch 15, Train loss 0.3679, Train acc 89.66%, Val loss 0.3446, Val acc 90.22%
2022-07-19 14:56:54.393143 Epoch 16, Train loss 0.3567, Train acc 89.87%, Val loss 0.3479, Val acc 90.39%
