2022-07-01 02:13:04.056478 Epoch 1, Train loss 0.6769, Train acc 56.32%, Val loss 0.7053, Val acc 57.01%
2022-07-01 02:20:02.539228 Epoch 2, Train loss 0.5586, Train acc 70.3%, Val loss 0.6074, Val acc 70.53%
2022-07-01 02:27:06.446446 Epoch 3, Train loss 0.5009, Train acc 75.42%, Val loss 0.5327, Val acc 71.69%
2022-07-01 02:34:10.230631 Epoch 4, Train loss 0.4431, Train acc 79.7%, Val loss 0.6333, Val acc 69.23%
2022-07-01 02:41:14.723415 Epoch 5, Train loss 0.3594, Train acc 85.41%, Val loss 0.5357, Val acc 76.25%
2022-07-01 02:48:16.460878 Epoch 6, Train loss 0.3132, Train acc 88.1%, Val loss 0.3616, Val acc 86.43%
2022-07-01 02:55:18.424436 Epoch 7, Train loss 0.2919, Train acc 88.79%, Val loss 0.412, Val acc 82.47%
2022-07-01 03:02:19.801090 Epoch 8, Train loss 0.2669, Train acc 90.22%, Val loss 0.2676, Val acc 89.68%
2022-07-06 13:59:32.556586 Epoch 1, Train loss 0.6876, Train acc 54.16%, Val loss 0.6962, Val acc 56.18%
2022-07-06 14:09:51.568485 Epoch 2, Train loss 0.5716, Train acc 69.46%, Val loss 0.6711, Val acc 65.99%
2022-07-06 14:20:06.611350 Epoch 3, Train loss 0.4675, Train acc 78.01%, Val loss 0.448, Val acc 78.76%
2022-07-06 14:30:38.455948 Epoch 4, Train loss 0.4009, Train acc 82.53%, Val loss 0.517, Val acc 74.44%
2022-07-06 14:41:14.078120 Epoch 5, Train loss 0.3611, Train acc 84.88%, Val loss 0.5333, Val acc 75.08%
2022-07-06 14:51:47.357898 Epoch 6, Train loss 0.3277, Train acc 86.75%, Val loss 0.4565, Val acc 82.04%
2022-07-06 15:02:06.893420 Epoch 7, Train loss 0.3124, Train acc 87.74%, Val loss 0.4153, Val acc 81.88%
2022-07-06 15:12:54.951244 Epoch 8, Train loss 0.2802, Train acc 89.5%, Val loss 0.692, Val acc 72.0%
2022-07-06 15:23:42.241511 Epoch 9, Train loss 0.2675, Train acc 89.86%, Val loss 1.433, Val acc 60.56%
2022-07-06 15:34:09.342640 Epoch 10, Train loss 0.2376, Train acc 91.48%, Val loss 0.3547, Val acc 86.24%
2022-07-06 15:44:27.496808 Epoch 11, Train loss 0.2236, Train acc 92.23%, Val loss 0.6614, Val acc 72.5%
2022-07-06 15:55:06.965952 Epoch 12, Train loss 0.2101, Train acc 93.01%, Val loss 0.2622, Val acc 89.92%
2022-07-06 16:05:22.987317 Epoch 13, Train loss 0.1976, Train acc 93.47%, Val loss 0.2597, Val acc 90.17%
2022-07-06 16:15:35.403797 Epoch 14, Train loss 0.1816, Train acc 93.99%, Val loss 0.3551, Val acc 86.72%
2022-07-06 16:25:50.761712 Epoch 15, Train loss 0.1771, Train acc 94.35%, Val loss 0.2092, Val acc 93.03%
2022-07-06 16:36:05.508337 Epoch 16, Train loss 0.1708, Train acc 94.57%, Val loss 0.2143, Val acc 92.3%
