2022-07-05 22:53:02.264112 Epoch 1, Train loss 0.7039, Train acc 51.28%, Val loss 0.7041, Val acc 52.1%
2022-07-05 22:53:38.991027 Epoch 2, Train loss 0.7012, Train acc 51.94%, Val loss 0.6932, Val acc 50.6%
2022-07-05 22:54:14.945419 Epoch 3, Train loss 0.6996, Train acc 51.72%, Val loss 0.7037, Val acc 52.29%
2022-07-05 22:54:50.470222 Epoch 4, Train loss 0.6974, Train acc 52.54%, Val loss 0.6841, Val acc 51.65%
2022-07-05 22:55:24.138355 Epoch 5, Train loss 0.6975, Train acc 51.28%, Val loss 0.6878, Val acc 51.22%
2022-07-05 22:56:00.173091 Epoch 6, Train loss 0.6927, Train acc 52.13%, Val loss 0.6807, Val acc 51.64%
2022-07-05 22:56:34.997204 Epoch 7, Train loss 0.685, Train acc 51.81%, Val loss 0.6761, Val acc 51.44%
2022-07-05 22:57:09.779036 Epoch 8, Train loss 0.6886, Train acc 52.3%, Val loss 0.6774, Val acc 51.67%
2022-07-05 22:57:45.612434 Epoch 9, Train loss 0.6866, Train acc 51.74%, Val loss 0.6851, Val acc 51.67%
2022-07-05 22:58:21.601111 Epoch 10, Train loss 0.69, Train acc 51.89%, Val loss 0.6989, Val acc 51.47%
2022-07-05 22:58:57.348779 Epoch 11, Train loss 0.6813, Train acc 51.57%, Val loss 0.673, Val acc 51.22%
2022-07-05 22:59:33.156026 Epoch 12, Train loss 0.6798, Train acc 51.3%, Val loss 0.6658, Val acc 52.08%
2022-07-05 23:00:09.265267 Epoch 13, Train loss 0.6677, Train acc 52.54%, Val loss 0.666, Val acc 51.85%
2022-07-05 23:25:57.160500 Epoch 1, Train loss 0.7824, Train acc 51.72%, Val loss 0.7626, Val acc 52.1%
2022-07-05 23:26:30.480449 Epoch 2, Train loss 0.7737, Train acc 51.93%, Val loss 0.7734, Val acc 50.6%
2022-07-05 23:27:04.207423 Epoch 3, Train loss 0.7717, Train acc 51.88%, Val loss 0.7578, Val acc 52.29%
2022-07-05 23:27:37.179836 Epoch 4, Train loss 0.7704, Train acc 51.86%, Val loss 0.7617, Val acc 51.65%
2022-07-05 23:28:09.199393 Epoch 5, Train loss 0.7706, Train acc 51.71%, Val loss 0.7643, Val acc 51.22%
