# no augmentation

2022-06-27 19:52:54.518603 Epoch 1, Train loss 0.6093, Train acc 66.55%, Val loss 0.7909, Val acc 50.78%
2022-06-27 19:53:53.907488 Epoch 2, Train loss 0.526, Train acc 71.58%, Val loss 0.5395, Val acc 70.12%
2022-06-27 19:54:46.395252 Epoch 3, Train loss 0.4959, Train acc 74.12%, Val loss 0.5271, Val acc 66.99%
2022-06-27 19:55:43.446548 Epoch 4, Train loss 0.4944, Train acc 73.63%, Val loss 0.5445, Val acc 69.14%
2022-06-27 19:56:44.641151 Epoch 5, Train loss 0.4926, Train acc 73.83%, Val loss 4.8825, Val acc 47.27%
2022-06-27 19:57:43.436363 Epoch 6, Train loss 0.487, Train acc 74.17%, Val loss 1.834, Val acc 51.17%
2022-06-27 19:58:39.080305 Epoch 7, Train loss 0.4553, Train acc 77.0%, Val loss 0.6131, Val acc 64.45%
2022-06-27 19:59:34.656370 Epoch 8, Train loss 0.4762, Train acc 76.51%, Val loss 1.8939, Val acc 43.75%
2022-06-27 20:00:31.148400 Epoch 9, Train loss 0.4255, Train acc 79.88%, Val loss 1.119, Val acc 56.45%
2022-06-27 20:01:25.425381 Epoch 10, Train loss 0.4157, Train acc 80.62%, Val loss 2.4273, Val acc 56.05%
2022-06-27 20:02:18.932268 Epoch 11, Train loss 0.4122, Train acc 81.88%, Val loss 0.9239, Val acc 60.55%
2022-06-27 20:03:20.040827 Epoch 12, Train loss 0.3857, Train acc 83.5%, Val loss 2.7889, Val acc 50.78%
2022-06-27 20:04:18.443443 Epoch 13, Train loss 0.3838, Train acc 83.15%, Val loss 1.2034, Val acc 55.86%
2022-06-27 20:05:22.708628 Epoch 14, Train loss 0.3634, Train acc 85.45%, Val loss 2.1707, Val acc 50.78%
2022-06-27 20:06:26.745996 Epoch 15, Train loss 0.3604, Train acc 85.25%, Val loss 1.5872, Val acc 50.39%
2022-06-27 20:07:19.525630 Epoch 16, Train loss 0.3435, Train acc 86.23%, Val loss 0.9, Val acc 62.3%
2022-06-27 20:08:16.550771 Epoch 17, Train loss 0.3151, Train acc 87.45%, Val loss 1.4003, Val acc 61.13%
2022-06-27 20:09:11.567258 Epoch 18, Train loss 0.3574, Train acc 85.06%, Val loss 0.4241, Val acc 84.57%
2022-06-27 20:10:06.700923 Epoch 19, Train loss 0.3126, Train acc 88.13%, Val loss 1.1919, Val acc 64.26%
2022-06-27 20:11:01.871852 Epoch 20, Train loss 0.3346, Train acc 86.62%, Val loss 0.349, Val acc 84.96%
2022-06-27 20:12:00.393933 Epoch 21, Train loss 0.3054, Train acc 87.7%, Val loss 2.9534, Val acc 48.05%
2022-06-27 20:12:55.957018 Epoch 22, Train loss 0.3192, Train acc 87.5%, Val loss 1.0437, Val acc 58.59%
2022-06-27 20:13:51.245870 Epoch 23, Train loss 0.2931, Train acc 88.77%, Val loss 1.5429, Val acc 58.01%
2022-06-27 20:14:46.574571 Epoch 24, Train loss 0.2822, Train acc 89.21%, Val loss 1.5472, Val acc 59.18%
2022-06-27 20:15:42.741081 Epoch 25, Train loss 0.3238, Train acc 87.6%, Val loss 0.6852, Val acc 70.51%

# with augmentation

2022-06-27 20:18:47.237103 Epoch 1, Train loss 0.5986, Train acc 67.19%, Val loss 1.5127, Val acc 49.8%
2022-06-27 20:19:40.042984 Epoch 2, Train loss 0.518, Train acc 72.8%, Val loss 1.0971, Val acc 49.41%
2022-06-27 20:20:32.400888 Epoch 3, Train loss 0.497, Train acc 74.32%, Val loss 0.753, Val acc 53.12%
2022-06-27 20:21:25.956753 Epoch 4, Train loss 0.5065, Train acc 72.8%, Val loss 0.8919, Val acc 50.78%
2022-06-27 20:22:20.063318 Epoch 5, Train loss 0.4845, Train acc 74.9%, Val loss 0.5528, Val acc 70.7%
2022-06-27 20:23:16.101198 Epoch 6, Train loss 0.488, Train acc 74.66%, Val loss 1.2753, Val acc 54.3%
2022-06-27 20:24:14.855676 Epoch 7, Train loss 0.4743, Train acc 75.0%, Val loss 0.6597, Val acc 59.96%
2022-06-27 20:25:13.407008 Epoch 8, Train loss 0.4549, Train acc 77.83%, Val loss 9.8127, Val acc 50.0%
2022-06-27 20:26:12.547191 Epoch 9, Train loss 0.4234, Train acc 79.74%, Val loss 3.0136, Val acc 46.68%
2022-06-27 20:27:18.421947 Epoch 10, Train loss 0.4225, Train acc 81.2%, Val loss 1.5386, Val acc 53.52%
2022-06-27 20:28:17.712615 Epoch 11, Train loss 0.4066, Train acc 81.93%, Val loss 1.8779, Val acc 58.79%
2022-06-27 20:29:14.650578 Epoch 12, Train loss 0.3794, Train acc 83.64%, Val loss 0.4712, Val acc 76.56%
2022-06-27 20:30:11.411848 Epoch 13, Train loss 0.3756, Train acc 83.69%, Val loss 0.4429, Val acc 78.91%
2022-06-27 20:31:09.399598 Epoch 14, Train loss 0.3918, Train acc 83.2%, Val loss 0.7986, Val acc 60.16%
2022-06-27 20:32:07.172989 Epoch 15, Train loss 0.3635, Train acc 84.72%, Val loss 4.5936, Val acc 49.8%
2022-06-27 20:33:02.404726 Epoch 16, Train loss 0.3458, Train acc 86.33%, Val loss 0.6041, Val acc 65.23%
2022-06-27 20:34:00.950197 Epoch 17, Train loss 0.3416, Train acc 86.28%, Val loss 0.4382, Val acc 79.69%
2022-06-27 20:34:59.152351 Epoch 18, Train loss 0.2956, Train acc 89.84%, Val loss 1.4807, Val acc 60.35%
