2022-06-28 14:39:35.630419 Epoch 1, Train loss 0.67, Train acc 61.23%, Val loss 1.4538, Val acc 50.2%
2022-06-28 14:40:34.074380 Epoch 2, Train loss 0.5506, Train acc 71.92%, Val loss 0.7625, Val acc 58.2%
2022-06-28 14:41:32.215983 Epoch 3, Train loss 0.4979, Train acc 73.83%, Val loss 3.9803, Val acc 50.0%
2022-06-28 14:42:30.097921 Epoch 4, Train loss 0.5159, Train acc 71.88%, Val loss 0.5614, Val acc 67.38%
2022-06-28 14:43:29.067201 Epoch 5, Train loss 0.4969, Train acc 73.39%, Val loss 1.1975, Val acc 51.37%
2022-06-28 14:44:28.632023 Epoch 6, Train loss 0.4912, Train acc 74.17%, Val loss 0.5561, Val acc 65.04%
2022-06-28 14:45:26.961290 Epoch 7, Train loss 0.492, Train acc 74.27%, Val loss 0.5628, Val acc 68.55%
2022-06-28 14:46:39.010105 Epoch 8, Train loss 0.4972, Train acc 73.05%, Val loss 0.5017, Val acc 72.27%
2022-06-28 14:47:53.284399 Epoch 9, Train loss 0.4729, Train acc 75.54%, Val loss 0.7476, Val acc 59.77%
2022-06-28 14:48:52.218553 Epoch 10, Train loss 0.4658, Train acc 76.27%, Val loss 5.6599, Val acc 51.17%
2022-06-28 14:49:53.359037 Epoch 11, Train loss 0.4647, Train acc 77.69%, Val loss 4.9138, Val acc 52.73%
2022-06-28 14:50:54.194239 Epoch 12, Train loss 0.4493, Train acc 78.81%, Val loss 1.6853, Val acc 56.45%
2022-06-28 14:51:52.620638 Epoch 13, Train loss 0.4042, Train acc 82.18%, Val loss 3.2956, Val acc 50.0%
2022-06-28 14:52:54.482476 Epoch 14, Train loss 0.3719, Train acc 84.18%, Val loss 1.0508, Val acc 55.27%
2022-06-28 14:53:51.928106 Epoch 15, Train loss 0.3672, Train acc 84.52%, Val loss 0.6266, Val acc 68.95%
2022-06-28 14:54:49.424633 Epoch 16, Train loss 0.366, Train acc 84.86%, Val loss 0.5302, Val acc 76.76%
2022-06-28 14:55:46.913490 Epoch 17, Train loss 0.3624, Train acc 85.45%, Val loss 2.0833, Val acc 63.48%
2022-06-28 14:56:44.266081 Epoch 18, Train loss 0.3419, Train acc 86.23%, Val loss 0.5374, Val acc 73.05%
2022-06-28 14:57:42.297314 Epoch 19, Train loss 0.3395, Train acc 86.13%, Val loss 8.4909, Val acc 49.8%
2022-06-28 14:58:43.553917 Epoch 20, Train loss 0.3259, Train acc 87.11%, Val loss 1.5519, Val acc 63.87%
2022-06-28 14:59:41.320179 Epoch 21, Train loss 0.3017, Train acc 88.82%, Val loss 0.7964, Val acc 61.33%
2022-06-28 15:00:38.933337 Epoch 22, Train loss 0.2984, Train acc 88.38%, Val loss 0.6432, Val acc 73.05%
2022-06-28 15:01:36.553056 Epoch 23, Train loss 0.3314, Train acc 87.55%, Val loss 0.4801, Val acc 76.95%
2022-06-28 15:02:34.175493 Epoch 24, Train loss 0.2936, Train acc 89.16%, Val loss 3.2887, Val acc 51.95%
