2022-07-01 03:43:22.378386 Epoch 1, Train loss 0.7011, Train acc 51.58%, Val loss 0.6829, Val acc 56.51%
2022-07-01 03:57:54.311559 Epoch 2, Train loss 0.6138, Train acc 66.24%, Val loss 0.5815, Val acc 69.27%
2022-07-01 04:11:13.608798 Epoch 3, Train loss 0.4893, Train acc 76.45%, Val loss 0.457, Val acc 77.75%
2022-07-01 04:24:44.675793 Epoch 4, Train loss 0.4534, Train acc 78.43%, Val loss 0.4485, Val acc 79.92%
2022-07-01 04:37:27.835078 Epoch 5, Train loss 0.4109, Train acc 81.19%, Val loss 0.5121, Val acc 74.85%
2022-07-01 04:49:38.051858 Epoch 6, Train loss 0.3971, Train acc 82.06%, Val loss 0.4057, Val acc 81.84%
2022-07-01 05:01:48.081113 Epoch 7, Train loss 0.3637, Train acc 84.32%, Val loss 0.3721, Val acc 84.26%
2022-07-01 05:13:57.103734 Epoch 8, Train loss 0.3423, Train acc 85.69%, Val loss 0.3403, Val acc 85.71%
2022-07-01 05:26:08.802045 Epoch 9, Train loss 0.3183, Train acc 87.1%, Val loss 0.314, Val acc 86.96%
2022-07-01 05:38:19.543781 Epoch 10, Train loss 0.294, Train acc 88.59%, Val loss 0.2686, Val acc 89.72%
2022-07-01 05:50:29.273970 Epoch 11, Train loss 0.2766, Train acc 89.6%, Val loss 0.3168, Val acc 87.86%
2022-07-01 06:02:39.402740 Epoch 12, Train loss 0.2531, Train acc 90.61%, Val loss 0.2439, Val acc 91.37%
2022-07-01 06:14:51.454828 Epoch 13, Train loss 0.241, Train acc 91.13%, Val loss 0.2904, Val acc 89.54%
2022-07-01 06:27:02.030551 Epoch 14, Train loss 0.2388, Train acc 91.41%, Val loss 0.2438, Val acc 91.2%
2022-07-01 06:39:11.383350 Epoch 15, Train loss 0.2119, Train acc 92.66%, Val loss 0.2296, Val acc 91.72%
2022-07-01 06:51:22.469620 Epoch 16, Train loss 0.2087, Train acc 92.8%, Val loss 0.2473, Val acc 91.32%
2022-07-01 07:03:33.714410 Epoch 17, Train loss 0.1928, Train acc 93.35%, Val loss 0.2316, Val acc 91.74%
2022-07-01 07:16:00.054343 Epoch 18, Train loss 0.1963, Train acc 93.34%, Val loss 0.2322, Val acc 91.5%
2022-07-01 07:28:13.045077 Epoch 19, Train loss 0.1802, Train acc 94.05%, Val loss 0.2156, Val acc 93.15%
2022-07-01 07:40:26.041645 Epoch 20, Train loss 0.1795, Train acc 94.01%, Val loss 0.1914, Val acc 94.33%
2022-07-01 07:52:38.819832 Epoch 21, Train loss 0.169, Train acc 94.51%, Val loss 0.1813, Val acc 93.87%
2022-07-01 08:04:51.640002 Epoch 22, Train loss 0.1638, Train acc 94.7%, Val loss 0.1876, Val acc 93.39%
2022-07-01 08:17:04.415630 Epoch 23, Train loss 0.1619, Train acc 94.77%, Val loss 0.1703, Val acc 94.45%
2022-07-01 08:29:17.871141 Epoch 24, Train loss 0.1637, Train acc 94.67%, Val loss 0.1889, Val acc 94.81%
