2022-06-29 10:49:44.708649 Epoch 1, Train loss 0.6852, Train acc 58.69%, Val loss 0.8142, Val acc 49.61%
2022-06-29 10:50:40.010914 Epoch 2, Train loss 0.5705, Train acc 72.02%, Val loss 1.0669, Val acc 49.61%
2022-06-29 10:51:33.494161 Epoch 3, Train loss 0.5268, Train acc 72.66%, Val loss 2.7828, Val acc 50.0%
2022-06-29 10:52:26.592541 Epoch 4, Train loss 0.4862, Train acc 75.15%, Val loss 0.7245, Val acc 58.98%
2022-06-29 10:53:19.501206 Epoch 5, Train loss 0.5058, Train acc 72.61%, Val loss 0.5125, Val acc 72.07%
2022-06-29 10:54:09.651630 Epoch 6, Train loss 0.4906, Train acc 74.22%, Val loss 0.4816, Val acc 74.41%
2022-06-29 10:55:01.263346 Epoch 7, Train loss 0.5006, Train acc 73.24%, Val loss 0.5121, Val acc 71.09%
2022-06-29 10:55:52.703333 Epoch 8, Train loss 0.4972, Train acc 73.39%, Val loss 0.5145, Val acc 71.48%
2022-06-29 10:56:41.002272 Epoch 9, Train loss 0.4655, Train acc 76.22%, Val loss 3.2933, Val acc 45.12%
2022-06-29 10:57:34.675357 Epoch 10, Train loss 0.4597, Train acc 76.71%, Val loss 2.3551, Val acc 52.15%
2022-06-29 10:58:27.040904 Epoch 11, Train loss 0.4432, Train acc 78.22%, Val loss 11.5396, Val acc 50.59%
2022-06-29 10:59:18.448552 Epoch 12, Train loss 0.4172, Train acc 80.62%, Val loss 1.9576, Val acc 52.73%
2022-06-29 11:00:10.874103 Epoch 13, Train loss 0.3745, Train acc 84.42%, Val loss 12.2601, Val acc 49.61%
2022-06-29 11:01:02.722178 Epoch 14, Train loss 0.3574, Train acc 85.4%, Val loss 0.6793, Val acc 66.02%
2022-06-29 11:01:58.539308 Epoch 15, Train loss 0.3592, Train acc 85.21%, Val loss 2.354, Val acc 52.34%
2022-06-29 11:02:52.362030 Epoch 16, Train loss 0.3203, Train acc 87.74%, Val loss 2.1399, Val acc 53.91%
2022-06-29 11:03:45.178392 Epoch 17, Train loss 0.2964, Train acc 89.16%, Val loss 0.4599, Val acc 78.71%
2022-06-29 11:04:37.775982 Epoch 18, Train loss 0.2987, Train acc 88.48%, Val loss 0.7162, Val acc 68.55%
2022-06-29 11:05:30.164113 Epoch 19, Train loss 0.2494, Train acc 91.31%, Val loss 0.6987, Val acc 67.19%
2022-06-29 11:06:23.138993 Epoch 20, Train loss 0.256, Train acc 91.31%, Val loss 2.9677, Val acc 58.2%
2022-06-29 11:07:16.749020 Epoch 21, Train loss 0.2489, Train acc 91.31%, Val loss 2.6157, Val acc 60.35%
2022-06-29 11:08:07.782013 Epoch 22, Train loss 0.235, Train acc 92.14%, Val loss 0.6331, Val acc 69.92%
2022-06-29 11:08:54.757959 Epoch 23, Train loss 0.2454, Train acc 91.6%, Val loss 1.5996, Val acc 63.09%
2022-06-29 11:09:45.136744 Epoch 24, Train loss 0.2205, Train acc 92.77%, Val loss 1.6706, Val acc 68.75%
2022-06-29 11:10:37.549038 Epoch 25, Train loss 0.2255, Train acc 92.82%, Val loss 0.2904, Val acc 89.26%
2022-06-29 11:11:29.704581 Epoch 26, Train loss 0.2293, Train acc 92.09%, Val loss 0.4656, Val acc 81.25%
2022-06-29 11:12:27.866199 Epoch 27, Train loss 0.2294, Train acc 92.43%, Val loss 0.3867, Val acc 83.59%
2022-06-29 11:13:24.888290 Epoch 28, Train loss 0.2112, Train acc 93.36%, Val loss 1.7253, Val acc 66.8%
2022-06-29 11:14:11.370190 Epoch 29, Train loss 0.2209, Train acc 92.53%, Val loss 0.6244, Val acc 70.7%
2022-06-29 11:14:57.323685 Epoch 30, Train loss 0.1834, Train acc 94.53%, Val loss 4.3315, Val acc 51.76%
2022-06-29 11:15:43.171466 Epoch 31, Train loss 0.1929, Train acc 93.46%, Val loss 0.3949, Val acc 84.18%
2022-06-29 11:16:29.355968 Epoch 32, Train loss 0.2119, Train acc 93.36%, Val loss 2.2644, Val acc 59.77%
2022-06-29 11:17:15.547514 Epoch 33, Train loss 0.1933, Train acc 93.36%, Val loss 0.2964, Val acc 88.28%
2022-06-29 11:18:01.620346 Epoch 34, Train loss 0.1823, Train acc 93.8%, Val loss 3.9041, Val acc 55.66%
2022-06-29 11:18:47.402606 Epoch 35, Train loss 0.1935, Train acc 94.09%, Val loss 0.2434, Val acc 90.43%
2022-06-29 11:19:33.077451 Epoch 36, Train loss 0.1877, Train acc 93.99%, Val loss 1.9292, Val acc 57.03%
2022-06-29 11:20:19.368254 Epoch 37, Train loss 0.1851, Train acc 94.29%, Val loss 6.3329, Val acc 54.1%
2022-06-29 11:21:05.403385 Epoch 38, Train loss 0.1844, Train acc 93.95%, Val loss 6.4358, Val acc 56.45%
2022-06-29 11:21:51.279536 Epoch 39, Train loss 0.1797, Train acc 93.9%, Val loss 2.9282, Val acc 60.94%
2022-06-29 11:22:37.160164 Epoch 40, Train loss 0.1639, Train acc 94.87%, Val loss 2.2703, Val acc 65.23%
