2022-07-20 19:50:52.556267 Epoch 1, Train loss 0.7123, Train acc 50.79%, Val loss 0.7137, Val acc 51.55%
2022-07-20 19:52:19.203653 Epoch 2, Train loss 0.6979, Train acc 50.69%, Val loss 0.691, Val acc 50.91%
2022-07-20 19:53:49.025036 Epoch 3, Train loss 0.6952, Train acc 50.88%, Val loss 0.6975, Val acc 50.71%
2022-07-20 19:55:22.666691 Epoch 4, Train loss 0.6931, Train acc 50.89%, Val loss 0.6819, Val acc 50.82%
2022-07-20 19:57:18.452252 Epoch 5, Train loss 0.6875, Train acc 51.03%, Val loss 0.6787, Val acc 52.48%
2022-07-20 19:58:55.212621 Epoch 6, Train loss 0.6843, Train acc 65.63%, Val loss 0.6681, Val acc 72.27%
2022-07-20 20:01:36.817270 Epoch 1, Train loss 0.7798, Train acc 51.08%, Val loss 0.7297, Val acc 50.61%
2022-07-20 20:03:13.949684 Epoch 2, Train loss 0.7415, Train acc 50.85%, Val loss 0.7213, Val acc 50.82%
2022-07-20 20:04:48.575618 Epoch 3, Train loss 0.725, Train acc 50.69%, Val loss 0.714, Val acc 50.81%
2022-07-20 20:06:18.864915 Epoch 4, Train loss 0.7194, Train acc 50.69%, Val loss 0.7055, Val acc 50.51%
2022-07-20 20:07:51.725614 Epoch 5, Train loss 0.7188, Train acc 50.89%, Val loss 0.7057, Val acc 50.71%
2022-07-20 20:09:27.937372 Epoch 6, Train loss 0.7182, Train acc 51.0%, Val loss 0.7029, Val acc 50.6%
2022-07-20 20:11:03.311646 Epoch 7, Train loss 0.7149, Train acc 50.85%, Val loss 0.7021, Val acc 50.6%
2022-07-20 20:12:38.740604 Epoch 8, Train loss 0.7146, Train acc 50.88%, Val loss 0.7019, Val acc 50.61%
2022-07-20 20:14:15.021274 Epoch 9, Train loss 0.7131, Train acc 50.8%, Val loss 0.7033, Val acc 50.73%
2022-07-20 20:15:49.884818 Epoch 10, Train loss 0.7139, Train acc 50.87%, Val loss 0.7101, Val acc 51.22%
2022-07-20 20:18:53.973498 Epoch 1, Train loss 0.7895, Train acc 49.23%, Val loss 0.7638, Val acc 48.96%
2022-07-20 20:20:13.954087 Epoch 2, Train loss 0.7636, Train acc 49.26%, Val loss 0.7462, Val acc 49.5%
2022-07-20 20:21:43.952521 Epoch 3, Train loss 0.7359, Train acc 49.44%, Val loss 0.7196, Val acc 49.25%
2022-07-20 20:23:24.304008 Epoch 4, Train loss 0.7092, Train acc 49.29%, Val loss 0.6999, Val acc 48.98%
