2022-07-24 17:50:08.677050 Epoch 1, Train loss 0.47, Train acc 75.0%, Val loss 0.8574, Val acc 0.0%
2022-07-24 17:50:17.974521 Epoch 2, Train loss 0.1026, Train acc 100.0%, Val loss 0.2875, Val acc 100.0%
2022-07-24 17:50:26.873665 Epoch 3, Train loss 0.0508, Train acc 100.0%, Val loss 0.3039, Val acc 100.0%
2022-07-24 17:50:35.808612 Epoch 4, Train loss 0.0318, Train acc 100.0%, Val loss 0.2917, Val acc 100.0%
2022-07-24 17:50:45.075096 Epoch 5, Train loss 0.0241, Train acc 100.0%, Val loss 0.194, Val acc 100.0%
2022-07-24 17:50:53.955023 Epoch 6, Train loss 0.022, Train acc 100.0%, Val loss 0.0772, Val acc 100.0%
2022-07-24 17:51:02.906041 Epoch 7, Train loss 0.0189, Train acc 100.0%, Val loss 0.0259, Val acc 100.0%
2022-07-24 17:51:11.846115 Epoch 8, Train loss 0.0187, Train acc 100.0%, Val loss 0.0125, Val acc 100.0%
2022-07-24 17:51:21.095425 Epoch 9, Train loss 0.0172, Train acc 100.0%, Val loss 0.0077, Val acc 100.0%
2022-07-24 17:51:29.980501 Epoch 10, Train loss 0.0168, Train acc 100.0%, Val loss 0.0057, Val acc 100.0%
2022-07-24 17:51:38.823986 Epoch 11, Train loss 0.0167, Train acc 100.0%, Val loss 0.0066, Val acc 100.0%
2022-07-24 17:51:47.736885 Epoch 12, Train loss 0.0167, Train acc 100.0%, Val loss 0.0055, Val acc 100.0%
2022-07-24 17:51:57.018068 Epoch 13, Train loss 0.0164, Train acc 100.0%, Val loss 0.0053, Val acc 100.0%
2022-07-24 17:52:05.880766 Epoch 14, Train loss 0.0161, Train acc 100.0%, Val loss 0.0051, Val acc 100.0%
2022-07-24 17:52:14.871471 Epoch 15, Train loss 0.0158, Train acc 100.0%, Val loss 0.0047, Val acc 100.0%
2022-07-24 17:52:23.787480 Epoch 16, Train loss 0.0158, Train acc 100.0%, Val loss 0.0044, Val acc 100.0%
2022-07-24 18:04:43.958322 Epoch 1, Train loss 0.639, Train acc 62.5%, Val loss 0.7595, Val acc 25.0%
2022-07-24 18:04:45.601806 Epoch 2, Train loss 0.1349, Train acc 100.0%, Val loss 0.5354, Val acc 100.0%
2022-07-24 18:04:46.800935 Epoch 3, Train loss 0.0848, Train acc 100.0%, Val loss 0.6881, Val acc 75.0%
2022-07-24 18:04:48.060088 Epoch 4, Train loss 0.0516, Train acc 100.0%, Val loss 0.6586, Val acc 75.0%
2022-07-24 18:04:49.748257 Epoch 5, Train loss 0.0366, Train acc 100.0%, Val loss 0.55, Val acc 100.0%
2022-07-24 18:04:50.995809 Epoch 6, Train loss 0.0319, Train acc 100.0%, Val loss 0.2831, Val acc 100.0%
2022-07-24 18:04:52.230995 Epoch 7, Train loss 0.0248, Train acc 100.0%, Val loss 0.0497, Val acc 100.0%
2022-07-24 18:04:53.470170 Epoch 8, Train loss 0.0232, Train acc 100.0%, Val loss 0.0237, Val acc 100.0%
2022-07-24 18:04:55.125323 Epoch 9, Train loss 0.0215, Train acc 100.0%, Val loss 0.0267, Val acc 100.0%
2022-07-24 18:04:56.368471 Epoch 10, Train loss 0.0194, Train acc 100.0%, Val loss 0.0182, Val acc 100.0%
2022-07-24 18:04:57.607593 Epoch 11, Train loss 0.0199, Train acc 100.0%, Val loss 0.0149, Val acc 100.0%
2022-07-24 18:04:58.866803 Epoch 12, Train loss 0.0196, Train acc 100.0%, Val loss 0.0142, Val acc 100.0%
2022-07-24 18:05:00.535264 Epoch 13, Train loss 0.0188, Train acc 100.0%, Val loss 0.0101, Val acc 100.0%
2022-07-24 18:05:01.772549 Epoch 14, Train loss 0.0194, Train acc 100.0%, Val loss 0.0136, Val acc 100.0%
2022-07-24 18:05:02.999706 Epoch 15, Train loss 0.0182, Train acc 100.0%, Val loss 0.0078, Val acc 100.0%
2022-07-24 18:05:04.269850 Epoch 16, Train loss 0.0181, Train acc 100.0%, Val loss 0.0089, Val acc 100.0%
