2022-07-05 23:03:28.756938 Epoch 1, Train loss 0.7037, Train acc 50.03%, Val loss 0.7007, Val acc 52.1%
2022-07-05 23:04:02.448376 Epoch 2, Train loss 0.7007, Train acc 52.91%, Val loss 0.6982, Val acc 54.16%
2022-07-05 23:04:37.131177 Epoch 3, Train loss 0.6924, Train acc 56.88%, Val loss 0.7345, Val acc 53.11%
2022-07-05 23:05:11.949066 Epoch 4, Train loss 0.6744, Train acc 61.33%, Val loss 1.9205, Val acc 53.23%
2022-07-05 23:05:46.930074 Epoch 5, Train loss 0.6299, Train acc 64.8%, Val loss 1.4387, Val acc 55.23%
2022-07-05 23:06:23.554771 Epoch 6, Train loss 0.6395, Train acc 64.72%, Val loss 0.6663, Val acc 65.36%
2022-07-05 23:06:59.995017 Epoch 7, Train loss 0.5721, Train acc 67.87%, Val loss 0.7041, Val acc 58.94%
2022-07-05 23:07:34.954978 Epoch 8, Train loss 0.6123, Train acc 65.18%, Val loss 1.0502, Val acc 51.95%
2022-07-05 23:08:28.345062 Epoch 1, Train loss 0.6764, Train acc 59.06%, Val loss 0.6491, Val acc 58.06%
2022-07-05 23:09:02.304572 Epoch 2, Train loss 0.6243, Train acc 67.03%, Val loss 0.6347, Val acc 62.89%
2022-07-05 23:09:36.520861 Epoch 3, Train loss 0.5985, Train acc 68.86%, Val loss 0.5874, Val acc 69.33%
2022-07-05 23:10:10.754664 Epoch 4, Train loss 0.554, Train acc 73.6%, Val loss 0.5448, Val acc 71.7%
2022-07-05 23:10:45.463590 Epoch 5, Train loss 0.5233, Train acc 76.0%, Val loss 0.5812, Val acc 67.62%
2022-07-05 23:11:19.864288 Epoch 6, Train loss 0.4922, Train acc 78.39%, Val loss 0.4973, Val acc 75.06%
2022-07-05 23:11:54.524818 Epoch 7, Train loss 0.4733, Train acc 78.57%, Val loss 0.5068, Val acc 75.09%
2022-07-05 23:12:28.841548 Epoch 8, Train loss 0.4582, Train acc 79.3%, Val loss 0.5287, Val acc 73.53%
2022-07-05 23:13:03.994301 Epoch 9, Train loss 0.4691, Train acc 79.15%, Val loss 0.5419, Val acc 72.05%
2022-07-05 23:13:38.926806 Epoch 10, Train loss 0.4534, Train acc 78.62%, Val loss 0.4211, Val acc 80.79%
2022-07-05 23:14:13.570908 Epoch 11, Train loss 0.4396, Train acc 79.86%, Val loss 0.7427, Val acc 71.58%
