2022-08-25 14:45:53.134111 Epoch 1, Train loss 1.0225, , Val loss 0.9197, Perfect loss 0.0012
2022-08-25 14:48:36.251498 Epoch 2, Train loss 0.8573, , Val loss 0.8431, Perfect loss 0.0012
2022-08-25 14:51:15.529688 Epoch 3, Train loss 0.795, , Val loss 0.7794, Perfect loss 0.0012
2022-08-25 14:53:54.363166 Epoch 4, Train loss 0.7446, , Val loss 0.757, Perfect loss 0.0012
2022-08-25 14:56:32.621763 Epoch 5, Train loss 0.7024, , Val loss 0.7226, Perfect loss 0.0012
2022-08-25 14:59:10.979857 Epoch 6, Train loss 0.6618, , Val loss 0.6755, Perfect loss 0.0012
2022-08-25 15:01:49.009043 Epoch 7, Train loss 0.6261, , Val loss 0.6654, Perfect loss 0.0012
2022-08-25 15:04:27.588465 Epoch 8, Train loss 0.5958, , Val loss 0.6169, Perfect loss 0.0013
2022-08-25 15:07:05.726867 Epoch 9, Train loss 0.5603, , Val loss 0.5927, Perfect loss 0.0013
2022-08-25 15:09:41.518476 Epoch 10, Train loss 0.5306, , Val loss 0.5623, Perfect loss 0.0013
2022-08-25 15:12:20.914529 Epoch 11, Train loss 0.5097, , Val loss 0.5654, Perfect loss 0.0013
2022-08-25 15:15:07.648834 Epoch 12, Train loss 0.4808, , Val loss 0.5351, Perfect loss 0.0013
2022-08-25 15:17:49.209628 Epoch 13, Train loss 0.4569, , Val loss 0.5126, Perfect loss 0.0013
2022-08-25 15:20:30.173111 Epoch 14, Train loss 0.4357, , Val loss 0.4911, Perfect loss 0.0013
2022-08-25 15:23:05.973976 Epoch 15, Train loss 0.4118, , Val loss 0.4745, Perfect loss 0.0013
2022-08-25 15:25:42.972735 Epoch 16, Train loss 0.3941, , Val loss 0.4496, Perfect loss 0.0013
2022-08-25 15:28:14.830334 Epoch 17, Train loss 0.3769, , Val loss 0.4388, Perfect loss 0.0013
2022-08-25 15:30:46.062939 Epoch 18, Train loss 0.3527, , Val loss 0.4161, Perfect loss 0.0013
2022-08-25 15:33:19.508712 Epoch 19, Train loss 0.3327, , Val loss 0.3931, Perfect loss 0.0013
2022-08-25 15:35:53.174678 Epoch 20, Train loss 0.3163, , Val loss 0.3726, Perfect loss 0.0013
2022-08-25 15:38:30.426517 Epoch 21, Train loss 0.3028, , Val loss 0.3728, Perfect loss 0.0013
2022-08-25 15:41:10.143022 Epoch 22, Train loss 0.2803, , Val loss 0.347, Perfect loss 0.0013
2022-08-25 15:43:48.877954 Epoch 23, Train loss 0.2695, , Val loss 0.3407, Perfect loss 0.0013
2022-08-25 15:46:16.653081 Epoch 24, Train loss 0.253, , Val loss 0.3442, Perfect loss 0.0013
2022-08-25 15:48:45.881951 Epoch 25, Train loss 0.2485, , Val loss 0.3221, Perfect loss 0.0013
2022-08-25 15:51:12.828777 Epoch 26, Train loss 0.2267, , Val loss 0.3195, Perfect loss 0.0013
2022-08-25 15:53:39.854185 Epoch 27, Train loss 0.2314, , Val loss 0.3049, Perfect loss 0.0013
2022-08-25 15:56:06.665208 Epoch 28, Train loss 0.2141, , Val loss 0.3002, Perfect loss 0.0013
2022-08-25 15:58:33.932536 Epoch 29, Train loss 0.2019, , Val loss 0.2958, Perfect loss 0.0013
2022-08-25 16:01:03.334910 Epoch 30, Train loss 0.1906, , Val loss 0.2714, Perfect loss 0.0014
2022-08-25 16:03:30.034978 Epoch 31, Train loss 0.1822, , Val loss 0.2714, Perfect loss 0.0014
2022-08-25 16:05:56.250612 Epoch 32, Train loss 0.1727, , Val loss 0.2757, Perfect loss 0.0014
2022-08-25 16:08:21.943404 Epoch 33, Train loss 0.1739, , Val loss 0.2618, Perfect loss 0.0014
2022-08-25 16:10:47.481271 Epoch 34, Train loss 0.1636, , Val loss 0.2519, Perfect loss 0.0014
2022-08-25 16:13:13.070965 Epoch 35, Train loss 0.1588, , Val loss 0.2342, Perfect loss 0.0014
2022-08-25 16:15:39.623819 Epoch 36, Train loss 0.1525, , Val loss 0.2449, Perfect loss 0.0014
2022-08-25 16:18:07.323090 Epoch 37, Train loss 0.1459, , Val loss 0.2483, Perfect loss 0.0014
2022-08-25 16:20:34.839104 Epoch 38, Train loss 0.1427, , Val loss 0.2389, Perfect loss 0.0014
2022-08-25 16:23:03.101834 Epoch 39, Train loss 0.1302, , Val loss 0.2172, Perfect loss 0.0014
2022-08-25 16:25:32.248764 Epoch 40, Train loss 0.1281, , Val loss 0.22, Perfect loss 0.0014
2022-08-25 16:28:01.629563 Epoch 41, Train loss 0.1227, , Val loss 0.2251, Perfect loss 0.0014
2022-08-25 16:30:35.182513 Epoch 42, Train loss 0.1201, , Val loss 0.2135, Perfect loss 0.0014
2022-08-25 16:33:03.065021 Epoch 43, Train loss 0.1242, , Val loss 0.213, Perfect loss 0.0014
2022-08-25 16:35:27.041085 Epoch 44, Train loss 0.1157, , Val loss 0.2151, Perfect loss 0.0014
2022-08-25 16:37:51.461103 Epoch 45, Train loss 0.1087, , Val loss 0.193, Perfect loss 0.0014
2022-08-25 16:40:15.682568 Epoch 46, Train loss 0.1007, , Val loss 0.2095, Perfect loss 0.0014
2022-08-25 16:42:42.766836 Epoch 47, Train loss 0.1054, , Val loss 0.2102, Perfect loss 0.0014
2022-08-25 16:45:16.478825 Epoch 48, Train loss 0.0989, , Val loss 0.1863, Perfect loss 0.0014
2022-08-25 16:47:51.183015 Epoch 49, Train loss 0.0972, , Val loss 0.208, Perfect loss 0.0014
2022-08-25 16:50:26.990775 Epoch 50, Train loss 0.0971, , Val loss 0.1945, Perfect loss 0.0014
2022-08-25 16:53:03.716600 Epoch 51, Train loss 0.089, , Val loss 0.1929, Perfect loss 0.0014
2022-08-25 16:55:38.420288 Epoch 52, Train loss 0.0907, , Val loss 0.2054, Perfect loss 0.0014
2022-08-25 16:58:13.360402 Epoch 53, Train loss 0.0854, , Val loss 0.1709, Perfect loss 0.0015
2022-08-25 17:00:48.757655 Epoch 54, Train loss 0.0879, , Val loss 0.1823, Perfect loss 0.0015
2022-08-25 17:03:24.278968 Epoch 55, Train loss 0.0836, , Val loss 0.1691, Perfect loss 0.0015
