2022-08-25 21:05:54.290132 Epoch 1, Train loss 1.1528, , Val loss 1.0534, Perfect loss 0.0012
2022-08-25 21:08:23.056719 Epoch 2, Train loss 1.0257, , Val loss 1.0054, Perfect loss 0.0012
2022-08-25 21:10:50.944314 Epoch 3, Train loss 0.9931, , Val loss 0.9653, Perfect loss 0.0012
2022-08-25 21:13:19.802367 Epoch 4, Train loss 0.9691, , Val loss 0.9556, Perfect loss 0.0012
2022-08-25 21:15:47.276669 Epoch 5, Train loss 0.9303, , Val loss 0.9063, Perfect loss 0.0012
2022-08-25 21:18:15.149575 Epoch 6, Train loss 0.8523, , Val loss 0.8491, Perfect loss 0.0012
2022-08-25 21:20:42.674366 Epoch 7, Train loss 0.7913, , Val loss 0.8128, Perfect loss 0.0012
2022-08-25 21:23:10.233882 Epoch 8, Train loss 0.7521, , Val loss 0.7842, Perfect loss 0.0012
2022-08-25 21:25:37.064340 Epoch 9, Train loss 0.7149, , Val loss 0.7579, Perfect loss 0.0013
2022-08-25 21:28:05.239035 Epoch 10, Train loss 0.6763, , Val loss 0.7258, Perfect loss 0.0013
2022-08-25 21:30:32.492976 Epoch 11, Train loss 0.6414, , Val loss 0.6785, Perfect loss 0.0013
2022-08-25 21:33:00.531297 Epoch 12, Train loss 0.6133, , Val loss 0.6646, Perfect loss 0.0013
2022-08-25 21:35:27.601233 Epoch 13, Train loss 0.5863, , Val loss 0.6447, Perfect loss 0.0013
2022-08-25 21:37:54.691368 Epoch 14, Train loss 0.5704, , Val loss 0.6275, Perfect loss 0.0013
2022-08-25 21:40:23.759398 Epoch 15, Train loss 0.5397, , Val loss 0.614, Perfect loss 0.0013
2022-08-25 21:42:52.385546 Epoch 16, Train loss 0.5147, , Val loss 0.5928, Perfect loss 0.0013
2022-08-25 21:45:20.342591 Epoch 17, Train loss 0.4936, , Val loss 0.5569, Perfect loss 0.0013
2022-08-25 21:47:48.944772 Epoch 18, Train loss 0.4756, , Val loss 0.5557, Perfect loss 0.0013
2022-08-25 21:50:15.675841 Epoch 19, Train loss 0.4488, , Val loss 0.5376, Perfect loss 0.0013
2022-08-25 21:52:42.244401 Epoch 20, Train loss 0.4323, , Val loss 0.5144, Perfect loss 0.0013
2022-08-25 21:55:09.767539 Epoch 21, Train loss 0.4052, , Val loss 0.4917, Perfect loss 0.0013
2022-08-25 21:57:37.263287 Epoch 22, Train loss 0.385, , Val loss 0.4718, Perfect loss 0.0013
2022-08-25 22:00:04.893896 Epoch 23, Train loss 0.3683, , Val loss 0.4753, Perfect loss 0.0013
2022-08-25 22:02:33.041508 Epoch 24, Train loss 0.3449, , Val loss 0.4539, Perfect loss 0.0013
2022-08-25 22:05:01.734182 Epoch 25, Train loss 0.335, , Val loss 0.4359, Perfect loss 0.0013
2022-08-25 22:07:35.789158 Epoch 26, Train loss 0.3182, , Val loss 0.422, Perfect loss 0.0013
2022-08-25 22:10:07.948685 Epoch 27, Train loss 0.3038, , Val loss 0.4228, Perfect loss 0.0013
2022-08-25 22:12:39.477563 Epoch 28, Train loss 0.2884, , Val loss 0.4008, Perfect loss 0.0013
2022-08-25 22:15:07.132049 Epoch 29, Train loss 0.2711, , Val loss 0.4094, Perfect loss 0.0013
2022-08-25 22:17:33.969508 Epoch 30, Train loss 0.2637, , Val loss 0.3814, Perfect loss 0.0014
2022-08-25 22:20:01.352721 Epoch 31, Train loss 0.2563, , Val loss 0.3801, Perfect loss 0.0014
2022-08-25 22:22:31.035707 Epoch 32, Train loss 0.2399, , Val loss 0.3767, Perfect loss 0.0014
2022-08-25 22:24:58.682963 Epoch 33, Train loss 0.2287, , Val loss 0.3781, Perfect loss 0.0014
2022-08-25 22:27:29.222590 Epoch 34, Train loss 0.2216, , Val loss 0.3537, Perfect loss 0.0014
2022-08-25 22:29:55.942406 Epoch 35, Train loss 0.2106, , Val loss 0.3486, Perfect loss 0.0014
2022-08-25 22:32:22.296806 Epoch 36, Train loss 0.2069, , Val loss 0.3344, Perfect loss 0.0014
2022-08-25 22:34:49.526036 Epoch 37, Train loss 0.1924, , Val loss 0.345, Perfect loss 0.0014
2022-08-25 22:37:16.558791 Epoch 38, Train loss 0.1863, , Val loss 0.3304, Perfect loss 0.0014
2022-08-25 22:39:46.329800 Epoch 39, Train loss 0.188, , Val loss 0.3303, Perfect loss 0.0014
2022-08-25 22:42:20.476067 Epoch 40, Train loss 0.1831, , Val loss 0.3297, Perfect loss 0.0014
2022-08-25 22:45:02.796625 Epoch 41, Train loss 0.1668, , Val loss 0.3191, Perfect loss 0.0014
