2022-08-27 18:46:00.451055 Epoch 1, Train loss 1.3403, , Val loss 1.287, Perfect loss 0.0015
2022-08-27 18:51:10.711607 Epoch 2, Train loss 1.2772, , Val loss 1.269, Perfect loss 0.0015
2022-08-27 18:56:18.545606 Epoch 3, Train loss 1.2614, , Val loss 1.2483, Perfect loss 0.0015
2022-08-27 19:01:23.883280 Epoch 4, Train loss 1.2485, , Val loss 1.2376, Perfect loss 0.0015
2022-08-27 19:06:30.132523 Epoch 5, Train loss 1.2335, , Val loss 1.2255, Perfect loss 0.0015
2022-08-27 19:11:36.063031 Epoch 6, Train loss 1.2197, , Val loss 1.2108, Perfect loss 0.0015
2022-08-27 19:16:42.560429 Epoch 7, Train loss 1.2083, , Val loss 1.2054, Perfect loss 0.0015
2022-08-27 19:21:50.128883 Epoch 8, Train loss 1.195, , Val loss 1.1868, Perfect loss 0.0015
2022-08-27 19:26:55.457534 Epoch 9, Train loss 1.1842, , Val loss 1.1819, Perfect loss 0.0015
2022-08-27 19:32:08.120521 Epoch 10, Train loss 1.1698, , Val loss 1.1678, Perfect loss 0.0015
2022-08-27 19:38:53.404252 Epoch 11, Train loss 1.1024, , Val loss 1.0846, Perfect loss 0.0015
2022-08-27 19:44:23.612715 Epoch 12, Train loss 1.0812, , Val loss 1.083, Perfect loss 0.0015
2022-08-27 19:49:43.822102 Epoch 13, Train loss 1.0611, , Val loss 1.0532, Perfect loss 0.0015
2022-08-27 19:55:12.889696 Epoch 14, Train loss 1.0559, , Val loss 1.0553, Perfect loss 0.0015
2022-08-27 20:00:50.887927 Epoch 15, Train loss 1.0332, , Val loss 1.0318, Perfect loss 0.0015
2022-08-27 20:11:49.447014 Epoch 1, Train loss 1.26, , Val loss 1.2237, Perfect loss 0.0015
2022-08-27 20:17:18.152823 Epoch 2, Train loss 1.2166, , Val loss 1.1962, Perfect loss 0.0015
2022-08-27 20:22:29.615114 Epoch 3, Train loss 1.1878, , Val loss 1.174, Perfect loss 0.0015
2022-08-27 20:27:41.774865 Epoch 4, Train loss 1.167, , Val loss 1.1504, Perfect loss 0.0015
2022-08-27 20:32:53.851474 Epoch 5, Train loss 1.1475, , Val loss 1.1296, Perfect loss 0.0015
2022-08-27 20:38:06.903227 Epoch 6, Train loss 1.1236, , Val loss 1.1153, Perfect loss 0.0015
2022-08-27 20:43:18.415683 Epoch 7, Train loss 1.1042, , Val loss 1.0967, Perfect loss 0.0015
2022-08-27 20:48:31.592950 Epoch 8, Train loss 1.0832, , Val loss 1.075, Perfect loss 0.0015
