2022-08-29 19:56:39.434129 Epoch 1, Train loss 1.5456, , Val loss 1.4691, Perfect loss 0.0016
2022-08-29 20:01:36.431223 Epoch 2, Train loss 1.354, , Val loss 1.2727, Perfect loss 0.0016
2022-08-29 20:06:34.168035 Epoch 3, Train loss 1.2298, , Val loss 1.1819, Perfect loss 0.0016
2022-08-29 20:11:31.928659 Epoch 4, Train loss 1.1492, , Val loss 1.1215, Perfect loss 0.0016
2022-08-29 20:16:30.630748 Epoch 5, Train loss 1.1054, , Val loss 1.0893, Perfect loss 0.0016
2022-08-29 20:21:22.872322 Epoch 6, Train loss 1.0774, , Val loss 1.0684, Perfect loss 0.0016
2022-08-29 20:26:15.548301 Epoch 7, Train loss 1.0627, , Val loss 1.0531, Perfect loss 0.0016
2022-08-29 20:31:08.905767 Epoch 8, Train loss 1.0508, , Val loss 1.036, Perfect loss 0.0016
2022-08-29 20:36:04.122844 Epoch 9, Train loss 1.0394, , Val loss 1.0311, Perfect loss 0.0016
2022-08-29 20:41:00.727376 Epoch 10, Train loss 1.0307, , Val loss 1.0174, Perfect loss 0.0016
2022-08-29 20:45:56.339772 Epoch 11, Train loss 1.0107, , Val loss 1.0084, Perfect loss 0.0016
2022-08-29 20:50:52.651462 Epoch 12, Train loss 0.9994, , Val loss 0.9908, Perfect loss 0.0016
2022-08-29 20:55:46.160993 Epoch 13, Train loss 0.9889, , Val loss 0.9802, Perfect loss 0.0016
2022-08-29 21:00:43.316123 Epoch 14, Train loss 0.9813, , Val loss 0.9874, Perfect loss 0.0016
2022-08-29 21:05:38.481443 Epoch 15, Train loss 0.9748, , Val loss 0.9665, Perfect loss 0.0016
2022-08-29 21:10:34.348676 Epoch 16, Train loss 0.9686, , Val loss 0.9698, Perfect loss 0.0016
2022-08-29 21:15:26.104567 Epoch 17, Train loss 0.9562, , Val loss 0.972, Perfect loss 0.0016
2022-08-29 21:20:18.760020 Epoch 18, Train loss 0.9533, , Val loss 0.9469, Perfect loss 0.0016
2022-08-29 21:25:13.831369 Epoch 19, Train loss 0.945, , Val loss 0.9328, Perfect loss 0.0016
2022-08-29 21:30:10.173262 Epoch 20, Train loss 0.9464, , Val loss 0.9399, Perfect loss 0.0016
2022-08-29 21:35:06.552925 Epoch 21, Train loss 0.9416, , Val loss 0.9378, Perfect loss 0.0016
2022-08-29 21:40:07.692562 Epoch 22, Train loss 0.9398, , Val loss 0.9335, Perfect loss 0.0016
2022-08-29 21:45:05.871526 Epoch 23, Train loss 0.9291, , Val loss 0.9391, Perfect loss 0.0016
2022-08-29 21:50:07.220250 Epoch 24, Train loss 0.922, , Val loss 0.9254, Perfect loss 0.0016
2022-08-29 21:55:04.319079 Epoch 25, Train loss 0.9279, , Val loss 0.9273, Perfect loss 0.0016
2022-08-29 22:00:04.083248 Epoch 26, Train loss 0.932, , Val loss 0.9335, Perfect loss 0.0016
2022-08-29 22:05:06.131140 Epoch 27, Train loss 0.925, , Val loss 0.921, Perfect loss 0.0016
2022-08-29 22:10:00.948477 Epoch 28, Train loss 0.9236, , Val loss 0.9254, Perfect loss 0.0016
2022-08-29 22:14:52.094722 Epoch 29, Train loss 0.9277, , Val loss 0.9272, Perfect loss 0.0016
2022-08-29 22:19:46.795902 Epoch 30, Train loss 0.923, , Val loss 0.9123, Perfect loss 0.0016
2022-08-29 22:24:42.599477 Epoch 31, Train loss 0.9187, , Val loss 0.9231, Perfect loss 0.0015
2022-08-29 22:29:34.804966 Epoch 32, Train loss 0.9092, , Val loss 0.9318, Perfect loss 0.0015
2022-08-29 22:34:25.134711 Epoch 33, Train loss 0.9123, , Val loss 0.9081, Perfect loss 0.0015
2022-08-29 22:39:17.343069 Epoch 34, Train loss 0.9122, , Val loss 0.9171, Perfect loss 0.0015
2022-08-29 22:44:08.767878 Epoch 35, Train loss 0.9016, , Val loss 0.9031, Perfect loss 0.0015
2022-08-29 22:48:59.677871 Epoch 36, Train loss 0.9048, , Val loss 0.9105, Perfect loss 0.0015
2022-08-29 22:53:53.437443 Epoch 37, Train loss 0.9082, , Val loss 0.9152, Perfect loss 0.0015
2022-08-29 22:58:46.331067 Epoch 38, Train loss 0.8972, , Val loss 0.9026, Perfect loss 0.0015
2022-08-29 23:03:38.439436 Epoch 39, Train loss 0.8979, , Val loss 0.9107, Perfect loss 0.0015
2022-08-29 23:08:27.268564 Epoch 40, Train loss 0.8963, , Val loss 0.8955, Perfect loss 0.0015
2022-08-29 23:13:20.255503 Epoch 41, Train loss 0.9, , Val loss 0.9013, Perfect loss 0.0015
2022-08-29 23:18:07.842484 Epoch 42, Train loss 0.888, , Val loss 0.8894, Perfect loss 0.0015
2022-08-29 23:22:56.452549 Epoch 43, Train loss 0.8921, , Val loss 0.9024, Perfect loss 0.0015
2022-08-29 23:27:44.709016 Epoch 44, Train loss 0.8935, , Val loss 0.901, Perfect loss 0.0015
2022-08-29 23:32:34.144882 Epoch 45, Train loss 0.8817, , Val loss 0.8863, Perfect loss 0.0015
2022-08-29 23:37:19.519238 Epoch 46, Train loss 0.8859, , Val loss 0.9047, Perfect loss 0.0015
2022-08-29 23:42:06.158571 Epoch 47, Train loss 0.8845, , Val loss 0.8941, Perfect loss 0.0015
2022-08-29 23:46:55.494121 Epoch 48, Train loss 0.8799, , Val loss 0.9144, Perfect loss 0.0015
2022-08-29 23:51:47.482797 Epoch 49, Train loss 0.8804, , Val loss 0.8952, Perfect loss 0.0015
2022-08-29 23:56:39.186374 Epoch 50, Train loss 0.8838, , Val loss 0.8985, Perfect loss 0.0015
