2022-08-27 11:21:39.470400 Epoch 1, Train loss 1.1114, , Val loss 1.0622, Perfect loss 0.0015
2022-08-27 11:24:53.637002 Epoch 2, Train loss 1.0159, , Val loss 0.9865, Perfect loss 0.0015
2022-08-27 11:28:04.167431 Epoch 3, Train loss 0.9507, , Val loss 0.9339, Perfect loss 0.0015
2022-08-27 11:31:13.674517 Epoch 4, Train loss 0.8953, , Val loss 0.8869, Perfect loss 0.0015
2022-08-27 11:34:20.567898 Epoch 5, Train loss 0.8507, , Val loss 0.8516, Perfect loss 0.0015
2022-08-27 11:37:29.240510 Epoch 6, Train loss 0.8111, , Val loss 0.8173, Perfect loss 0.0015
2022-08-27 11:40:39.532649 Epoch 7, Train loss 0.7745, , Val loss 0.794, Perfect loss 0.0015
2022-08-27 11:43:48.911861 Epoch 8, Train loss 0.7366, , Val loss 0.7733, Perfect loss 0.0016
2022-08-27 11:46:56.830698 Epoch 9, Train loss 0.7013, , Val loss 0.7634, Perfect loss 0.0016
2022-08-27 11:50:05.400455 Epoch 10, Train loss 0.6758, , Val loss 0.7104, Perfect loss 0.0016
2022-08-27 11:53:14.282813 Epoch 11, Train loss 0.6414, , Val loss 0.6959, Perfect loss 0.0016
2022-08-27 11:56:08.455462 Epoch 12, Train loss 0.6185, , Val loss 0.6445, Perfect loss 0.0016
2022-08-27 11:59:09.650389 Epoch 13, Train loss 0.5927, , Val loss 0.648, Perfect loss 0.0016
2022-08-27 12:02:06.204354 Epoch 14, Train loss 0.5618, , Val loss 0.6267, Perfect loss 0.0016
2022-08-27 12:04:59.863731 Epoch 15, Train loss 0.5437, , Val loss 0.6255, Perfect loss 0.0016
2022-08-27 12:07:50.876512 Epoch 16, Train loss 0.5267, , Val loss 0.6052, Perfect loss 0.0016
2022-08-27 12:10:46.584175 Epoch 17, Train loss 0.5081, , Val loss 0.585, Perfect loss 0.0016
2022-08-27 12:13:39.408372 Epoch 18, Train loss 0.488, , Val loss 0.5579, Perfect loss 0.0016
2022-08-27 12:16:36.767319 Epoch 19, Train loss 0.4763, , Val loss 0.5515, Perfect loss 0.0016
2022-08-27 12:19:32.571980 Epoch 20, Train loss 0.4554, , Val loss 0.564, Perfect loss 0.0016
2022-08-27 12:22:38.587963 Epoch 21, Train loss 0.4406, , Val loss 0.5317, Perfect loss 0.0016
2022-08-27 12:25:39.171724 Epoch 22, Train loss 0.4324, , Val loss 0.5033, Perfect loss 0.0016
2022-08-27 12:28:35.376765 Epoch 23, Train loss 0.4165, , Val loss 0.5093, Perfect loss 0.0016
2022-08-27 12:31:33.002040 Epoch 24, Train loss 0.4038, , Val loss 0.5059, Perfect loss 0.0016
2022-08-27 12:34:38.218115 Epoch 25, Train loss 0.3924, , Val loss 0.5067, Perfect loss 0.0016
2022-08-27 12:37:43.149471 Epoch 26, Train loss 0.3857, , Val loss 0.5187, Perfect loss 0.0016
2022-08-27 12:40:49.540180 Epoch 27, Train loss 0.3737, , Val loss 0.5252, Perfect loss 0.0017
2022-08-27 12:43:55.958133 Epoch 28, Train loss 0.3772, , Val loss 0.4991, Perfect loss 0.0017
2022-08-27 12:47:00.868482 Epoch 29, Train loss 0.3471, , Val loss 0.4732, Perfect loss 0.0017
2022-08-27 12:50:01.136598 Epoch 30, Train loss 0.343, , Val loss 0.5252, Perfect loss 0.0017
2022-08-27 12:52:57.520980 Epoch 31, Train loss 0.3284, , Val loss 0.4912, Perfect loss 0.0017
2022-08-27 12:55:54.641613 Epoch 32, Train loss 0.3325, , Val loss 0.4912, Perfect loss 0.0017
2022-08-27 12:58:54.152419 Epoch 33, Train loss 0.324, , Val loss 0.4532, Perfect loss 0.0017
2022-08-27 13:01:54.928017 Epoch 34, Train loss 0.3198, , Val loss 0.4868, Perfect loss 0.0017
2022-08-27 13:04:49.641817 Epoch 35, Train loss 0.3134, , Val loss 0.4313, Perfect loss 0.0017
2022-08-27 13:07:44.277965 Epoch 36, Train loss 0.2932, , Val loss 0.4232, Perfect loss 0.0017
2022-08-27 13:10:39.174358 Epoch 37, Train loss 0.2873, , Val loss 0.4473, Perfect loss 0.0017
2022-08-27 13:13:34.485611 Epoch 38, Train loss 0.2696, , Val loss 0.4039, Perfect loss 0.0017
2022-08-27 13:16:30.354915 Epoch 39, Train loss 0.2611, , Val loss 0.405, Perfect loss 0.0017
2022-08-27 13:19:27.820029 Epoch 40, Train loss 0.2534, , Val loss 0.4061, Perfect loss 0.0017
2022-08-27 13:22:28.593360 Epoch 41, Train loss 0.2397, , Val loss 0.3569, Perfect loss 0.0017
2022-08-27 13:25:26.334094 Epoch 42, Train loss 0.2371, , Val loss 0.3931, Perfect loss 0.0017
2022-08-27 13:28:17.364075 Epoch 43, Train loss 0.2243, , Val loss 0.362, Perfect loss 0.0017
2022-08-27 13:31:10.935594 Epoch 44, Train loss 0.2231, , Val loss 0.3636, Perfect loss 0.0017
2022-08-27 13:34:06.061711 Epoch 45, Train loss 0.2138, , Val loss 0.3692, Perfect loss 0.0017
2022-08-27 13:37:08.623438 Epoch 46, Train loss 0.2196, , Val loss 0.3583, Perfect loss 0.0017
2022-08-27 13:40:03.267940 Epoch 47, Train loss 0.2072, , Val loss 0.3308, Perfect loss 0.0017
2022-08-27 13:42:56.744935 Epoch 48, Train loss 0.2066, , Val loss 0.3139, Perfect loss 0.0017
2022-08-27 13:45:57.842523 Epoch 49, Train loss 0.2146, , Val loss 0.3306, Perfect loss 0.0018
2022-08-27 13:48:58.843513 Epoch 50, Train loss 0.2103, , Val loss 0.3909, Perfect loss 0.0018
2022-08-27 13:52:00.868638 Epoch 51, Train loss 0.1962, , Val loss 0.3556, Perfect loss 0.0018
2022-08-27 13:55:02.453697 Epoch 52, Train loss 0.1953, , Val loss 0.3146, Perfect loss 0.0018
2022-08-27 13:58:03.581448 Epoch 53, Train loss 0.193, , Val loss 0.3503, Perfect loss 0.0018
2022-08-27 14:01:09.826930 Epoch 54, Train loss 0.1801, , Val loss 0.3594, Perfect loss 0.0018
2022-08-27 14:04:15.822231 Epoch 55, Train loss 0.1924, , Val loss 0.327, Perfect loss 0.0018
2022-08-27 14:07:24.201450 Epoch 56, Train loss 0.1807, , Val loss 0.368, Perfect loss 0.0018
2022-08-27 14:10:28.941167 Epoch 57, Train loss 0.1849, , Val loss 0.3572, Perfect loss 0.0018
2022-08-27 14:13:34.120669 Epoch 58, Train loss 0.1735, , Val loss 0.3616, Perfect loss 0.0018
2022-08-27 14:16:39.331713 Epoch 59, Train loss 0.1714, , Val loss 0.3064, Perfect loss 0.0018
2022-08-27 14:19:44.882638 Epoch 60, Train loss 0.1732, , Val loss 0.3424, Perfect loss 0.0018
2022-08-27 14:22:51.173521 Epoch 61, Train loss 0.1744, , Val loss 0.3392, Perfect loss 0.0018
2022-08-27 14:25:56.844722 Epoch 62, Train loss 0.1531, , Val loss 0.3408, Perfect loss 0.0018
2022-08-27 14:29:01.917678 Epoch 63, Train loss 0.1594, , Val loss 0.3195, Perfect loss 0.0018
2022-08-27 14:32:05.286737 Epoch 64, Train loss 0.1751, , Val loss 0.4362, Perfect loss 0.0018
2022-08-27 14:35:05.224557 Epoch 65, Train loss 0.1594, , Val loss 0.2875, Perfect loss 0.0018
2022-08-27 14:38:03.942270 Epoch 66, Train loss 0.1664, , Val loss 0.3375, Perfect loss 0.0018
2022-08-27 14:40:58.330600 Epoch 67, Train loss 0.1581, , Val loss 0.3838, Perfect loss 0.0018
2022-08-27 14:43:51.887035 Epoch 68, Train loss 0.1486, , Val loss 0.363, Perfect loss 0.0018
2022-08-27 14:46:45.748335 Epoch 69, Train loss 0.1366, , Val loss 0.2863, Perfect loss 0.0018
2022-08-27 14:49:42.150553 Epoch 70, Train loss 0.1511, , Val loss 0.3768, Perfect loss 0.0018
2022-08-27 14:52:42.661092 Epoch 71, Train loss 0.1429, , Val loss 0.3515, Perfect loss 0.0018
2022-08-27 14:55:39.084440 Epoch 72, Train loss 0.1354, , Val loss 0.335, Perfect loss 0.0018
2022-08-27 14:58:37.300117 Epoch 73, Train loss 0.137, , Val loss 0.3217, Perfect loss 0.0018
2022-08-27 15:01:34.190681 Epoch 74, Train loss 0.1484, , Val loss 0.3333, Perfect loss 0.0019
2022-08-27 15:04:40.364368 Epoch 75, Train loss 0.1401, , Val loss 0.2957, Perfect loss 0.0019
2022-08-27 15:10:49.450770 Epoch 71, Train loss 0.1922, , Val loss 0.309, Perfect loss 0.0018
2022-08-27 15:13:44.196809 Epoch 72, Train loss 0.1758, , Val loss 0.2702, Perfect loss 0.0018
2022-08-27 15:16:37.853522 Epoch 73, Train loss 0.1657, , Val loss 0.2676, Perfect loss 0.0018
2022-08-27 15:19:31.708431 Epoch 74, Train loss 0.1573, , Val loss 0.2941, Perfect loss 0.0018
2022-08-27 15:22:27.230473 Epoch 75, Train loss 0.1526, , Val loss 0.2366, Perfect loss 0.0018
2022-08-27 15:25:27.706676 Epoch 76, Train loss 0.1522, , Val loss 0.2354, Perfect loss 0.0018
2022-08-27 15:28:31.059625 Epoch 77, Train loss 0.1515, , Val loss 0.2319, Perfect loss 0.0018
2022-08-27 15:31:38.463592 Epoch 78, Train loss 0.1451, , Val loss 0.2361, Perfect loss 0.0018
2022-08-27 15:34:44.055440 Epoch 79, Train loss 0.1425, , Val loss 0.2337, Perfect loss 0.0018
2022-08-27 15:37:50.219564 Epoch 80, Train loss 0.1434, , Val loss 0.2995, Perfect loss 0.0019
2022-08-27 15:40:58.023382 Epoch 81, Train loss 0.1347, , Val loss 0.2314, Perfect loss 0.0019
2022-08-27 15:44:04.855882 Epoch 82, Train loss 0.1347, , Val loss 0.2033, Perfect loss 0.0019
2022-08-27 15:47:12.824671 Epoch 83, Train loss 0.1266, , Val loss 0.2149, Perfect loss 0.0019
2022-08-27 15:50:19.119103 Epoch 84, Train loss 0.1252, , Val loss 0.2987, Perfect loss 0.0019
2022-08-27 15:53:23.704842 Epoch 85, Train loss 0.1282, , Val loss 0.2009, Perfect loss 0.0019
2022-08-27 15:56:24.754008 Epoch 86, Train loss 0.1242, , Val loss 0.2249, Perfect loss 0.0019
2022-08-27 15:59:24.628829 Epoch 87, Train loss 0.1233, , Val loss 0.1996, Perfect loss 0.0019
2022-08-27 16:02:24.475158 Epoch 88, Train loss 0.1201, , Val loss 0.2456, Perfect loss 0.0019
2022-08-27 16:05:24.936918 Epoch 89, Train loss 0.1193, , Val loss 0.2068, Perfect loss 0.0019
2022-08-27 16:08:28.101095 Epoch 90, Train loss 0.111, , Val loss 0.2372, Perfect loss 0.0019
2022-08-27 16:11:32.557055 Epoch 91, Train loss 0.1178, , Val loss 0.2242, Perfect loss 0.0019
2022-08-27 16:14:39.144894 Epoch 92, Train loss 0.116, , Val loss 0.2229, Perfect loss 0.0019
2022-08-27 16:17:45.358065 Epoch 93, Train loss 0.1171, , Val loss 0.2101, Perfect loss 0.0019
2022-08-27 16:20:43.340265 Epoch 94, Train loss 0.1094, , Val loss 0.2407, Perfect loss 0.0019
2022-08-27 16:23:50.342625 Epoch 95, Train loss 0.1114, , Val loss 0.2508, Perfect loss 0.0019
2022-08-27 16:26:52.497694 Epoch 96, Train loss 0.1057, , Val loss 0.2013, Perfect loss 0.0019
2022-08-27 16:29:49.231077 Epoch 97, Train loss 0.1082, , Val loss 0.1964, Perfect loss 0.0019
2022-08-27 16:32:45.757939 Epoch 98, Train loss 0.1071, , Val loss 0.2169, Perfect loss 0.0019
2022-08-27 16:35:44.144294 Epoch 99, Train loss 0.1055, , Val loss 0.2226, Perfect loss 0.0019
2022-08-27 16:38:44.080305 Epoch 100, Train loss 0.1067, , Val loss 0.2292, Perfect loss 0.0019
