2022-08-29 14:38:37.734154 Epoch 1, Train loss 1.3946, , Val loss 1.3245, Perfect loss 0.0016
2022-08-29 14:43:30.919618 Epoch 2, Train loss 1.2928, , Val loss 1.2598, Perfect loss 0.0016
2022-08-29 14:48:23.447481 Epoch 3, Train loss 1.2525, , Val loss 1.2125, Perfect loss 0.0016
2022-08-29 14:53:16.754006 Epoch 4, Train loss 1.1859, , Val loss 1.1493, Perfect loss 0.0016
2022-08-29 14:58:03.882769 Epoch 5, Train loss 1.141, , Val loss 1.1112, Perfect loss 0.0016
2022-08-29 15:02:50.840016 Epoch 6, Train loss 1.1152, , Val loss 1.0806, Perfect loss 0.0016
2022-08-29 15:07:38.765800 Epoch 7, Train loss 1.0751, , Val loss 1.0411, Perfect loss 0.0016
2022-08-29 15:12:25.816305 Epoch 8, Train loss 1.0342, , Val loss 1.0096, Perfect loss 0.0016
2022-08-29 15:17:19.787336 Epoch 9, Train loss 1.0034, , Val loss 0.9904, Perfect loss 0.0016
2022-08-29 15:22:12.699435 Epoch 10, Train loss 0.9725, , Val loss 0.9629, Perfect loss 0.0016
2022-08-29 15:27:07.169504 Epoch 11, Train loss 0.8856, , Val loss 0.8346, Perfect loss 0.0016
2022-08-29 15:31:58.919975 Epoch 12, Train loss 0.822, , Val loss 0.7824, Perfect loss 0.0016
2022-08-29 15:36:49.853762 Epoch 13, Train loss 0.738, , Val loss 0.6787, Perfect loss 0.0016
2022-08-29 15:41:40.648654 Epoch 14, Train loss 0.6434, , Val loss 0.6055, Perfect loss 0.0016
2022-08-29 15:46:32.472613 Epoch 15, Train loss 0.5834, , Val loss 0.5726, Perfect loss 0.0016
2022-08-29 15:51:27.777444 Epoch 16, Train loss 0.5396, , Val loss 0.5215, Perfect loss 0.0017
2022-08-29 15:56:18.670558 Epoch 17, Train loss 0.5063, , Val loss 0.4861, Perfect loss 0.0017
2022-08-29 16:01:10.236791 Epoch 18, Train loss 0.4801, , Val loss 0.4738, Perfect loss 0.0017
2022-08-29 16:06:03.172703 Epoch 19, Train loss 0.4476, , Val loss 0.4596, Perfect loss 0.0017
2022-08-29 16:10:56.250471 Epoch 20, Train loss 0.4189, , Val loss 0.4097, Perfect loss 0.0017
2022-08-29 16:15:49.138621 Epoch 21, Train loss 0.3933, , Val loss 0.3876, Perfect loss 0.0017
2022-08-29 16:20:41.495328 Epoch 22, Train loss 0.375, , Val loss 0.3884, Perfect loss 0.0017
2022-08-29 16:25:33.644418 Epoch 23, Train loss 0.3632, , Val loss 0.3487, Perfect loss 0.0017
2022-08-29 16:30:23.765088 Epoch 24, Train loss 0.338, , Val loss 0.3351, Perfect loss 0.0017
2022-08-29 16:35:13.068789 Epoch 25, Train loss 0.3207, , Val loss 0.3202, Perfect loss 0.0017
2022-08-29 16:40:02.884423 Epoch 26, Train loss 0.3073, , Val loss 0.3175, Perfect loss 0.0017
2022-08-29 16:44:52.428270 Epoch 27, Train loss 0.2934, , Val loss 0.2786, Perfect loss 0.0017
2022-08-29 16:49:41.820990 Epoch 28, Train loss 0.285, , Val loss 0.281, Perfect loss 0.0017
2022-08-29 16:54:31.435297 Epoch 29, Train loss 0.2731, , Val loss 0.2663, Perfect loss 0.0017
2022-08-29 16:59:18.361228 Epoch 30, Train loss 0.2664, , Val loss 0.2664, Perfect loss 0.0017
2022-08-29 17:04:11.931219 Epoch 31, Train loss 0.2544, , Val loss 0.2486, Perfect loss 0.0017
2022-08-29 17:09:01.197754 Epoch 32, Train loss 0.2472, , Val loss 0.2449, Perfect loss 0.0017
2022-08-29 17:13:50.643896 Epoch 33, Train loss 0.2418, , Val loss 0.243, Perfect loss 0.0017
2022-08-29 17:18:39.447677 Epoch 34, Train loss 0.227, , Val loss 0.2229, Perfect loss 0.0017
2022-08-29 17:23:28.165733 Epoch 35, Train loss 0.2284, , Val loss 0.2216, Perfect loss 0.0017
2022-08-29 17:28:17.945805 Epoch 36, Train loss 0.2243, , Val loss 0.2337, Perfect loss 0.0017
2022-08-29 17:33:06.813632 Epoch 37, Train loss 0.2233, , Val loss 0.2184, Perfect loss 0.0017
2022-08-29 17:37:57.065353 Epoch 38, Train loss 0.2115, , Val loss 0.2117, Perfect loss 0.0017
2022-08-29 17:42:47.067366 Epoch 39, Train loss 0.2018, , Val loss 0.2177, Perfect loss 0.0017
2022-08-29 17:47:47.038138 Epoch 40, Train loss 0.1942, , Val loss 0.2061, Perfect loss 0.0017
2022-08-29 17:52:43.757400 Epoch 41, Train loss 0.1911, , Val loss 0.2106, Perfect loss 0.0017
2022-08-29 17:57:37.532724 Epoch 42, Train loss 0.1932, , Val loss 0.2024, Perfect loss 0.0017
2022-08-29 18:02:31.647815 Epoch 43, Train loss 0.1801, , Val loss 0.2052, Perfect loss 0.0017
2022-08-29 18:07:37.855771 Epoch 44, Train loss 0.1845, , Val loss 0.2106, Perfect loss 0.0017
2022-08-29 18:12:34.568424 Epoch 45, Train loss 0.1792, , Val loss 0.1852, Perfect loss 0.0017
2022-08-29 18:17:27.847015 Epoch 46, Train loss 0.1681, , Val loss 0.1894, Perfect loss 0.0017
2022-08-29 18:22:19.785653 Epoch 47, Train loss 0.1717, , Val loss 0.1795, Perfect loss 0.0017
2022-08-29 18:27:10.804954 Epoch 48, Train loss 0.1632, , Val loss 0.1872, Perfect loss 0.0017
2022-08-29 18:32:02.197930 Epoch 49, Train loss 0.1642, , Val loss 0.2096, Perfect loss 0.0017
2022-08-29 18:36:53.436519 Epoch 50, Train loss 0.1563, , Val loss 0.1855, Perfect loss 0.0017
2022-08-29 18:41:48.625604 Epoch 51, Train loss 0.1576, , Val loss 0.2003, Perfect loss 0.0017
2022-08-29 18:46:41.216360 Epoch 52, Train loss 0.1599, , Val loss 0.1822, Perfect loss 0.0017
2022-08-29 18:51:34.045022 Epoch 53, Train loss 0.151, , Val loss 0.1663, Perfect loss 0.0017
2022-08-29 18:56:21.687695 Epoch 54, Train loss 0.1502, , Val loss 0.1684, Perfect loss 0.0017
2022-08-29 19:01:14.066211 Epoch 55, Train loss 0.1475, , Val loss 0.1827, Perfect loss 0.0017
2022-08-29 19:06:06.898364 Epoch 56, Train loss 0.148, , Val loss 0.1606, Perfect loss 0.0017
2022-08-29 19:11:01.774172 Epoch 57, Train loss 0.1434, , Val loss 0.1838, Perfect loss 0.0017
2022-08-29 19:15:56.651621 Epoch 58, Train loss 0.1436, , Val loss 0.1911, Perfect loss 0.0017
2022-08-29 19:20:51.468157 Epoch 59, Train loss 0.1369, , Val loss 0.2009, Perfect loss 0.0017
2022-08-29 19:25:49.928295 Epoch 60, Train loss 0.1402, , Val loss 0.1616, Perfect loss 0.0017
