2022-08-28 22:03:39.918992 Epoch 1, Train loss 1.5782, , Val loss 1.4807, Perfect loss 0.0015
2022-08-28 22:08:24.292998 Epoch 2, Train loss 1.4399, , Val loss 1.4003, Perfect loss 0.0015
2022-08-28 22:13:08.182409 Epoch 3, Train loss 1.3772, , Val loss 1.3357, Perfect loss 0.0015
2022-08-28 22:17:51.344626 Epoch 4, Train loss 1.302, , Val loss 1.2668, Perfect loss 0.0015
2022-08-28 22:22:34.322846 Epoch 5, Train loss 1.2423, , Val loss 1.21, Perfect loss 0.0015
2022-08-28 22:27:16.588056 Epoch 6, Train loss 1.1882, , Val loss 1.1671, Perfect loss 0.0015
2022-08-28 22:31:57.821865 Epoch 7, Train loss 1.1396, , Val loss 1.1153, Perfect loss 0.0015
2022-08-28 22:36:43.336843 Epoch 8, Train loss 1.0985, , Val loss 1.0854, Perfect loss 0.0015
2022-08-28 22:41:34.884444 Epoch 9, Train loss 1.0559, , Val loss 1.0373, Perfect loss 0.0015
2022-08-28 22:46:30.557313 Epoch 10, Train loss 1.0257, , Val loss 1.0066, Perfect loss 0.0015
2022-08-28 22:51:47.733222 Epoch 11, Train loss 1.0278, , Val loss 0.9422, Perfect loss 0.0015
2022-08-28 22:56:35.388403 Epoch 12, Train loss 0.9109, , Val loss 0.8668, Perfect loss 0.0015
2022-08-28 23:01:20.266044 Epoch 13, Train loss 0.8544, , Val loss 0.8351, Perfect loss 0.0015
2022-08-28 23:06:05.533121 Epoch 14, Train loss 0.7926, , Val loss 0.8036, Perfect loss 0.0015
2022-08-28 23:10:54.420373 Epoch 15, Train loss 0.7154, , Val loss 0.6873, Perfect loss 0.0015
2022-08-28 23:15:43.675046 Epoch 16, Train loss 0.6459, , Val loss 0.6371, Perfect loss 0.0015
2022-08-28 23:20:34.365856 Epoch 17, Train loss 0.5931, , Val loss 0.5888, Perfect loss 0.0015
2022-08-28 23:25:19.789059 Epoch 18, Train loss 0.5451, , Val loss 0.5145, Perfect loss 0.0015
2022-08-28 23:30:07.195511 Epoch 19, Train loss 0.5052, , Val loss 0.4929, Perfect loss 0.0015
2022-08-28 23:34:52.663626 Epoch 20, Train loss 0.4757, , Val loss 0.4627, Perfect loss 0.0015
2022-08-28 23:39:38.565337 Epoch 21, Train loss 0.4401, , Val loss 0.4461, Perfect loss 0.0015
2022-08-28 23:44:26.860618 Epoch 22, Train loss 0.4149, , Val loss 0.4028, Perfect loss 0.0015
2022-08-28 23:49:21.170191 Epoch 23, Train loss 0.3914, , Val loss 0.3768, Perfect loss 0.0015
2022-08-28 23:54:12.392703 Epoch 24, Train loss 0.3698, , Val loss 0.3504, Perfect loss 0.0015
2022-08-28 23:58:59.572531 Epoch 25, Train loss 0.3522, , Val loss 0.3421, Perfect loss 0.0015
2022-08-29 00:03:45.255972 Epoch 26, Train loss 0.331, , Val loss 0.3287, Perfect loss 0.0015
2022-08-29 00:08:26.600588 Epoch 27, Train loss 0.3134, , Val loss 0.3114, Perfect loss 0.0015
2022-08-29 00:13:10.993270 Epoch 28, Train loss 0.3047, , Val loss 0.3107, Perfect loss 0.0015
2022-08-29 00:17:55.062440 Epoch 29, Train loss 0.2856, , Val loss 0.298, Perfect loss 0.0015
2022-08-29 00:22:32.370603 Epoch 30, Train loss 0.2741, , Val loss 0.265, Perfect loss 0.0015
2022-08-29 04:27:20.766436 Epoch 31, Train loss 0.2864, , Val loss 0.2792, Perfect loss 0.0015
2022-08-29 04:32:10.849591 Epoch 32, Train loss 0.2704, , Val loss 0.265, Perfect loss 0.0014
2022-08-29 04:37:01.223826 Epoch 33, Train loss 0.2652, , Val loss 0.2618, Perfect loss 0.0014
2022-08-29 04:41:54.457675 Epoch 34, Train loss 0.2626, , Val loss 0.2544, Perfect loss 0.0014
2022-08-29 04:46:38.386217 Epoch 35, Train loss 0.2554, , Val loss 0.2556, Perfect loss 0.0014
2022-08-29 04:51:23.572519 Epoch 36, Train loss 0.2531, , Val loss 0.2534, Perfect loss 0.0014
2022-08-29 04:56:05.148935 Epoch 37, Train loss 0.2457, , Val loss 0.2394, Perfect loss 0.0014
2022-08-29 05:00:46.722216 Epoch 38, Train loss 0.2469, , Val loss 0.2412, Perfect loss 0.0014
2022-08-29 05:05:27.171906 Epoch 39, Train loss 0.2372, , Val loss 0.246, Perfect loss 0.0014
2022-08-29 05:10:27.620590 Epoch 40, Train loss 0.2372, , Val loss 0.2345, Perfect loss 0.0014
2022-08-29 05:15:09.060041 Epoch 41, Train loss 0.2295, , Val loss 0.2325, Perfect loss 0.0014
2022-08-29 05:19:49.187991 Epoch 42, Train loss 0.2283, , Val loss 0.2272, Perfect loss 0.0014
2022-08-29 05:24:27.564397 Epoch 43, Train loss 0.2289, , Val loss 0.2331, Perfect loss 0.0014
2022-08-29 05:29:07.865847 Epoch 44, Train loss 0.2222, , Val loss 0.2332, Perfect loss 0.0014
2022-08-29 05:33:47.800340 Epoch 45, Train loss 0.2207, , Val loss 0.2228, Perfect loss 0.0014
