2022-08-27 02:01:16.472725 Epoch 1, Train loss 1.475, , Val loss 1.3516, Perfect loss 0.0015
2022-08-27 02:03:46.314082 Epoch 2, Train loss 1.3218, , Val loss 1.2794, Perfect loss 0.0014
2022-08-27 02:06:15.174398 Epoch 3, Train loss 1.2581, , Val loss 1.227, Perfect loss 0.0013
2022-08-27 02:08:44.080645 Epoch 4, Train loss 1.2051, , Val loss 1.1727, Perfect loss 0.0013
2022-08-27 02:11:12.964396 Epoch 5, Train loss 1.1835, , Val loss 1.125, Perfect loss 0.0013
2022-08-27 02:13:42.861531 Epoch 6, Train loss 1.121, , Val loss 1.0836, Perfect loss 0.0013
2022-08-27 02:16:12.129974 Epoch 7, Train loss 1.0719, , Val loss 1.0553, Perfect loss 0.0013
2022-08-27 02:18:41.327321 Epoch 8, Train loss 1.0377, , Val loss 1.0263, Perfect loss 0.0013
2022-08-27 02:21:10.961292 Epoch 9, Train loss 1.0326, , Val loss 1.0007, Perfect loss 0.0013
2022-08-27 02:23:40.721264 Epoch 10, Train loss 0.9898, , Val loss 0.9616, Perfect loss 0.0013
2022-08-27 02:26:10.977941 Epoch 11, Train loss 0.9626, , Val loss 0.9594, Perfect loss 0.0013
2022-08-27 02:28:39.729690 Epoch 12, Train loss 0.9847, , Val loss 0.9463, Perfect loss 0.0013
2022-08-27 02:31:08.914834 Epoch 13, Train loss 0.9437, , Val loss 0.9233, Perfect loss 0.0013
2022-08-27 02:33:38.465345 Epoch 14, Train loss 0.9345, , Val loss 0.9191, Perfect loss 0.0013
2022-08-27 02:36:07.651407 Epoch 15, Train loss 0.9136, , Val loss 0.8984, Perfect loss 0.0013
2022-08-27 02:38:36.335759 Epoch 16, Train loss 0.8428, , Val loss 0.766, Perfect loss 0.0013
2022-08-27 02:41:05.543321 Epoch 17, Train loss 0.6832, , Val loss 0.6363, Perfect loss 0.0013
2022-08-27 02:43:34.285356 Epoch 18, Train loss 0.593, , Val loss 0.5773, Perfect loss 0.0013
2022-08-27 02:46:03.626213 Epoch 19, Train loss 0.5382, , Val loss 0.5154, Perfect loss 0.0013
2022-08-27 02:48:32.668814 Epoch 20, Train loss 0.5002, , Val loss 0.4917, Perfect loss 0.0013
2022-08-27 02:51:03.218545 Epoch 21, Train loss 0.4595, , Val loss 0.4678, Perfect loss 0.0013
2022-08-27 02:53:33.404708 Epoch 22, Train loss 0.4356, , Val loss 0.4257, Perfect loss 0.0013
2022-08-27 02:56:03.626184 Epoch 23, Train loss 0.4103, , Val loss 0.4151, Perfect loss 0.0013
2022-08-27 02:58:33.140343 Epoch 24, Train loss 0.3956, , Val loss 0.3973, Perfect loss 0.0013
2022-08-27 03:01:03.026270 Epoch 25, Train loss 0.3714, , Val loss 0.3726, Perfect loss 0.0013
2022-08-27 03:03:32.720443 Epoch 26, Train loss 0.3566, , Val loss 0.3557, Perfect loss 0.0013
2022-08-27 03:06:02.298541 Epoch 27, Train loss 0.3396, , Val loss 0.3328, Perfect loss 0.0013
2022-08-27 03:08:32.119881 Epoch 28, Train loss 0.3204, , Val loss 0.3312, Perfect loss 0.0013
2022-08-27 03:11:02.420788 Epoch 29, Train loss 0.3037, , Val loss 0.3065, Perfect loss 0.0013
2022-08-27 03:13:32.660940 Epoch 30, Train loss 0.2912, , Val loss 0.3032, Perfect loss 0.0013
2022-08-27 03:16:04.222480 Epoch 31, Train loss 0.2809, , Val loss 0.2775, Perfect loss 0.0013
2022-08-27 03:18:34.175627 Epoch 32, Train loss 0.274, , Val loss 0.269, Perfect loss 0.0013
2022-08-27 03:21:05.184142 Epoch 33, Train loss 0.2591, , Val loss 0.262, Perfect loss 0.0013
2022-08-27 03:23:35.898183 Epoch 34, Train loss 0.2534, , Val loss 0.2585, Perfect loss 0.0013
2022-08-27 03:26:06.780758 Epoch 35, Train loss 0.2544, , Val loss 0.2523, Perfect loss 0.0013
2022-08-27 03:28:37.580902 Epoch 36, Train loss 0.2493, , Val loss 0.2564, Perfect loss 0.0013
2022-08-27 03:31:08.414404 Epoch 37, Train loss 0.2319, , Val loss 0.234, Perfect loss 0.0013
2022-08-27 03:33:40.085658 Epoch 38, Train loss 0.2247, , Val loss 0.2331, Perfect loss 0.0013
2022-08-27 03:36:10.840475 Epoch 39, Train loss 0.2146, , Val loss 0.2261, Perfect loss 0.0013
2022-08-27 03:38:40.962061 Epoch 40, Train loss 0.2201, , Val loss 0.2193, Perfect loss 0.0013
2022-08-27 03:41:12.087045 Epoch 41, Train loss 0.2125, , Val loss 0.217, Perfect loss 0.0013
2022-08-27 03:43:42.045874 Epoch 42, Train loss 0.2059, , Val loss 0.2068, Perfect loss 0.0013
2022-08-27 03:46:12.593594 Epoch 43, Train loss 0.197, , Val loss 0.2133, Perfect loss 0.0013
2022-08-27 03:48:44.506337 Epoch 44, Train loss 0.1903, , Val loss 0.2107, Perfect loss 0.0013
2022-08-27 03:51:15.732611 Epoch 45, Train loss 0.1891, , Val loss 0.197, Perfect loss 0.0013
2022-08-27 03:53:46.856152 Epoch 46, Train loss 0.1847, , Val loss 0.2005, Perfect loss 0.0013
2022-08-27 03:56:17.760801 Epoch 47, Train loss 0.1746, , Val loss 0.2029, Perfect loss 0.0013
