2022-08-28 20:51:25.778133 Epoch 1, Train loss 1.4458, , Val loss 1.4228, Perfect loss 0.0015
2022-08-28 20:55:00.411476 Epoch 2, Train loss 1.4045, , Val loss 1.3787, Perfect loss 0.0015
2022-08-28 20:58:37.025052 Epoch 3, Train loss 1.3721, , Val loss 1.355, Perfect loss 0.0015
2022-08-28 21:02:11.848002 Epoch 4, Train loss 1.3445, , Val loss 1.3519, Perfect loss 0.0015
2022-08-28 21:05:44.048011 Epoch 5, Train loss 1.327, , Val loss 1.3186, Perfect loss 0.0015
2022-08-28 21:09:11.452535 Epoch 6, Train loss 1.3067, , Val loss 1.295, Perfect loss 0.0015
2022-08-28 21:12:36.513741 Epoch 7, Train loss 1.2871, , Val loss 1.2717, Perfect loss 0.0015
2022-08-28 21:16:02.710311 Epoch 8, Train loss 1.2714, , Val loss 1.3202, Perfect loss 0.0015
2022-08-28 21:19:31.209670 Epoch 9, Train loss 1.2504, , Val loss 1.2437, Perfect loss 0.0015
2022-08-28 21:22:57.721192 Epoch 10, Train loss 1.2416, , Val loss 1.2248, Perfect loss 0.0015
2022-08-28 21:26:32.768573 Epoch 11, Train loss 1.2302, , Val loss 1.2119, Perfect loss 0.0015
2022-08-28 21:30:03.323491 Epoch 12, Train loss 1.208, , Val loss 1.1861, Perfect loss 0.0015
2022-08-28 21:34:04.870078 Epoch 13, Train loss 1.1819, , Val loss 1.1561, Perfect loss 0.0015
2022-08-28 21:37:49.852426 Epoch 14, Train loss 1.1545, , Val loss 1.1375, Perfect loss 0.0015
2022-08-28 21:41:07.602157 Epoch 15, Train loss 1.122, , Val loss 1.1057, Perfect loss 0.0015
2022-08-28 21:44:25.830715 Epoch 16, Train loss 1.0956, , Val loss 1.089, Perfect loss 0.0015
2022-08-28 21:47:49.315536 Epoch 17, Train loss 1.0392, , Val loss 1.0562, Perfect loss 0.0015
2022-08-28 21:51:12.421776 Epoch 18, Train loss 0.9891, , Val loss 0.9973, Perfect loss 0.0015
2022-08-28 21:54:30.847381 Epoch 19, Train loss 0.926, , Val loss 0.9133, Perfect loss 0.0015
