2022-08-28 14:33:38.322739 Epoch 1, Train loss 1.2305, , Val loss 1.1922, Perfect loss 0.0015
2022-08-28 14:36:53.476819 Epoch 2, Train loss 1.1561, , Val loss 1.1309, Perfect loss 0.0015
2022-08-28 14:40:01.997643 Epoch 3, Train loss 1.1252, , Val loss 1.1232, Perfect loss 0.0015
2022-08-28 14:43:09.185543 Epoch 4, Train loss 1.0997, , Val loss 1.0967, Perfect loss 0.0015
2022-08-28 14:46:16.797667 Epoch 5, Train loss 1.0797, , Val loss 1.1607, Perfect loss 0.0015
2022-08-28 14:49:32.185978 Epoch 6, Train loss 1.0652, , Val loss 1.0659, Perfect loss 0.0015
2022-08-28 14:52:45.310079 Epoch 7, Train loss 1.0415, , Val loss 1.0305, Perfect loss 0.0015
2022-08-28 14:55:52.626064 Epoch 8, Train loss 1.0472, , Val loss 1.0387, Perfect loss 0.0015
2022-08-28 14:59:01.092102 Epoch 9, Train loss 1.0172, , Val loss 0.9975, Perfect loss 0.0015
2022-08-28 15:02:09.312184 Epoch 10, Train loss 0.9994, , Val loss 0.9942, Perfect loss 0.0015
2022-08-28 15:05:22.527317 Epoch 11, Train loss 1.0034, , Val loss 1.0125, Perfect loss 0.0015
2022-08-28 15:08:31.379808 Epoch 12, Train loss 0.9899, , Val loss 0.9682, Perfect loss 0.0015
2022-08-28 15:11:39.708972 Epoch 13, Train loss 0.9739, , Val loss 0.9829, Perfect loss 0.0015
2022-08-28 15:14:48.730309 Epoch 14, Train loss 0.982, , Val loss 0.989, Perfect loss 0.0015
2022-08-28 15:17:56.651220 Epoch 15, Train loss 0.9753, , Val loss 0.9685, Perfect loss 0.0015
2022-08-28 15:21:04.363847 Epoch 16, Train loss 0.9611, , Val loss 0.9587, Perfect loss 0.0015
2022-08-28 15:24:12.618063 Epoch 17, Train loss 0.9524, , Val loss 0.957, Perfect loss 0.0015
2022-08-28 15:27:21.744882 Epoch 18, Train loss 0.9502, , Val loss 0.9597, Perfect loss 0.0015
2022-08-28 15:30:29.270168 Epoch 19, Train loss 0.9475, , Val loss 0.9452, Perfect loss 0.0015
2022-08-28 15:33:37.579466 Epoch 20, Train loss 0.9394, , Val loss 0.9439, Perfect loss 0.0015
2022-08-28 15:36:51.908890 Epoch 21, Train loss 0.9332, , Val loss 0.9275, Perfect loss 0.0015
2022-08-28 15:40:05.114558 Epoch 22, Train loss 0.9264, , Val loss 0.9224, Perfect loss 0.0015
2022-08-28 15:43:33.684647 Epoch 23, Train loss 0.9246, , Val loss 0.9381, Perfect loss 0.0015
2022-08-28 15:46:56.982461 Epoch 24, Train loss 0.9242, , Val loss 0.914, Perfect loss 0.0015
2022-08-28 15:50:33.397899 Epoch 25, Train loss 0.9188, , Val loss 0.9174, Perfect loss 0.0015
2022-08-28 15:54:06.498917 Epoch 26, Train loss 0.9134, , Val loss 0.9293, Perfect loss 0.0015
2022-08-28 15:57:36.307677 Epoch 27, Train loss 0.9234, , Val loss 0.9397, Perfect loss 0.0015
