2022-08-25 18:36:32.075111 Epoch 1, Train loss 1.185, , Val loss 1.1462, Perfect loss 0.0012
2022-08-25 18:38:25.524374 Epoch 2, Train loss 1.0777, , Val loss 1.0673, Perfect loss 0.0012
2022-08-25 18:40:19.191408 Epoch 3, Train loss 1.0559, , Val loss 1.0306, Perfect loss 0.0012
2022-08-25 18:42:11.566560 Epoch 4, Train loss 1.0384, , Val loss 1.0439, Perfect loss 0.0012
2022-08-25 18:44:04.610821 Epoch 5, Train loss 1.0242, , Val loss 1.0162, Perfect loss 0.0012
2022-08-25 18:45:58.570872 Epoch 6, Train loss 1.0162, , Val loss 1.0087, Perfect loss 0.0012
2022-08-25 18:47:44.240725 Epoch 7, Train loss 1.0041, , Val loss 1.0227, Perfect loss 0.0012
2022-08-25 18:49:28.838030 Epoch 8, Train loss 0.9906, , Val loss 0.9969, Perfect loss 0.0012
2022-08-25 18:51:13.672856 Epoch 9, Train loss 0.9843, , Val loss 0.9624, Perfect loss 0.0012
2022-08-25 18:52:58.532212 Epoch 10, Train loss 0.9669, , Val loss 0.9689, Perfect loss 0.0012
2022-08-25 18:54:43.208054 Epoch 11, Train loss 0.9693, , Val loss 0.9778, Perfect loss 0.0013
2022-08-25 18:56:29.827545 Epoch 12, Train loss 0.9672, , Val loss 0.9455, Perfect loss 0.0013
2022-08-25 18:58:21.320252 Epoch 13, Train loss 0.9465, , Val loss 0.9514, Perfect loss 0.0013
2022-08-25 19:00:15.516525 Epoch 14, Train loss 0.9391, , Val loss 0.9393, Perfect loss 0.0013
2022-08-25 19:02:11.429953 Epoch 15, Train loss 0.9623, , Val loss 0.9524, Perfect loss 0.0013
2022-08-25 19:04:04.612636 Epoch 16, Train loss 0.9412, , Val loss 0.9581, Perfect loss 0.0013
2022-08-25 19:05:56.583445 Epoch 17, Train loss 0.929, , Val loss 0.9191, Perfect loss 0.0013
2022-08-25 19:07:46.835400 Epoch 18, Train loss 0.9382, , Val loss 0.9434, Perfect loss 0.0013
2022-08-25 19:09:31.084943 Epoch 19, Train loss 0.925, , Val loss 0.9239, Perfect loss 0.0013
