2022-08-27 22:28:40.495026 Epoch 1, Train loss 1.2811, , Val loss 1.2804, Perfect loss 0.0015
2022-08-27 22:31:17.136642 Epoch 2, Train loss 1.2572, , Val loss 1.2795, Perfect loss 0.0014
2022-08-27 22:33:50.152048 Epoch 3, Train loss 1.2369, , Val loss 1.2277, Perfect loss 0.0013
2022-08-27 22:36:26.229907 Epoch 4, Train loss 1.2143, , Val loss 1.1997, Perfect loss 0.0013
2022-08-27 22:38:59.309267 Epoch 5, Train loss 1.1814, , Val loss 1.1804, Perfect loss 0.0013
2022-08-27 22:41:33.818563 Epoch 6, Train loss 1.1502, , Val loss 1.1366, Perfect loss 0.0013
2022-08-27 22:44:08.904505 Epoch 7, Train loss 1.1156, , Val loss 1.0832, Perfect loss 0.0013
2022-08-27 22:46:44.274612 Epoch 8, Train loss 1.0946, , Val loss 1.1041, Perfect loss 0.0013
2022-08-27 22:49:21.537093 Epoch 9, Train loss 1.0692, , Val loss 1.0468, Perfect loss 0.0013
2022-08-27 22:51:55.742727 Epoch 10, Train loss 1.0528, , Val loss 1.0175, Perfect loss 0.0013
2022-08-27 22:54:31.676163 Epoch 11, Train loss 1.0313, , Val loss 1.0255, Perfect loss 0.0013
2022-08-27 22:57:05.267302 Epoch 12, Train loss 1.0145, , Val loss 1.0086, Perfect loss 0.0013
2022-08-27 22:59:50.196764 Epoch 13, Train loss 1.0073, , Val loss 1.0031, Perfect loss 0.0013
2022-08-27 23:02:32.373229 Epoch 14, Train loss 1.0015, , Val loss 1.0093, Perfect loss 0.0013
2022-08-27 23:05:13.901860 Epoch 15, Train loss 0.9863, , Val loss 0.9856, Perfect loss 0.0013
2022-08-27 23:08:00.490104 Epoch 16, Train loss 0.9728, , Val loss 0.9797, Perfect loss 0.0013
2022-08-27 23:10:42.596777 Epoch 17, Train loss 0.9733, , Val loss 0.9666, Perfect loss 0.0013
2022-08-27 23:13:32.113251 Epoch 18, Train loss 0.9632, , Val loss 0.9571, Perfect loss 0.0013
2022-08-27 23:16:22.741719 Epoch 19, Train loss 0.9585, , Val loss 0.9477, Perfect loss 0.0013
2022-08-27 23:18:56.000887 Epoch 20, Train loss 0.9498, , Val loss 0.9481, Perfect loss 0.0013
