2022-08-17 14:49:04.369549 Epoch 1, Train loss 0.4401, , Val loss nan, Perfect loss 0.0012
2022-08-17 15:17:30.904314 Epoch 2, Train loss 0.1698, , Val loss 4.3287, Perfect loss 0.0012
2022-08-17 15:21:50.038846 Epoch 3, Train loss 0.0533, , Val loss 6.0842, Perfect loss 0.0012
2022-08-17 15:26:03.398898 Epoch 4, Train loss 0.0334, , Val loss 9.1359, Perfect loss 0.0012
2022-08-17 16:10:15.910612 Epoch 5, Train loss 0.5887, , Val loss 0.2924, Perfect loss 0.0012
2022-08-17 16:14:30.815542 Epoch 6, Train loss 0.2578, , Val loss 0.2095, Perfect loss 0.0012
2022-08-17 16:18:47.593403 Epoch 7, Train loss 0.2115, , Val loss 0.2433, Perfect loss 0.0012
2022-08-17 16:23:35.977487 Epoch 8, Train loss 0.1924, , Val loss 0.1396, Perfect loss 0.0012
2022-08-17 16:34:39.889256 Epoch 5, Train loss 0.0162, , Val loss 0.0013, Perfect loss 0.0012
2022-08-17 17:09:32.649051 Epoch 5, Train loss 0.0499, , Val loss 13.3787, Perfect loss 0.0012
2022-08-17 17:17:46.621828 Epoch 1, Train loss 0.3895, , Val loss 0.1206, Perfect loss 0.0012
2022-08-17 17:21:57.723287 Epoch 2, Train loss 0.1348, , Val loss 0.0374, Perfect loss 0.0012
2022-08-17 17:26:06.919659 Epoch 3, Train loss 0.0229, , Val loss 0.0021, Perfect loss 0.0012
2022-08-17 17:30:17.718470 Epoch 4, Train loss 0.1238, , Val loss 0.1156, Perfect loss 0.0012
2022-08-17 17:34:45.030862 Epoch 5, Train loss 0.0228, , Val loss 0.0016, Perfect loss 0.0012
2022-08-17 17:38:56.365736 Epoch 6, Train loss 0.0029, , Val loss 0.0006, Perfect loss 0.0012
2022-08-17 17:42:58.374248 Epoch 7, Train loss 0.0441, , Val loss 0.0168, Perfect loss 0.0012
2022-08-17 17:46:45.259594 Epoch 8, Train loss 0.0514, , Val loss 0.0019, Perfect loss 0.0012
2022-08-17 17:50:53.142899 Epoch 9, Train loss 0.6341, , Val loss 0.2861, Perfect loss 0.0012
2022-08-17 17:54:52.098810 Epoch 10, Train loss 0.204, , Val loss 0.5335, Perfect loss 0.0012
2022-08-17 17:58:49.378791 Epoch 11, Train loss 0.1496, , Val loss 0.0074, Perfect loss 0.0012
2022-08-17 18:02:47.357084 Epoch 12, Train loss 0.0274, , Val loss 0.0029, Perfect loss 0.0012
2022-08-17 18:06:47.682957 Epoch 13, Train loss 0.0595, , Val loss 0.0053, Perfect loss 0.0012
2022-08-17 18:10:45.721744 Epoch 14, Train loss 0.0114, , Val loss 0.0011, Perfect loss 0.0012
2022-08-17 18:14:44.368381 Epoch 15, Train loss 0.0177, , Val loss 0.0003, Perfect loss 0.0012
2022-08-17 18:18:41.128623 Epoch 16, Train loss 0.046, , Val loss 0.0013, Perfect loss 0.0012
2022-08-17 18:23:43.099410 Epoch 17, Train loss 0.3701, , Val loss 0.1624, Perfect loss 0.0012
2022-08-17 18:28:41.902750 Epoch 18, Train loss 0.0995, , Val loss 0.0849, Perfect loss 0.0012
2022-08-17 18:33:41.841703 Epoch 19, Train loss 0.0581, , Val loss 0.04, Perfect loss 0.0012
2022-08-17 18:38:41.424205 Epoch 20, Train loss 0.043, , Val loss 0.016, Perfect loss 0.0012
2022-08-17 18:43:44.590938 Epoch 21, Train loss 0.0329, , Val loss 0.0054, Perfect loss 0.0012
2022-08-17 18:48:46.729789 Epoch 22, Train loss 0.0421, , Val loss 0.0365, Perfect loss 0.0013
2022-08-17 18:53:48.168222 Epoch 23, Train loss 0.0219, , Val loss 0.024, Perfect loss 0.0013
2022-08-17 18:58:46.074611 Epoch 24, Train loss 0.0188, , Val loss 0.0051, Perfect loss 0.0013
2022-08-17 19:03:46.958866 Epoch 25, Train loss 0.3673, , Val loss 0.3367, Perfect loss 0.0013
2022-08-17 19:08:44.904598 Epoch 26, Train loss 0.2697, , Val loss 0.2805, Perfect loss 0.0013
2022-08-17 19:13:45.125332 Epoch 27, Train loss 0.2394, , Val loss 0.2849, Perfect loss 0.0013
2022-08-17 19:18:46.198873 Epoch 28, Train loss 0.2142, , Val loss 0.2288, Perfect loss 0.0013
2022-08-17 19:24:28.699036 Epoch 29, Train loss 0.1916, , Val loss 0.2213, Perfect loss 0.0013
