2022-08-19 04:00:03.054694 Epoch 1, Train loss 0.3587, , Val loss 0.1682, Perfect loss 0.0012
2022-08-19 04:01:46.392772 Epoch 2, Train loss 0.1081, , Val loss 0.0824, Perfect loss 0.0012
2022-08-19 04:03:27.718280 Epoch 3, Train loss 0.0346, , Val loss 0.0206, Perfect loss 0.0012
2022-08-19 04:05:09.723024 Epoch 4, Train loss 0.0353, , Val loss 0.0043, Perfect loss 0.0012
2022-08-19 04:06:46.912010 Epoch 5, Train loss 0.0265, , Val loss 0.0016, Perfect loss 0.0012
2022-08-19 04:08:26.446592 Epoch 6, Train loss 0.0203, , Val loss 0.0075, Perfect loss 0.0012
2022-08-19 04:10:04.469852 Epoch 7, Train loss 0.0359, , Val loss 0.0042, Perfect loss 0.0012
2022-08-19 04:11:42.661201 Epoch 8, Train loss 0.0112, , Val loss 0.0009, Perfect loss 0.0012
2022-08-19 04:13:23.405988 Epoch 9, Train loss 0.0021, , Val loss 0.0004, Perfect loss 0.0012
2022-08-19 04:15:01.103708 Epoch 10, Train loss 0.0017, , Val loss 0.0003, Perfect loss 0.0012
2022-08-19 04:16:38.672281 Epoch 11, Train loss 0.0238, , Val loss 0.0006, Perfect loss 0.0012
2022-08-19 04:18:18.165255 Epoch 12, Train loss 0.0019, , Val loss 0.0002, Perfect loss 0.0012
2022-08-19 04:19:56.766341 Epoch 13, Train loss 0.0042, , Val loss 0.0164, Perfect loss 0.0012
2022-08-19 04:21:32.750799 Epoch 14, Train loss 0.0048, , Val loss 0.0001, Perfect loss 0.0012
2022-08-19 04:23:11.053335 Epoch 15, Train loss 0.0113, , Val loss 0.0001, Perfect loss 0.0012
2022-08-19 04:24:48.391395 Epoch 16, Train loss 0.008, , Val loss 0.0003, Perfect loss 0.0012
2022-08-19 04:26:27.301602 Epoch 17, Train loss 0.0022, , Val loss 0.0003, Perfect loss 0.0012
2022-08-19 04:28:06.425536 Epoch 18, Train loss 0.0048, , Val loss 0.0162, Perfect loss 0.0012
2022-08-19 04:29:55.612694 Epoch 19, Train loss 0.0047, , Val loss 0.0001, Perfect loss 0.0012
2022-08-19 04:31:37.215982 Epoch 20, Train loss 0.0115, , Val loss 0.0001, Perfect loss 0.0012
2022-08-19 04:33:21.087913 Epoch 21, Train loss 0.539, , Val loss 0.2286, Perfect loss 0.0012
