2022-08-30 20:20:28.545762 Epoch 1, Train loss 0.4543, , Val loss 0.3903, Perfect loss 0.0012
2022-08-30 20:23:18.611601 Epoch 2, Train loss 0.3024, , Val loss 0.3158, Perfect loss 0.0012
2022-08-30 20:26:10.231918 Epoch 3, Train loss 0.2459, , Val loss 0.3113, Perfect loss 0.0012
2022-08-30 20:28:50.056444 Epoch 4, Train loss 0.2161, , Val loss 0.2908, Perfect loss 0.0012
2022-08-30 20:31:29.071086 Epoch 5, Train loss 0.1925, , Val loss 0.2975, Perfect loss 0.0012
2022-08-30 20:34:09.573148 Epoch 6, Train loss 0.1742, , Val loss 0.2822, Perfect loss 0.0012
2022-08-30 20:36:41.131165 Epoch 7, Train loss 0.155, , Val loss 0.282, Perfect loss 0.0012
2022-08-30 20:39:13.055521 Epoch 8, Train loss 0.1517, , Val loss 0.2722, Perfect loss 0.0012
2022-08-30 20:41:52.883838 Epoch 9, Train loss 0.1423, , Val loss 0.2615, Perfect loss 0.0012
2022-08-30 20:44:29.247240 Epoch 10, Train loss 0.13, , Val loss 0.2749, Perfect loss 0.0013
2022-08-30 20:47:06.079245 Epoch 11, Train loss 0.1233, , Val loss 0.2512, Perfect loss 0.0013
2022-08-30 20:49:41.925852 Epoch 12, Train loss 0.1084, , Val loss 0.2731, Perfect loss 0.0013
2022-08-30 20:52:17.701389 Epoch 13, Train loss 0.1092, , Val loss 0.2707, Perfect loss 0.0013
2022-08-30 20:54:53.574842 Epoch 14, Train loss 0.0932, , Val loss 0.2574, Perfect loss 0.0013
2022-08-30 20:57:29.112332 Epoch 15, Train loss 0.0873, , Val loss 0.2579, Perfect loss 0.0013
2022-08-30 21:00:08.553012 Epoch 16, Train loss 0.0944, , Val loss 0.2405, Perfect loss 0.0013
2022-08-30 21:03:18.347585 Epoch 17, Train loss 0.0854, , Val loss 0.2515, Perfect loss 0.0013
2022-08-30 21:07:07.158990 Epoch 18, Train loss 0.0772, , Val loss 0.2464, Perfect loss 0.0013
2022-08-30 21:09:42.673232 Epoch 19, Train loss 0.0768, , Val loss 0.2329, Perfect loss 0.0013
2022-08-30 21:12:13.033875 Epoch 20, Train loss 0.0682, , Val loss 0.2588, Perfect loss 0.0013
2022-08-30 21:14:51.824409 Epoch 21, Train loss 0.0685, , Val loss 0.2543, Perfect loss 0.0013
2022-08-30 21:17:30.598416 Epoch 22, Train loss 0.0672, , Val loss 0.3038, Perfect loss 0.0013
2022-08-30 21:20:09.461413 Epoch 23, Train loss 0.0622, , Val loss 0.2793, Perfect loss 0.0013
2022-08-30 21:22:48.663615 Epoch 24, Train loss 0.0566, , Val loss 0.2488, Perfect loss 0.0013
2022-08-30 21:25:26.617682 Epoch 25, Train loss 0.0624, , Val loss 0.244, Perfect loss 0.0013
2022-08-30 21:28:04.986317 Epoch 26, Train loss 0.0541, , Val loss 0.2112, Perfect loss 0.0013
2022-08-30 21:30:42.919950 Epoch 27, Train loss 0.0545, , Val loss 0.2738, Perfect loss 0.0013
2022-08-30 21:33:25.049470 Epoch 28, Train loss 0.0561, , Val loss 0.2265, Perfect loss 0.0013
2022-08-30 21:36:11.205343 Epoch 29, Train loss 0.0481, , Val loss 0.2407, Perfect loss 0.0013
