2022-08-30 11:57:18.897054 Epoch 1, Train loss 0.5933, , Val loss 0.5577, Perfect loss 0.0012
2022-08-30 12:01:27.137389 Epoch 2, Train loss 0.501, , Val loss 0.5227, Perfect loss 0.0012
2022-08-30 12:05:33.004790 Epoch 3, Train loss 0.4506, , Val loss 0.4802, Perfect loss 0.0012
2022-08-30 12:09:38.656531 Epoch 4, Train loss 0.4126, , Val loss 0.4425, Perfect loss 0.0012
2022-08-30 12:13:44.549484 Epoch 5, Train loss 0.3799, , Val loss 0.4435, Perfect loss 0.0012
2022-08-30 12:18:01.351523 Epoch 6, Train loss 0.3537, , Val loss 0.4192, Perfect loss 0.0012
2022-08-30 12:22:18.445919 Epoch 7, Train loss 0.3302, , Val loss 0.4023, Perfect loss 0.0012
2022-08-30 12:26:29.428682 Epoch 8, Train loss 0.3115, , Val loss 0.4098, Perfect loss 0.0013
2022-08-30 12:30:40.462937 Epoch 9, Train loss 0.2877, , Val loss 0.4007, Perfect loss 0.0013
2022-08-30 12:34:46.825040 Epoch 10, Train loss 0.2705, , Val loss 0.385, Perfect loss 0.0013
2022-08-30 12:38:53.130781 Epoch 11, Train loss 0.2574, , Val loss 0.3718, Perfect loss 0.0013
2022-08-30 12:46:09.501850 Epoch 11, Train loss 0.2546, , Val loss 0.3783, Perfect loss 0.0013
2022-08-30 12:50:06.525790 Epoch 12, Train loss 0.2357, , Val loss 0.3656, Perfect loss 0.0013
2022-08-30 12:54:04.156325 Epoch 13, Train loss 0.2252, , Val loss 0.377, Perfect loss 0.0013
2022-08-30 12:58:07.267384 Epoch 14, Train loss 0.2115, , Val loss 0.3509, Perfect loss 0.0013
2022-08-30 13:02:07.051344 Epoch 15, Train loss 0.1996, , Val loss 0.3495, Perfect loss 0.0013
2022-08-30 13:06:01.651204 Epoch 16, Train loss 0.1847, , Val loss 0.352, Perfect loss 0.0013
2022-08-30 13:09:57.376026 Epoch 17, Train loss 0.1758, , Val loss 0.3516, Perfect loss 0.0013
2022-08-30 13:13:51.692812 Epoch 18, Train loss 0.1654, , Val loss 0.344, Perfect loss 0.0013
2022-08-30 13:17:49.004976 Epoch 19, Train loss 0.1564, , Val loss 0.3233, Perfect loss 0.0013
2022-08-30 13:21:46.167181 Epoch 20, Train loss 0.148, , Val loss 0.3274, Perfect loss 0.0013
2022-08-30 13:25:46.955077 Epoch 21, Train loss 0.1365, , Val loss 0.2919, Perfect loss 0.0013
2022-08-30 13:29:53.027104 Epoch 22, Train loss 0.1314, , Val loss 0.3186, Perfect loss 0.0013
2022-08-30 13:34:02.821255 Epoch 23, Train loss 0.129, , Val loss 0.334, Perfect loss 0.0013
2022-08-30 13:38:06.140558 Epoch 24, Train loss 0.1203, , Val loss 0.2947, Perfect loss 0.0013
2022-08-30 13:42:06.750217 Epoch 25, Train loss 0.1175, , Val loss 0.3146, Perfect loss 0.0013
2022-08-30 13:46:14.141290 Epoch 26, Train loss 0.1104, , Val loss 0.2987, Perfect loss 0.0013
2022-08-30 13:50:17.331691 Epoch 27, Train loss 0.1068, , Val loss 0.3188, Perfect loss 0.0013
2022-08-30 13:54:18.279513 Epoch 28, Train loss 0.0973, , Val loss 0.2916, Perfect loss 0.0013
2022-08-30 13:58:22.064922 Epoch 29, Train loss 0.096, , Val loss 0.287, Perfect loss 0.0013
2022-08-30 14:02:31.391746 Epoch 30, Train loss 0.0897, , Val loss 0.3507, Perfect loss 0.0014
2022-08-30 14:06:35.107709 Epoch 31, Train loss 0.0926, , Val loss 0.2915, Perfect loss 0.0014
2022-08-30 14:10:37.812704 Epoch 32, Train loss 0.0855, , Val loss 0.3078, Perfect loss 0.0014
2022-08-30 14:14:40.262748 Epoch 33, Train loss 0.0827, , Val loss 0.3525, Perfect loss 0.0014
2022-08-30 14:18:39.375930 Epoch 34, Train loss 0.0787, , Val loss 0.3056, Perfect loss 0.0014
2022-08-30 14:23:02.505822 Epoch 35, Train loss 0.0767, , Val loss 0.2843, Perfect loss 0.0014
2022-08-30 14:27:00.421529 Epoch 36, Train loss 0.0761, , Val loss 0.3262, Perfect loss 0.0014
2022-08-30 14:31:29.747377 Epoch 37, Train loss 0.0719, , Val loss 0.3225, Perfect loss 0.0014
2022-08-30 14:35:29.878734 Epoch 38, Train loss 0.07, , Val loss 0.3585, Perfect loss 0.0014
2022-08-30 14:39:34.983022 Epoch 39, Train loss 0.0703, , Val loss 0.3083, Perfect loss 0.0014
2022-08-30 14:44:55.519037 Epoch 40, Train loss 0.0657, , Val loss 0.3714, Perfect loss 0.0014
2022-08-30 14:49:03.300785 Epoch 41, Train loss 0.071, , Val loss 0.3178, Perfect loss 0.0014
2022-08-30 14:53:12.249791 Epoch 42, Train loss 0.0641, , Val loss 0.267, Perfect loss 0.0014
2022-08-30 14:57:14.627130 Epoch 43, Train loss 0.0611, , Val loss 0.3262, Perfect loss 0.0014
2022-08-30 15:01:24.350272 Epoch 44, Train loss 0.0608, , Val loss 0.3151, Perfect loss 0.0014
2022-08-30 15:05:19.195021 Epoch 45, Train loss 0.0592, , Val loss 0.3162, Perfect loss 0.0014
2022-08-30 15:09:16.461085 Epoch 46, Train loss 0.0627, , Val loss 0.3205, Perfect loss 0.0014
