2022-08-16 23:40:26.830314 Epoch 1, Train loss 0.4463, , loss_ez: 0.5791, loss_hd 0.3111, Val loss 0.3237, Perfect loss 0.0012
2022-08-16 23:49:35.722707 Epoch 2, Train loss 0.2981, , loss_ez: 0.4829, loss_hd 0.1109, Val loss 0.2819, Perfect loss 0.0012
2022-08-16 23:58:32.477302 Epoch 3, Train loss 0.247, , loss_ez: 0.4011, loss_hd 0.0903, Val loss 0.2554, Perfect loss 0.0012
2022-08-17 00:07:44.996798 Epoch 4, Train loss 0.2107, , loss_ez: 0.3454, loss_hd 0.0736, Val loss 0.1984, Perfect loss 0.0012
2022-08-17 00:16:47.972202 Epoch 5, Train loss 0.1828, , loss_ez: 0.3003, loss_hd 0.0629, Val loss 0.1962, Perfect loss 0.0012
2022-08-17 00:25:49.022178 Epoch 6, Train loss 0.1651, , loss_ez: 0.2729, loss_hd 0.0548, Val loss 0.1724, Perfect loss 0.0012
2022-08-17 00:35:00.202740 Epoch 7, Train loss 0.1511, , loss_ez: 0.2494, loss_hd 0.0503, Val loss 0.1739, Perfect loss 0.0012
2022-08-17 00:43:58.944615 Epoch 8, Train loss 0.1381, , loss_ez: 0.2293, loss_hd 0.0445, Val loss 0.1399, Perfect loss 0.0012
2022-08-17 00:53:10.702492 Epoch 9, Train loss 0.1303, , loss_ez: 0.216, loss_hd 0.0421, Val loss 0.1377, Perfect loss 0.0012
2022-08-17 01:02:04.966181 Epoch 10, Train loss 0.1267, , loss_ez: 0.2101, loss_hd 0.0409, Val loss 0.1261, Perfect loss 0.0012
2022-08-17 01:11:09.123365 Epoch 11, Train loss 0.1156, , loss_ez: 0.1921, loss_hd 0.0366, Val loss 0.1214, Perfect loss 0.0012
2022-08-17 01:20:25.838410 Epoch 12, Train loss 0.1074, , loss_ez: 0.1785, loss_hd 0.0338, Val loss 0.119, Perfect loss 0.0012
2022-08-17 01:29:16.672984 Epoch 13, Train loss 0.0998, , loss_ez: 0.166, loss_hd 0.0312, Val loss 0.1128, Perfect loss 0.0013
2022-08-17 01:38:14.248974 Epoch 14, Train loss 0.0964, , loss_ez: 0.1595, loss_hd 0.0307, Val loss 0.0989, Perfect loss 0.0013
2022-08-17 01:47:05.971347 Epoch 15, Train loss 0.0866, , loss_ez: 0.1444, loss_hd 0.0262, Val loss 0.1133, Perfect loss 0.0013
2022-08-17 01:56:18.048862 Epoch 16, Train loss 0.0887, , loss_ez: 0.147, loss_hd 0.0278, Val loss 0.1125, Perfect loss 0.0013
2022-08-17 02:05:25.988555 Epoch 17, Train loss 0.0825, , loss_ez: 0.1365, loss_hd 0.0259, Val loss 0.1013, Perfect loss 0.0013
2022-08-17 02:14:15.473461 Epoch 18, Train loss 0.0775, , loss_ez: 0.1284, loss_hd 0.024, Val loss 0.0885, Perfect loss 0.0013
2022-08-17 02:23:18.118010 Epoch 19, Train loss 0.079, , loss_ez: 0.1307, loss_hd 0.0249, Val loss 0.0847, Perfect loss 0.0013
2022-08-17 02:32:02.995394 Epoch 20, Train loss 0.0771, , loss_ez: 0.1278, loss_hd 0.0238, Val loss 0.0833, Perfect loss 0.0013
2022-08-17 02:40:53.319771 Epoch 21, Train loss 0.0715, , loss_ez: 0.119, loss_hd 0.0214, Val loss 0.0869, Perfect loss 0.0013
2022-08-17 02:49:33.371215 Epoch 22, Train loss 0.0699, , loss_ez: 0.1164, loss_hd 0.021, Val loss 0.0813, Perfect loss 0.0013
2022-08-17 02:58:17.977660 Epoch 23, Train loss 0.0692, , loss_ez: 0.1154, loss_hd 0.0204, Val loss 0.09, Perfect loss 0.0013
2022-08-17 03:07:52.773406 Epoch 24, Train loss 0.0636, , loss_ez: 0.1061, loss_hd 0.0185, Val loss 0.0847, Perfect loss 0.0013
2022-08-17 03:16:58.384349 Epoch 25, Train loss 0.0637, , loss_ez: 0.1057, loss_hd 0.0191, Val loss 0.0939, Perfect loss 0.0013
2022-08-17 03:26:00.004698 Epoch 26, Train loss 0.0619, , loss_ez: 0.1031, loss_hd 0.0182, Val loss 0.0831, Perfect loss 0.0013
2022-08-17 03:35:08.519595 Epoch 27, Train loss 0.0613, , loss_ez: 0.1022, loss_hd 0.0178, Val loss 0.0804, Perfect loss 0.0013
2022-08-17 03:44:37.422464 Epoch 28, Train loss 0.0591, , loss_ez: 0.0987, loss_hd 0.0171, Val loss 0.0679, Perfect loss 0.0013
2022-08-17 03:53:29.775795 Epoch 29, Train loss 0.0564, , loss_ez: 0.094, loss_hd 0.0163, Val loss 0.072, Perfect loss 0.0013
2022-08-17 04:02:23.538492 Epoch 30, Train loss 0.0585, , loss_ez: 0.0975, loss_hd 0.017, Val loss 0.069, Perfect loss 0.0013
2022-08-17 04:11:47.770533 Epoch 31, Train loss 0.0582, , loss_ez: 0.0967, loss_hd 0.0171, Val loss 0.0801, Perfect loss 0.0013
2022-08-17 04:21:00.899846 Epoch 32, Train loss 0.055, , loss_ez: 0.0918, loss_hd 0.0157, Val loss 0.0708, Perfect loss 0.0013
2022-08-17 04:29:49.925528 Epoch 33, Train loss 0.0536, , loss_ez: 0.0892, loss_hd 0.0155, Val loss 0.0657, Perfect loss 0.0013
2022-08-17 04:38:40.942904 Epoch 34, Train loss 0.0497, , loss_ez: 0.0828, loss_hd 0.0139, Val loss 0.0828, Perfect loss 0.0013
2022-08-17 04:47:35.474597 Epoch 35, Train loss 0.0552, , loss_ez: 0.0918, loss_hd 0.0161, Val loss 0.0695, Perfect loss 0.0013
