2022-08-18 15:54:37.629265 Epoch 1, Train loss 0.5858, , loss_ez: 0.6407, loss_hd 0.5284, Val loss 0.4619, Perfect loss 0.0012
2022-08-18 16:00:07.697453 Epoch 2, Train loss 0.2268, , loss_ez: 0.345, loss_hd 0.1063, Val loss 0.2393, Perfect loss 0.0012
2022-08-18 16:04:47.904590 Epoch 3, Train loss 0.1145, , loss_ez: 0.1776, loss_hd 0.0489, Val loss 0.1193, Perfect loss 0.0012
2022-08-18 16:07:29.581002 Epoch 4, Train loss 0.0351, , loss_ez: 0.0481, loss_hd 0.0196, Val loss 0.0961, Perfect loss 0.0012
2022-08-18 16:10:14.192657 Epoch 5, Train loss 0.0244, , loss_ez: 0.0314, loss_hd 0.0149, Val loss 0.0969, Perfect loss 0.0012
2022-08-18 16:12:56.479847 Epoch 6, Train loss 0.0178, , loss_ez: 0.0231, loss_hd 0.01, Val loss 0.0014, Perfect loss 0.0012
2022-08-18 16:15:41.064844 Epoch 7, Train loss 0.0088, , loss_ez: 0.0145, loss_hd 0.0007, Val loss 0.0005, Perfect loss 0.0012
2022-08-18 16:18:26.708724 Epoch 8, Train loss 0.0044, , loss_ez: 0.0038, loss_hd 0.0026, Val loss 0.0154, Perfect loss 0.0012
2022-08-18 16:21:14.069536 Epoch 9, Train loss 0.0057, , loss_ez: 0.007, loss_hd 0.0019, Val loss 0.0087, Perfect loss 0.0012
2022-08-18 16:24:04.454688 Epoch 10, Train loss 0.0171, , loss_ez: 0.0215, loss_hd 0.0102, Val loss 0.0293, Perfect loss 0.0012
2022-08-18 16:26:46.978519 Epoch 11, Train loss 0.018, , loss_ez: 0.0264, loss_hd 0.0071, Val loss 0.0016, Perfect loss 0.0012
2022-08-18 16:29:29.518685 Epoch 12, Train loss 0.0291, , loss_ez: 0.0346, loss_hd 0.0212, Val loss 0.0018, Perfect loss 0.0012
2022-08-18 16:32:13.865569 Epoch 13, Train loss -0.0609, , loss_ez: -0.1369, loss_hd 0.0126, Val loss 0.0016, Perfect loss 0.0012
2022-08-18 16:34:59.158851 Epoch 14, Train loss 0.0046, , loss_ez: 0.0046, loss_hd 0.0021, Val loss 0.001, Perfect loss 0.0012
2022-08-18 16:37:46.206646 Epoch 15, Train loss 0.0072, , loss_ez: 0.0091, loss_hd 0.0028, Val loss 0.0003, Perfect loss 0.0012
2022-08-18 16:40:33.684246 Epoch 16, Train loss 0.0017, , loss_ez: 0.0005, loss_hd 0.0004, Val loss 0.0004, Perfect loss 0.0012
2022-08-18 16:43:21.734813 Epoch 17, Train loss 0.0154, , loss_ez: 0.0181, loss_hd 0.0101, Val loss 0.1223, Perfect loss 0.0012
2022-08-18 16:46:08.666727 Epoch 18, Train loss 0.0134, , loss_ez: 0.0179, loss_hd 0.0064, Val loss 0.0002, Perfect loss 0.0012
2022-08-18 16:48:57.689139 Epoch 19, Train loss 0.0033, , loss_ez: 0.0017, loss_hd 0.0023, Val loss 0.0089, Perfect loss 0.0012
2022-08-18 16:51:47.646772 Epoch 20, Train loss 0.0015, , loss_ez: 0.0003, loss_hd 0.0002, Val loss 0.0001, Perfect loss 0.0012
2022-08-18 16:55:13.164745 Epoch 21, Train loss 0.227, , loss_ez: 0.2973, loss_hd 0.1543, Val loss 0.093, Perfect loss 0.0012
2022-08-18 16:58:54.257466 Epoch 22, Train loss 0.051, , loss_ez: 0.0723, loss_hd 0.0272, Val loss 0.0289, Perfect loss 0.0012
2022-08-18 17:04:56.182858 Epoch 23, Train loss 0.0283, , loss_ez: 0.0368, loss_hd 0.0172, Val loss 0.0222, Perfect loss 0.0012
2022-08-18 17:11:46.064096 Epoch 24, Train loss 0.0101, , loss_ez: 0.0137, loss_hd 0.0039, Val loss 0.0009, Perfect loss 0.0012
