2022-08-19 06:32:42.004158 Epoch 1, Train loss 0.3649, , loss_ez: 0.3898, loss_hd 0.3376, Val loss 0.1616, Perfect loss 0.0012
2022-08-19 06:35:36.183157 Epoch 2, Train loss 0.0616, , loss_ez: 0.0708, loss_hd 0.05, Val loss 0.2683, Perfect loss 0.0012
2022-08-19 06:38:28.268568 Epoch 3, Train loss 0.0119, , loss_ez: 0.0122, loss_hd 0.0091, Val loss 0.0011, Perfect loss 0.0012
2022-08-19 06:41:13.112670 Epoch 4, Train loss 0.0275, , loss_ez: 0.0265, loss_hd 0.0261, Val loss 0.0052, Perfect loss 0.0012
2022-08-19 06:44:00.991389 Epoch 5, Train loss 0.0228, , loss_ez: 0.026, loss_hd 0.0172, Val loss 0.0027, Perfect loss 0.0012
2022-08-19 06:46:46.401977 Epoch 6, Train loss 0.004, , loss_ez: 0.0033, loss_hd 0.0024, Val loss 0.0003, Perfect loss 0.0012
2022-08-19 06:49:31.610105 Epoch 7, Train loss 0.0016, , loss_ez: 0.0005, loss_hd 0.0003, Val loss 0.0002, Perfect loss 0.0012
2022-08-19 06:52:15.964286 Epoch 8, Train loss 0.0014, , loss_ez: 0.0002, loss_hd 0.0002, Val loss 0.0001, Perfect loss 0.0012
2022-08-19 06:55:02.114948 Epoch 9, Train loss 0.003, , loss_ez: 0.0035, loss_hd 0.0001, Val loss 0.0001, Perfect loss 0.0012
2022-08-19 06:57:49.523348 Epoch 10, Train loss 0.0046, , loss_ez: 0.0067, loss_hd 0.0001, Val loss 0.0, Perfect loss 0.0012
2022-08-19 07:00:37.360059 Epoch 11, Train loss 0.0029, , loss_ez: 0.0034, loss_hd 0.0001, Val loss 0.0001, Perfect loss 0.0012
2022-08-19 07:03:22.744223 Epoch 12, Train loss 0.0013, , loss_ez: 0.0001, loss_hd 0.0001, Val loss 0.0, Perfect loss 0.0012
2022-08-19 07:06:10.381682 Epoch 13, Train loss 0.0013, , loss_ez: 0.0001, loss_hd 0.0, Val loss 0.0081, Perfect loss 0.0012
2022-08-19 07:08:55.888482 Epoch 14, Train loss 0.0013, , loss_ez: 0.0, loss_hd 0.0, Val loss 0.0, Perfect loss 0.0012
2022-08-19 07:11:42.478977 Epoch 15, Train loss 0.0029, , loss_ez: 0.0033, loss_hd 0.0, Val loss 0.0, Perfect loss 0.0012
2022-08-19 07:14:28.990754 Epoch 16, Train loss 0.0029, , loss_ez: 0.0033, loss_hd 0.0, Val loss 0.0, Perfect loss 0.0012
2022-08-19 07:17:17.379435 Epoch 17, Train loss 0.0045, , loss_ez: 0.0066, loss_hd 0.0, Val loss 0.0, Perfect loss 0.0012
2022-08-19 07:20:05.065193 Epoch 18, Train loss 0.0029, , loss_ez: 0.0033, loss_hd 0.0, Val loss 0.0, Perfect loss 0.0012
2022-08-19 07:22:53.319670 Epoch 19, Train loss 0.0029, , loss_ez: 0.0033, loss_hd 0.0, Val loss 0.0, Perfect loss 0.0012
2022-08-19 07:25:39.856341 Epoch 20, Train loss 0.0029, , loss_ez: 0.0033, loss_hd 0.0, Val loss 0.0081, Perfect loss 0.0012
2022-08-19 07:28:25.567690 Epoch 21, Train loss 0.0012, , loss_ez: 0.0, loss_hd 0.0, Val loss 0.0, Perfect loss 0.0012
2022-08-19 07:31:12.585620 Epoch 22, Train loss 0.0032, , loss_ez: 0.0036, loss_hd 0.0004, Val loss 0.0042, Perfect loss 0.0012
2022-08-19 07:34:00.919636 Epoch 23, Train loss 0.0962, , loss_ez: 0.0902, loss_hd 0.0998, Val loss 0.6996, Perfect loss 0.0012
2022-08-19 07:36:48.092846 Epoch 24, Train loss -0.0479, , loss_ez: -0.1263, loss_hd 0.028, Val loss 0.0032, Perfect loss 0.0012
2022-08-19 07:39:35.608526 Epoch 25, Train loss 0.0065, , loss_ez: 0.0098, loss_hd 0.0007, Val loss 0.0002, Perfect loss 0.0012
2022-08-19 07:42:20.510455 Epoch 26, Train loss 0.0039, , loss_ez: 0.0047, loss_hd 0.0007, Val loss 0.0001, Perfect loss 0.0012
2022-08-19 07:45:06.625398 Epoch 27, Train loss 0.003, , loss_ez: 0.0034, loss_hd 0.0001, Val loss 0.0001, Perfect loss 0.0012
2022-08-19 07:47:52.539636 Epoch 28, Train loss 0.0014, , loss_ez: 0.0001, loss_hd 0.0001, Val loss 0.0081, Perfect loss 0.0012
2022-08-19 07:50:41.492001 Epoch 29, Train loss 0.0013, , loss_ez: 0.0001, loss_hd 0.0001, Val loss 0.0, Perfect loss 0.0012
2022-08-19 07:53:27.212962 Epoch 30, Train loss 0.0085, , loss_ez: 0.0077, loss_hd 0.0068, Val loss 0.0005, Perfect loss 0.0012
2022-08-19 07:56:14.732682 Epoch 31, Train loss 0.0667, , loss_ez: 0.062, loss_hd 0.0689, Val loss 0.0009, Perfect loss 0.0012
2022-08-19 07:59:00.777082 Epoch 32, Train loss 0.0051, , loss_ez: 0.006, loss_hd 0.0018, Val loss 0.0002, Perfect loss 0.0012
2022-08-19 08:01:48.911463 Epoch 33, Train loss 0.0032, , loss_ez: 0.0036, loss_hd 0.0003, Val loss 0.0082, Perfect loss 0.0012
2022-08-19 08:04:35.008736 Epoch 34, Train loss 0.0018, , loss_ez: 0.001, loss_hd 0.0002, Val loss 0.0082, Perfect loss 0.0012
2022-08-19 08:07:23.539145 Epoch 35, Train loss 0.003, , loss_ez: 0.0034, loss_hd 0.0001, Val loss 0.0, Perfect loss 0.0012
2022-08-19 08:10:10.761683 Epoch 36, Train loss 0.0032, , loss_ez: 0.0027, loss_hd 0.0012, Val loss 0.0541, Perfect loss 0.0012
2022-08-19 08:12:58.185752 Epoch 37, Train loss 0.0074, , loss_ez: 0.0093, loss_hd 0.003, Val loss 0.0082, Perfect loss 0.0012
2022-08-19 08:15:42.541896 Epoch 38, Train loss 0.0032, , loss_ez: 0.0037, loss_hd 0.0002, Val loss 0.0001, Perfect loss 0.0012
2022-08-19 08:18:27.483062 Epoch 39, Train loss 0.003, , loss_ez: 0.0034, loss_hd 0.0001, Val loss 0.0, Perfect loss 0.0012
2022-08-19 08:21:14.247612 Epoch 40, Train loss 0.0013, , loss_ez: 0.0001, loss_hd 0.0001, Val loss 0.0, Perfect loss 0.0012
2022-08-19 08:24:33.484201 Epoch 41, Train loss 0.2935, , loss_ez: 0.3709, loss_hd 0.2136, Val loss 0.1047, Perfect loss 0.0013
2022-08-19 08:27:51.637090 Epoch 42, Train loss 0.0372, , loss_ez: 0.0451, loss_hd 0.0268, Val loss 0.1284, Perfect loss 0.0013
2022-08-19 08:31:08.667563 Epoch 43, Train loss 0.0258, , loss_ez: 0.0288, loss_hd 0.0203, Val loss 0.0029, Perfect loss 0.0013
2022-08-19 08:34:25.856378 Epoch 44, Train loss 0.0037, , loss_ez: 0.0032, loss_hd 0.0017, Val loss 0.0051, Perfect loss 0.0013
2022-08-19 08:37:43.653874 Epoch 45, Train loss 0.0019, , loss_ez: 0.0008, loss_hd 0.0005, Val loss 0.0001, Perfect loss 0.0013
2022-08-19 08:41:01.866982 Epoch 46, Train loss 0.0018, , loss_ez: 0.0008, loss_hd 0.0004, Val loss 0.0003, Perfect loss 0.0013
2022-08-19 08:44:19.699827 Epoch 47, Train loss 0.0037, , loss_ez: 0.0044, loss_hd 0.0005, Val loss 0.0003, Perfect loss 0.0013
2022-08-19 08:47:38.153875 Epoch 48, Train loss 0.0014, , loss_ez: 0.0002, loss_hd 0.0001, Val loss 0.0001, Perfect loss 0.0013
2022-08-19 08:50:56.930161 Epoch 49, Train loss 0.0027, , loss_ez: 0.0015, loss_hd 0.0014, Val loss 0.0081, Perfect loss 0.0013
2022-08-19 08:54:14.688021 Epoch 50, Train loss 0.0665, , loss_ez: 0.0707, loss_hd 0.0598, Val loss 0.0132, Perfect loss 0.0013
2022-08-19 08:57:32.763838 Epoch 51, Train loss 0.0039, , loss_ez: 0.0035, loss_hd 0.0018, Val loss 0.0003, Perfect loss 0.0013
2022-08-19 09:00:50.314983 Epoch 52, Train loss 0.0017, , loss_ez: 0.0005, loss_hd 0.0003, Val loss 0.0002, Perfect loss 0.0013
2022-08-19 09:04:08.110321 Epoch 53, Train loss 0.0019, , loss_ez: 0.0009, loss_hd 0.0003, Val loss 0.0001, Perfect loss 0.0013
2022-08-19 09:07:26.541974 Epoch 54, Train loss 0.0017, , loss_ez: 0.0007, loss_hd 0.0003, Val loss 0.0001, Perfect loss 0.0013
2022-08-19 09:10:44.025052 Epoch 55, Train loss 0.0014, , loss_ez: 0.0002, loss_hd 0.0001, Val loss 0.0, Perfect loss 0.0013
2022-08-19 09:14:02.029293 Epoch 56, Train loss 0.003, , loss_ez: 0.0034, loss_hd 0.0001, Val loss 0.0, Perfect loss 0.0013
2022-08-19 09:17:19.763819 Epoch 57, Train loss 0.0013, , loss_ez: 0.0001, loss_hd 0.0001, Val loss 0.0, Perfect loss 0.0013
2022-08-19 09:20:37.507363 Epoch 58, Train loss 0.0013, , loss_ez: 0.0001, loss_hd 0.0, Val loss 0.0, Perfect loss 0.0013
2022-08-19 09:23:55.988254 Epoch 59, Train loss 0.0015, , loss_ez: 0.0002, loss_hd 0.0002, Val loss 0.0, Perfect loss 0.0013
2022-08-19 09:27:13.823952 Epoch 60, Train loss 0.0737, , loss_ez: 0.0872, loss_hd 0.0576, Val loss 0.0098, Perfect loss 0.0013
