2022-08-14 04:32:07.352637 Epoch 1, Train loss 0.6035, , Val loss 0.5541, Perfect loss 0.0012
2022-08-14 04:41:53.973944 Epoch 2, Train loss 0.4885, , Val loss 0.506, Perfect loss 0.0012
2022-08-14 04:51:19.342228 Epoch 3, Train loss 0.4592, , Val loss 0.4786, Perfect loss 0.0012
2022-08-14 05:00:37.247915 Epoch 4, Train loss 0.418, , Val loss 0.4235, Perfect loss 0.0012
2022-08-14 05:09:53.920782 Epoch 5, Train loss 0.4059, , Val loss 0.4699, Perfect loss 0.0012
2022-08-14 05:19:10.171166 Epoch 6, Train loss 0.3659, , Val loss 0.4223, Perfect loss 0.0012
2022-08-14 05:28:22.975031 Epoch 7, Train loss 0.3329, , Val loss 0.5001, Perfect loss 0.0012
2022-08-14 05:37:39.130485 Epoch 8, Train loss 0.3087, , Val loss 0.4289, Perfect loss 0.0012
2022-08-14 05:46:55.540716 Epoch 9, Train loss 0.2741, , Val loss 0.3806, Perfect loss 0.0012
2022-08-14 05:56:11.969598 Epoch 10, Train loss 0.2635, , Val loss 0.4453, Perfect loss 0.0012
2022-08-14 06:05:27.434157 Epoch 11, Train loss 0.2427, , Val loss 0.7335, Perfect loss 0.0013
2022-08-14 06:14:43.905398 Epoch 12, Train loss 0.23, , Val loss 0.5103, Perfect loss 0.0013
2022-08-14 06:24:00.071120 Epoch 13, Train loss 0.2028, , Val loss 0.3968, Perfect loss 0.0013
2022-08-14 06:33:16.556022 Epoch 14, Train loss 0.2021, , Val loss 0.465, Perfect loss 0.0013
2022-08-14 06:42:32.454797 Epoch 15, Train loss 0.1933, , Val loss 0.5036, Perfect loss 0.0013
2022-08-14 06:51:47.987328 Epoch 16, Train loss 0.1863, , Val loss 0.5725, Perfect loss 0.0013
2022-08-14 07:01:04.888646 Epoch 17, Train loss 0.1856, , Val loss 0.4401, Perfect loss 0.0013
2022-08-14 07:10:20.160082 Epoch 18, Train loss 0.1802, , Val loss 0.6821, Perfect loss 0.0013
2022-08-14 07:19:36.482876 Epoch 19, Train loss 0.179, , Val loss 0.4088, Perfect loss 0.0013
2022-08-14 07:28:52.244390 Epoch 20, Train loss 0.1606, , Val loss 0.4986, Perfect loss 0.0013
2022-08-14 07:38:09.438139 Epoch 21, Train loss 0.1585, , Val loss 0.5319, Perfect loss 0.0013
2022-08-14 07:47:27.795840 Epoch 22, Train loss 0.1503, , Val loss 0.4292, Perfect loss 0.0013
2022-08-14 07:56:46.174164 Epoch 23, Train loss 0.1504, , Val loss 0.5165, Perfect loss 0.0013
2022-08-14 08:06:01.878615 Epoch 24, Train loss 0.1507, , Val loss 0.7804, Perfect loss 0.0013
2022-08-14 08:15:17.202402 Epoch 25, Train loss 0.1381, , Val loss 0.7691, Perfect loss 0.0013
2022-08-14 08:24:33.161028 Epoch 26, Train loss 0.136, , Val loss 0.5523, Perfect loss 0.0013
2022-08-14 08:33:48.979116 Epoch 27, Train loss 0.1357, , Val loss 0.6184, Perfect loss 0.0013
2022-08-14 08:43:05.377217 Epoch 28, Train loss 0.1363, , Val loss 0.6973, Perfect loss 0.0013
2022-08-14 08:52:21.984097 Epoch 29, Train loss 0.1363, , Val loss 0.5161, Perfect loss 0.0013
2022-08-14 09:01:39.702992 Epoch 30, Train loss 0.1254, , Val loss 0.6934, Perfect loss 0.0013
2022-08-14 09:10:54.333843 Epoch 31, Train loss 0.1352, , Val loss 0.5088, Perfect loss 0.0013
2022-08-14 09:20:09.525579 Epoch 32, Train loss 0.1317, , Val loss 0.8554, Perfect loss 0.0013
2022-08-14 09:29:25.109075 Epoch 33, Train loss 0.1255, , Val loss 0.9636, Perfect loss 0.0013
2022-08-14 09:38:38.969340 Epoch 34, Train loss 0.1212, , Val loss 0.7532, Perfect loss 0.0013
2022-08-14 09:47:55.337241 Epoch 35, Train loss 0.1173, , Val loss 1.0514, Perfect loss 0.0014
2022-08-14 09:57:11.265597 Epoch 36, Train loss 0.1217, , Val loss 0.715, Perfect loss 0.0014
2022-08-14 10:06:29.351982 Epoch 37, Train loss 0.1165, , Val loss 0.6111, Perfect loss 0.0014
2022-08-14 10:15:46.918957 Epoch 38, Train loss 0.1209, , Val loss 1.2632, Perfect loss 0.0014
2022-08-14 10:25:05.825019 Epoch 39, Train loss 0.1135, , Val loss 1.0842, Perfect loss 0.0014
2022-08-14 10:34:24.407458 Epoch 40, Train loss 0.1126, , Val loss 0.6797, Perfect loss 0.0014
2022-08-14 10:43:41.170142 Epoch 41, Train loss 0.1138, , Val loss 1.5562, Perfect loss 0.0014
2022-08-14 10:52:59.398255 Epoch 42, Train loss 0.1166, , Val loss 0.7849, Perfect loss 0.0014
2022-08-14 11:02:18.725564 Epoch 43, Train loss 0.1023, , Val loss 0.7729, Perfect loss 0.0014
2022-08-14 11:11:35.311748 Epoch 44, Train loss 0.0994, , Val loss 0.8288, Perfect loss 0.0014
2022-08-14 11:20:52.625585 Epoch 45, Train loss 0.1001, , Val loss 0.889, Perfect loss 0.0014
2022-08-14 11:30:09.660783 Epoch 46, Train loss 0.1018, , Val loss 0.7853, Perfect loss 0.0014
2022-08-14 11:39:26.549814 Epoch 47, Train loss 0.1051, , Val loss 0.8348, Perfect loss 0.0014
2022-08-14 11:48:44.463919 Epoch 48, Train loss 0.0957, , Val loss 1.5763, Perfect loss 0.0014
2022-08-14 11:58:03.016591 Epoch 49, Train loss 0.1073, , Val loss 1.4816, Perfect loss 0.0014
2022-08-14 12:07:21.348000 Epoch 50, Train loss 0.0998, , Val loss 0.6116, Perfect loss 0.0014
2022-08-14 12:16:38.248559 Epoch 51, Train loss 0.095, , Val loss 0.6741, Perfect loss 0.0014
2022-08-14 12:25:55.965707 Epoch 52, Train loss 0.0928, , Val loss 0.4263, Perfect loss 0.0014
2022-08-14 12:35:12.226888 Epoch 53, Train loss 0.0882, , Val loss 0.9276, Perfect loss 0.0014
2022-08-14 12:44:30.615497 Epoch 54, Train loss 0.0886, , Val loss 0.8011, Perfect loss 0.0014
2022-08-14 12:53:47.818288 Epoch 55, Train loss 0.0912, , Val loss 1.1222, Perfect loss 0.0014
