2022-08-14 18:03:03.725330 Epoch 1, Train loss 0.4173, , loss_ez: 0.582, loss_hd 0.2502, Val loss 0.3835, Perfect loss 0.0012
2022-08-14 18:14:10.540327 Epoch 2, Train loss 0.2875, , loss_ez: 0.4636, loss_hd 0.1089, Val loss 0.2908, Perfect loss 0.0012
2022-08-14 18:25:17.366828 Epoch 3, Train loss 0.2475, , loss_ez: 0.4031, loss_hd 0.0896, Val loss 0.2551, Perfect loss 0.0012
2022-08-14 18:36:26.528061 Epoch 4, Train loss 0.2171, , loss_ez: 0.3565, loss_hd 0.0754, Val loss 0.2756, Perfect loss 0.0012
2022-08-14 18:47:35.565409 Epoch 5, Train loss 0.1983, , loss_ez: 0.3246, loss_hd 0.0697, Val loss 0.2425, Perfect loss 0.0012
2022-08-14 18:58:42.918213 Epoch 6, Train loss 0.1762, , loss_ez: 0.2894, loss_hd 0.0605, Val loss 0.2414, Perfect loss 0.0012
2022-08-14 19:09:50.280090 Epoch 7, Train loss 0.1774, , loss_ez: 0.2907, loss_hd 0.0617, Val loss 0.2479, Perfect loss 0.0012
2022-08-14 19:20:56.610982 Epoch 8, Train loss 0.169, , loss_ez: 0.2758, loss_hd 0.0598, Val loss 0.2351, Perfect loss 0.0012
2022-08-14 19:32:42.296425 Epoch 9, Train loss 0.1522, , loss_ez: 0.2503, loss_hd 0.0517, Val loss 0.2375, Perfect loss 0.0012
2022-08-14 19:43:50.075567 Epoch 10, Train loss 0.1472, , loss_ez: 0.2435, loss_hd 0.0484, Val loss 0.256, Perfect loss 0.0012
2022-08-14 19:54:58.855788 Epoch 11, Train loss 0.1435, , loss_ez: 0.2378, loss_hd 0.0467, Val loss 0.2129, Perfect loss 0.0012
2022-08-14 20:06:06.891611 Epoch 12, Train loss 0.1462, , loss_ez: 0.2414, loss_hd 0.0486, Val loss 0.3301, Perfect loss 0.0012
2022-08-14 20:17:17.342248 Epoch 13, Train loss 0.1396, , loss_ez: 0.2319, loss_hd 0.0448, Val loss 0.1901, Perfect loss 0.0012
2022-08-14 20:28:26.746825 Epoch 14, Train loss 0.1329, , loss_ez: 0.2201, loss_hd 0.0431, Val loss 0.2398, Perfect loss 0.0012
2022-08-14 20:39:34.572371 Epoch 15, Train loss 0.1272, , loss_ez: 0.2109, loss_hd 0.0411, Val loss 0.1793, Perfect loss 0.0013
2022-08-14 20:50:43.410209 Epoch 16, Train loss 0.1202, , loss_ez: 0.1996, loss_hd 0.0384, Val loss 0.323, Perfect loss 0.0013
2022-08-14 21:01:51.548390 Epoch 17, Train loss 0.1278, , loss_ez: 0.2114, loss_hd 0.0417, Val loss 0.2257, Perfect loss 0.0013
2022-08-14 21:13:02.331281 Epoch 18, Train loss 0.1219, , loss_ez: 0.2024, loss_hd 0.0389, Val loss 0.3193, Perfect loss 0.0013
2022-08-14 21:24:09.379434 Epoch 19, Train loss 0.118, , loss_ez: 0.1956, loss_hd 0.0378, Val loss 0.1993, Perfect loss 0.0013
2022-08-14 21:35:16.132518 Epoch 20, Train loss 0.1171, , loss_ez: 0.195, loss_hd 0.0368, Val loss 0.2828, Perfect loss 0.0013
2022-08-14 21:46:24.637389 Epoch 21, Train loss 0.1115, , loss_ez: 0.1851, loss_hd 0.0353, Val loss 0.303, Perfect loss 0.0013
2022-08-14 21:57:33.509832 Epoch 22, Train loss 0.1102, , loss_ez: 0.1826, loss_hd 0.0352, Val loss 0.217, Perfect loss 0.0013
2022-08-14 22:08:41.931609 Epoch 23, Train loss 0.1103, , loss_ez: 0.1822, loss_hd 0.0358, Val loss 0.2194, Perfect loss 0.0013
2022-08-14 22:19:48.254015 Epoch 24, Train loss 0.1038, , loss_ez: 0.1723, loss_hd 0.0326, Val loss 0.203, Perfect loss 0.0013
2022-08-14 22:30:55.974575 Epoch 25, Train loss 0.1064, , loss_ez: 0.1752, loss_hd 0.035, Val loss 0.2869, Perfect loss 0.0013
2022-08-14 22:42:05.851758 Epoch 26, Train loss 0.1051, , loss_ez: 0.1742, loss_hd 0.0334, Val loss 0.2031, Perfect loss 0.0013
2022-08-14 22:53:15.169290 Epoch 27, Train loss 0.0949, , loss_ez: 0.1576, loss_hd 0.0295, Val loss 0.2031, Perfect loss 0.0013
2022-08-14 23:04:24.281050 Epoch 28, Train loss 0.0975, , loss_ez: 0.1618, loss_hd 0.0306, Val loss 0.2097, Perfect loss 0.0013
2022-08-14 23:15:32.736466 Epoch 29, Train loss 0.0928, , loss_ez: 0.1538, loss_hd 0.0292, Val loss 0.3513, Perfect loss 0.0013
2022-08-14 23:26:45.601489 Epoch 30, Train loss 0.086, , loss_ez: 0.143, loss_hd 0.0263, Val loss 0.3248, Perfect loss 0.0013
2022-08-14 23:37:54.346773 Epoch 31, Train loss 0.0873, , loss_ez: 0.1453, loss_hd 0.0266, Val loss 0.3079, Perfect loss 0.0013
2022-08-14 23:49:05.930168 Epoch 32, Train loss 0.0813, , loss_ez: 0.1352, loss_hd 0.0248, Val loss 0.3364, Perfect loss 0.0013
