2022-08-31 17:50:03.822467 Epoch 1, Train loss 0.7159, , Val loss 0.7035, Perfect loss 0.0012
2022-08-31 17:52:14.502416 Epoch 2, Train loss 0.7016, , Val loss 0.6978, Perfect loss 0.0012
2022-08-31 17:54:19.447333 Epoch 3, Train loss 0.6869, , Val loss 0.6717, Perfect loss 0.0012
2022-08-31 17:56:24.281345 Epoch 4, Train loss 0.633, , Val loss 0.6508, Perfect loss 0.0012
2022-08-31 17:58:28.066015 Epoch 5, Train loss 0.569, , Val loss 0.6292, Perfect loss 0.0012
2022-08-31 18:00:31.767632 Epoch 6, Train loss 0.5212, , Val loss 0.5536, Perfect loss 0.0012
2022-08-31 18:02:35.334254 Epoch 7, Train loss 0.4735, , Val loss 0.5327, Perfect loss 0.0013
2022-08-31 18:04:39.390732 Epoch 8, Train loss 0.4344, , Val loss 0.5065, Perfect loss 0.0013
2022-08-31 18:06:43.405792 Epoch 9, Train loss 0.4042, , Val loss 0.4908, Perfect loss 0.0013
2022-08-31 18:08:47.475102 Epoch 10, Train loss 0.3729, , Val loss 0.4659, Perfect loss 0.0013
2022-08-31 18:10:51.615668 Epoch 11, Train loss 0.3433, , Val loss 0.4702, Perfect loss 0.0013
2022-08-31 18:12:55.520423 Epoch 12, Train loss 0.3192, , Val loss 0.4584, Perfect loss 0.0013
2022-08-31 18:14:58.780548 Epoch 13, Train loss 0.2933, , Val loss 0.4326, Perfect loss 0.0013
2022-08-31 18:17:02.118141 Epoch 14, Train loss 0.2775, , Val loss 0.4131, Perfect loss 0.0013
2022-08-31 18:19:05.772078 Epoch 15, Train loss 0.2608, , Val loss 0.4036, Perfect loss 0.0013
2022-08-31 18:21:09.326277 Epoch 16, Train loss 0.2423, , Val loss 0.4082, Perfect loss 0.0013
2022-08-31 18:23:13.081090 Epoch 17, Train loss 0.2238, , Val loss 0.401, Perfect loss 0.0013
2022-08-31 18:25:16.735766 Epoch 18, Train loss 0.2125, , Val loss 0.3489, Perfect loss 0.0013
2022-08-31 18:27:20.497170 Epoch 19, Train loss 0.1986, , Val loss 0.3745, Perfect loss 0.0013
2022-08-31 18:29:24.285576 Epoch 20, Train loss 0.1867, , Val loss 0.3728, Perfect loss 0.0013
2022-08-31 18:31:28.542652 Epoch 21, Train loss 0.1737, , Val loss 0.3967, Perfect loss 0.0013
2022-08-31 18:33:32.327385 Epoch 22, Train loss 0.1602, , Val loss 0.3373, Perfect loss 0.0013
2022-08-31 18:35:35.898273 Epoch 23, Train loss 0.1536, , Val loss 0.3439, Perfect loss 0.0013
2022-08-31 18:37:39.271335 Epoch 24, Train loss 0.1379, , Val loss 0.3567, Perfect loss 0.0013
2022-08-31 18:39:42.532911 Epoch 25, Train loss 0.1391, , Val loss 0.3658, Perfect loss 0.0013
2022-08-31 18:41:46.101686 Epoch 26, Train loss 0.1326, , Val loss 0.3308, Perfect loss 0.0013
2022-08-31 18:43:49.729022 Epoch 27, Train loss 0.1239, , Val loss 0.3366, Perfect loss 0.0013
2022-08-31 18:45:53.158287 Epoch 28, Train loss 0.1197, , Val loss 0.3397, Perfect loss 0.0014
2022-08-31 18:47:56.569428 Epoch 29, Train loss 0.1139, , Val loss 0.3583, Perfect loss 0.0014
2022-08-31 18:50:00.561113 Epoch 30, Train loss 0.1113, , Val loss 0.3529, Perfect loss 0.0014
2022-08-31 18:52:04.486259 Epoch 31, Train loss 0.0984, , Val loss 0.3915, Perfect loss 0.0014
2022-08-31 18:54:08.297920 Epoch 32, Train loss 0.0978, , Val loss 0.3455, Perfect loss 0.0014
2022-08-31 18:56:12.380762 Epoch 33, Train loss 0.0876, , Val loss 0.3463, Perfect loss 0.0014
2022-08-31 18:58:16.027672 Epoch 34, Train loss 0.0883, , Val loss 0.3671, Perfect loss 0.0014
2022-08-31 19:00:19.960556 Epoch 35, Train loss 0.087, , Val loss 0.3544, Perfect loss 0.0014
2022-08-31 19:02:23.543890 Epoch 36, Train loss 0.0799, , Val loss 0.3516, Perfect loss 0.0014
2022-08-31 19:04:27.250239 Epoch 37, Train loss 0.0858, , Val loss 0.3578, Perfect loss 0.0014
2022-08-31 19:06:31.016695 Epoch 38, Train loss 0.076, , Val loss 0.3625, Perfect loss 0.0014
2022-08-31 19:08:34.497709 Epoch 39, Train loss 0.0762, , Val loss 0.4313, Perfect loss 0.0014
2022-08-31 19:10:38.328127 Epoch 40, Train loss 0.0703, , Val loss 0.2938, Perfect loss 0.0014
2022-08-31 19:12:42.500299 Epoch 41, Train loss 0.0723, , Val loss 0.3441, Perfect loss 0.0014
2022-08-31 19:14:46.667232 Epoch 42, Train loss 0.071, , Val loss 0.3331, Perfect loss 0.0014
2022-08-31 19:16:54.162825 Epoch 43, Train loss 0.0661, , Val loss 0.354, Perfect loss 0.0014
2022-08-31 19:19:07.976256 Epoch 44, Train loss 0.0661, , Val loss 0.3441, Perfect loss 0.0014
