2022-09-01 18:57:38.539039 Epoch 1, Train loss 0.0581, , Val loss 0.0388, Perfect loss 0.0012
2022-09-01 19:00:20.901436 Epoch 2, Train loss 0.0318, , Val loss 0.0217, Perfect loss 0.0012
2022-09-01 19:03:09.745612 Epoch 3, Train loss 0.0192, , Val loss 0.0168, Perfect loss 0.0012
2022-09-01 19:05:53.196121 Epoch 4, Train loss 0.0144, , Val loss 0.012, Perfect loss 0.0012
2022-09-01 19:08:39.904093 Epoch 5, Train loss 0.011, , Val loss 0.0095, Perfect loss 0.0012
2022-09-01 19:11:25.564832 Epoch 6, Train loss 0.0086, , Val loss 0.0085, Perfect loss 0.0012
2022-09-01 19:14:16.224620 Epoch 7, Train loss 0.0079, , Val loss 0.0076, Perfect loss 0.0012
2022-09-01 19:16:55.495491 Epoch 8, Train loss 0.0061, , Val loss 0.0064, Perfect loss 0.0012
2022-09-01 19:19:37.372115 Epoch 9, Train loss 0.0056, , Val loss 0.0054, Perfect loss 0.0012
2022-09-01 19:22:17.011686 Epoch 10, Train loss 0.005, , Val loss 0.0057, Perfect loss 0.0012
2022-09-01 19:25:00.514167 Epoch 11, Train loss 0.0053, , Val loss 0.0052, Perfect loss 0.0012
2022-09-01 19:27:55.338080 Epoch 12, Train loss 0.0051, , Val loss 0.0042, Perfect loss 0.0012
2022-09-01 19:43:11.050008 Epoch 1, Train loss 0.036, , Val loss 0.025, Perfect loss 0.0012
2022-09-01 19:46:38.336537 Epoch 2, Train loss 0.0152, , Val loss 0.0085, Perfect loss 0.0012
2022-09-01 19:50:02.196875 Epoch 3, Train loss 0.0073, , Val loss 0.005, Perfect loss 0.0012
2022-09-01 19:53:18.919905 Epoch 4, Train loss 0.0051, , Val loss 0.0032, Perfect loss 0.0012
2022-09-01 19:56:36.865610 Epoch 5, Train loss 0.0042, , Val loss 0.0026, Perfect loss 0.0012
2022-09-01 19:59:55.253861 Epoch 6, Train loss 0.0036, , Val loss 0.0027, Perfect loss 0.0012
2022-09-01 20:03:07.078858 Epoch 7, Train loss 0.0032, , Val loss 0.0019, Perfect loss 0.0012
2022-09-01 20:06:14.038632 Epoch 8, Train loss 0.0033, , Val loss 0.0019, Perfect loss 0.0012
2022-09-01 20:09:21.651928 Epoch 9, Train loss 0.0029, , Val loss 0.0016, Perfect loss 0.0012
2022-09-01 20:12:37.547665 Epoch 10, Train loss 0.0028, , Val loss 0.0018, Perfect loss 0.0012
2022-09-01 20:15:48.525866 Epoch 11, Train loss 0.0028, , Val loss 0.0016, Perfect loss 0.0012
2022-09-01 20:19:17.864049 Epoch 12, Train loss 0.0027, , Val loss 0.0015, Perfect loss 0.0012
2022-09-01 20:22:35.784326 Epoch 13, Train loss 0.0026, , Val loss 0.0013, Perfect loss 0.0012
2022-09-01 20:25:50.384492 Epoch 14, Train loss 0.0026, , Val loss 0.0013, Perfect loss 0.0012
2022-09-01 20:29:06.714564 Epoch 15, Train loss 0.0025, , Val loss 0.0014, Perfect loss 0.0012
2022-09-01 20:32:18.716266 Epoch 16, Train loss 0.0023, , Val loss 0.0015, Perfect loss 0.0012
2022-09-01 20:35:33.054768 Epoch 17, Train loss 0.0026, , Val loss 0.0012, Perfect loss 0.0012
2022-09-01 20:39:08.704183 Epoch 18, Train loss 0.0024, , Val loss 0.0015, Perfect loss 0.0012
2022-09-01 20:43:02.788335 Epoch 19, Train loss 0.0023, , Val loss 0.0013, Perfect loss 0.0012
2022-09-01 20:46:19.590464 Epoch 20, Train loss 0.0023, , Val loss 0.0013, Perfect loss 0.0012
2022-09-01 20:51:10.949339 Epoch 1, Train loss 0.0575, , Val loss 0.0336, Perfect loss 0.0012
2022-09-01 20:53:55.887587 Epoch 2, Train loss 0.0237, , Val loss 0.0201, Perfect loss 0.0012
2022-09-01 20:56:32.611830 Epoch 3, Train loss 0.014, , Val loss 0.0122, Perfect loss 0.0012
2022-09-01 20:59:09.990917 Epoch 4, Train loss 0.0112, , Val loss 0.0114, Perfect loss 0.0012
2022-09-01 21:02:00.743363 Epoch 5, Train loss 0.009, , Val loss 0.0072, Perfect loss 0.0012
2022-09-01 21:04:59.779546 Epoch 6, Train loss 0.0077, , Val loss 0.0081, Perfect loss 0.0012
2022-09-01 21:07:45.711250 Epoch 7, Train loss 0.007, , Val loss 0.006, Perfect loss 0.0012
2022-09-01 21:10:23.656211 Epoch 8, Train loss 0.0068, , Val loss 0.0094, Perfect loss 0.0012
2022-09-01 21:13:04.638187 Epoch 9, Train loss 0.0061, , Val loss 0.005, Perfect loss 0.0012
2022-09-01 21:15:57.877322 Epoch 10, Train loss 0.0051, , Val loss 0.0049, Perfect loss 0.0012
2022-09-01 21:18:51.967126 Epoch 11, Train loss 0.0054, , Val loss 0.0049, Perfect loss 0.0012
2022-09-01 21:21:46.299493 Epoch 12, Train loss 0.0055, , Val loss 0.0046, Perfect loss 0.0012
2022-09-01 21:24:38.052181 Epoch 13, Train loss 0.0049, , Val loss 0.0039, Perfect loss 0.0012
2022-09-01 21:27:28.554347 Epoch 14, Train loss 0.0049, , Val loss 0.0043, Perfect loss 0.0012
2022-09-01 21:30:22.492388 Epoch 15, Train loss 0.0048, , Val loss 0.0052, Perfect loss 0.0012
2022-09-01 21:33:16.837509 Epoch 16, Train loss 0.0046, , Val loss 0.004, Perfect loss 0.0012
2022-09-01 21:36:11.554233 Epoch 17, Train loss 0.0047, , Val loss 0.0038, Perfect loss 0.0012
2022-09-01 21:39:14.937543 Epoch 18, Train loss 0.0046, , Val loss 0.0044, Perfect loss 0.0012
2022-09-01 21:42:18.512082 Epoch 19, Train loss 0.0042, , Val loss 0.0037, Perfect loss 0.0012
2022-09-01 21:45:14.066460 Epoch 20, Train loss 0.0042, , Val loss 0.0036, Perfect loss 0.0012
2022-09-01 21:47:52.230068 Epoch 21, Train loss 0.0039, , Val loss 0.003, Perfect loss 0.0012
2022-09-01 21:50:29.737210 Epoch 22, Train loss 0.0042, , Val loss 0.0039, Perfect loss 0.0012
2022-09-01 21:53:06.920634 Epoch 23, Train loss 0.0042, , Val loss 0.003, Perfect loss 0.0012
2022-09-01 21:55:44.260703 Epoch 24, Train loss 0.004, , Val loss 0.0034, Perfect loss 0.0012
