2022-09-01 23:40:22.709398 Epoch 1, Train loss 0.0508, , Val loss 0.0044, Perfect loss 0.0012
2022-09-01 23:41:55.646265 Epoch 2, Train loss 0.0034, , Val loss 0.0, Perfect loss 0.0012
2022-09-01 23:43:28.082866 Epoch 3, Train loss 0.0018, , Val loss 0.0, Perfect loss 0.0012
2022-09-01 23:44:59.770708 Epoch 4, Train loss 0.0019, , Val loss 0.0019, Perfect loss 0.0012
2022-09-01 23:46:32.181382 Epoch 5, Train loss 0.0024, , Val loss 0.0, Perfect loss 0.0012
2022-09-01 23:48:04.634603 Epoch 6, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-01 23:49:36.857719 Epoch 7, Train loss 0.002, , Val loss 0.0018, Perfect loss 0.0012
2022-09-01 23:51:11.027428 Epoch 8, Train loss 0.005, , Val loss 0.0001, Perfect loss 0.0012
2022-09-01 23:52:43.012266 Epoch 9, Train loss 0.0016, , Val loss 0.0, Perfect loss 0.0012
2022-09-01 23:54:15.099187 Epoch 10, Train loss 0.0017, , Val loss 0.0, Perfect loss 0.0012
2022-09-01 23:55:47.726236 Epoch 11, Train loss 0.0014, , Val loss 0.0, Perfect loss 0.0012
2022-09-01 23:57:20.299796 Epoch 12, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-01 23:58:54.886380 Epoch 13, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:00:32.292656 Epoch 14, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:02:06.795049 Epoch 15, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:03:39.831923 Epoch 16, Train loss 0.0015, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:05:13.345797 Epoch 17, Train loss 0.0027, , Val loss 0.0003, Perfect loss 0.0012
2022-09-02 00:06:49.732900 Epoch 18, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:08:43.958418 Epoch 19, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:10:27.231965 Epoch 20, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:12:01.809124 Epoch 21, Train loss 0.002, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:13:36.747344 Epoch 22, Train loss 0.0061, , Val loss 0.0001, Perfect loss 0.0012
2022-09-02 00:15:12.551736 Epoch 23, Train loss 0.0066, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:16:47.215541 Epoch 24, Train loss 0.0022, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:18:20.675595 Epoch 25, Train loss 0.0013, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:19:56.269960 Epoch 26, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:21:48.312571 Epoch 27, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:23:27.261878 Epoch 28, Train loss 0.0015, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:25:00.936101 Epoch 29, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:26:33.808190 Epoch 30, Train loss 0.0046, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:28:08.515197 Epoch 31, Train loss 0.0015, , Val loss 0.0001, Perfect loss 0.0012
2022-09-02 00:29:41.772183 Epoch 32, Train loss 0.0013, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:31:14.885037 Epoch 33, Train loss 0.0016, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:32:48.112774 Epoch 34, Train loss 0.0014, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:34:21.717559 Epoch 35, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:35:58.352333 Epoch 36, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:37:38.134075 Epoch 37, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:39:09.243298 Epoch 38, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:40:41.839123 Epoch 39, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:42:14.938559 Epoch 40, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:43:48.696393 Epoch 41, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:45:38.859423 Epoch 42, Train loss 0.0033, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:47:18.003564 Epoch 43, Train loss 0.002, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:48:57.529618 Epoch 44, Train loss 0.0013, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:50:34.526261 Epoch 45, Train loss 0.0013, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:52:09.449969 Epoch 46, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:53:44.858798 Epoch 47, Train loss 0.0013, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:55:19.885623 Epoch 48, Train loss 0.0013, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:56:55.304049 Epoch 49, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 00:58:31.452099 Epoch 50, Train loss 0.0013, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 01:00:08.107621 Epoch 51, Train loss 0.0018, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 01:01:45.494534 Epoch 52, Train loss 0.0013, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 01:03:21.600422 Epoch 53, Train loss 0.0014, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 01:04:59.812523 Epoch 54, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 01:06:34.599510 Epoch 55, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 01:08:09.249365 Epoch 56, Train loss 0.0013, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 01:09:45.185429 Epoch 57, Train loss 0.0033, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 01:11:20.148120 Epoch 58, Train loss 0.0017, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 01:12:55.306616 Epoch 59, Train loss 0.0022, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 01:14:30.172659 Epoch 60, Train loss 0.0018, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 03:06:31.278600 Epoch 1, Train loss 0.0498, , Val loss 0.0008, Perfect loss 0.0012
2022-09-02 03:10:16.770599 Epoch 1, Train loss 0.0473, , Val loss 0.0024, Perfect loss 0.0012
2022-09-02 03:11:53.111503 Epoch 2, Train loss 0.0038, , Val loss 0.0001, Perfect loss 0.0012
2022-09-02 03:13:29.500282 Epoch 3, Train loss 0.0036, , Val loss 0.0002, Perfect loss 0.0012
2022-09-02 03:15:03.389742 Epoch 4, Train loss 0.0033, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 03:16:37.340079 Epoch 5, Train loss 0.0019, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 03:18:11.316411 Epoch 6, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 03:19:45.693776 Epoch 7, Train loss 0.0012, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 03:21:19.646142 Epoch 8, Train loss 0.0013, , Val loss 0.0004, Perfect loss 0.0012
2022-09-02 03:22:54.778658 Epoch 9, Train loss 0.0013, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 03:24:29.166349 Epoch 10, Train loss 0.0013, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 03:26:05.067525 Epoch 11, Train loss 0.0038, , Val loss 0.0015, Perfect loss 0.0012
2022-09-02 03:27:40.039921 Epoch 12, Train loss 0.0014, , Val loss 0.0, Perfect loss 0.0012
2022-09-02 03:29:16.710997 Epoch 13, Train loss 0.0019, , Val loss 0.012, Perfect loss 0.0012
2022-09-02 03:31:16.197982 Epoch 14, Train loss 0.0041, , Val loss 0.0052, Perfect loss 0.0012
2022-09-02 03:33:11.136605 Epoch 15, Train loss 0.0018, , Val loss 0.0, Perfect loss 0.0012
