2022-09-03 11:29:14.440949 Epoch 1, Train loss 0.3506, , loss_ez: 0.0, loss_hd 0.3506, Val loss 0.3491, Perfect loss 0.0012
2022-09-03 11:32:01.060947 Epoch 2, Train loss 0.3511, , loss_ez: 0.0, loss_hd 0.3511, Val loss 0.3485, Perfect loss 0.0012
2022-09-03 11:34:50.581508 Epoch 3, Train loss 0.3506, , loss_ez: 0.0, loss_hd 0.3506, Val loss 0.3463, Perfect loss 0.0012
2022-09-03 11:37:36.659024 Epoch 4, Train loss 0.3495, , loss_ez: 0.0, loss_hd 0.3495, Val loss 0.35, Perfect loss 0.0012
2022-09-03 11:43:54.850798 Epoch 1, Train loss 0.3509, , loss_ez: 0.0, loss_hd 0.3509, Val loss 0.3491, Perfect loss 0.0012
2022-09-03 11:46:43.390917 Epoch 2, Train loss 0.3511, , loss_ez: 0.0, loss_hd 0.3511, Val loss 0.3485, Perfect loss 0.0012
2022-09-03 11:49:31.128682 Epoch 3, Train loss 0.3506, , loss_ez: 0.0, loss_hd 0.3506, Val loss 0.3463, Perfect loss 0.0012
2022-09-03 11:52:17.528200 Epoch 4, Train loss 0.3495, , loss_ez: 0.0, loss_hd 0.3495, Val loss 0.35, Perfect loss 0.0012
2022-09-03 11:55:05.392827 Epoch 5, Train loss 0.3514, , loss_ez: 0.0, loss_hd 0.3514, Val loss 0.3458, Perfect loss 0.0012
2022-09-03 11:57:50.907236 Epoch 6, Train loss 0.3508, , loss_ez: 0.0, loss_hd 0.3508, Val loss 0.347, Perfect loss 0.0012
2022-09-03 12:00:35.968105 Epoch 7, Train loss 0.3501, , loss_ez: 0.0, loss_hd 0.3501, Val loss 0.3489, Perfect loss 0.0012
2022-09-03 12:03:22.951675 Epoch 8, Train loss 0.3513, , loss_ez: 0.0, loss_hd 0.3513, Val loss 0.3482, Perfect loss 0.0012
2022-09-03 12:06:14.681405 Epoch 9, Train loss 0.3519, , loss_ez: 0.0, loss_hd 0.3519, Val loss 0.347, Perfect loss 0.0012
