2022-09-03 14:57:15.020032 Epoch 1, Train loss 0.3245, , loss_ez: 0.0924, loss_hd 0.349, Val loss 0.3312, Perfect loss 0.0012
2022-09-03 15:01:21.046974 Epoch 2, Train loss 0.3201, , loss_ez: 0.0337, loss_hd 0.3505, Val loss 0.3325, Perfect loss 0.0013
2022-09-03 15:04:15.653225 Epoch 3, Train loss 0.3229, , loss_ez: 0.0622, loss_hd 0.3504, Val loss 0.32, Perfect loss 0.0013
2022-09-03 15:07:04.647198 Epoch 4, Train loss 0.3169, , loss_ez: 0.0156, loss_hd 0.3489, Val loss 0.3167, Perfect loss 0.0013
2022-09-03 15:10:01.043950 Epoch 5, Train loss 0.3177, , loss_ez: 0.0079, loss_hd 0.3507, Val loss 0.3129, Perfect loss 0.0013
2022-09-03 15:12:54.130539 Epoch 6, Train loss 0.3167, , loss_ez: 0.0066, loss_hd 0.3498, Val loss 0.3124, Perfect loss 0.0013
2022-09-03 15:15:45.155330 Epoch 7, Train loss 0.3156, , loss_ez: 0.0027, loss_hd 0.349, Val loss 0.3145, Perfect loss 0.0013
2022-09-03 15:18:38.908569 Epoch 8, Train loss 0.3182, , loss_ez: 0.0114, loss_hd 0.3509, Val loss 0.3162, Perfect loss 0.0013
2022-09-03 15:21:32.939791 Epoch 9, Train loss 0.3179, , loss_ez: 0.0067, loss_hd 0.3511, Val loss 0.3124, Perfect loss 0.0013
2022-09-03 15:24:24.365357 Epoch 10, Train loss 0.3151, , loss_ez: 0.0016, loss_hd 0.3485, Val loss 0.3152, Perfect loss 0.0013
2022-09-03 15:27:18.308400 Epoch 11, Train loss 0.3172, , loss_ez: 0.004, loss_hd 0.3506, Val loss 0.3136, Perfect loss 0.0013
2022-09-03 15:30:10.256921 Epoch 12, Train loss 0.3183, , loss_ez: 0.0066, loss_hd 0.3515, Val loss 0.3104, Perfect loss 0.0013
2022-09-03 15:33:01.879497 Epoch 13, Train loss 0.3158, , loss_ez: 0.0036, loss_hd 0.349, Val loss 0.3112, Perfect loss 0.0013
2022-09-03 15:35:54.771801 Epoch 14, Train loss 0.3171, , loss_ez: 0.0052, loss_hd 0.3503, Val loss 0.3122, Perfect loss 0.0013
2022-09-03 15:38:47.272638 Epoch 15, Train loss 0.3173, , loss_ez: 0.0065, loss_hd 0.3504, Val loss 0.3132, Perfect loss 0.0013
2022-09-03 15:41:39.330861 Epoch 16, Train loss 0.3185, , loss_ez: 0.0158, loss_hd 0.3507, Val loss 0.3114, Perfect loss 0.0013
2022-09-03 15:44:31.474131 Epoch 17, Train loss 0.3174, , loss_ez: 0.0049, loss_hd 0.3506, Val loss 0.312, Perfect loss 0.0013
2022-09-03 15:47:23.657040 Epoch 18, Train loss 0.3164, , loss_ez: 0.0028, loss_hd 0.3497, Val loss 0.313, Perfect loss 0.0013
2022-09-03 15:50:15.831270 Epoch 19, Train loss 0.3161, , loss_ez: 0.0018, loss_hd 0.3495, Val loss 0.3123, Perfect loss 0.0013
2022-09-03 15:53:09.571968 Epoch 20, Train loss 0.317, , loss_ez: 0.0038, loss_hd 0.3503, Val loss 0.3147, Perfect loss 0.0013
2022-09-03 15:56:05.948812 Epoch 21, Train loss 0.3165, , loss_ez: 0.0027, loss_hd 0.3499, Val loss 0.3137, Perfect loss 0.0013
