2022-08-26 01:40:54.315160 Epoch 1, Train loss 0.5822, , Val loss 0.4669, Perfect loss 0.0013
2022-08-26 01:43:32.154835 Epoch 2, Train loss 0.4875, , Val loss 0.4563, Perfect loss 0.0013
2022-08-26 01:46:09.804266 Epoch 3, Train loss 0.4583, , Val loss 0.3655, Perfect loss 0.0013
2022-08-26 01:48:47.602789 Epoch 4, Train loss 0.3321, , Val loss 0.2679, Perfect loss 0.0012
2022-08-26 01:51:27.222754 Epoch 5, Train loss 0.2528, , Val loss 0.2478, Perfect loss 0.0012
2022-08-26 01:54:05.553434 Epoch 6, Train loss 0.1727, , Val loss 0.2081, Perfect loss 0.0012
2022-08-26 01:56:43.533416 Epoch 7, Train loss 0.1374, , Val loss 0.189, Perfect loss 0.0012
2022-08-26 01:59:21.830656 Epoch 8, Train loss 0.1159, , Val loss 0.1753, Perfect loss 0.0012
2022-08-26 02:02:00.072102 Epoch 9, Train loss 0.1055, , Val loss 0.1716, Perfect loss 0.0012
2022-08-26 02:04:38.202322 Epoch 10, Train loss 0.0951, , Val loss 0.1575, Perfect loss 0.0012
2022-08-26 02:07:17.793618 Epoch 11, Train loss 0.0908, , Val loss 0.1531, Perfect loss 0.0012
2022-08-26 02:09:55.936100 Epoch 12, Train loss 0.0847, , Val loss 0.1531, Perfect loss 0.0012
2022-08-26 02:12:34.135192 Epoch 13, Train loss 0.0791, , Val loss 0.144, Perfect loss 0.0013
2022-08-26 02:15:12.633279 Epoch 14, Train loss 0.0762, , Val loss 0.1512, Perfect loss 0.0013
2022-08-26 02:17:51.050006 Epoch 15, Train loss 0.0733, , Val loss 0.1449, Perfect loss 0.0013
2022-08-26 02:20:29.532708 Epoch 16, Train loss 0.0669, , Val loss 0.1387, Perfect loss 0.0013
2022-08-26 02:23:07.383087 Epoch 17, Train loss 0.0711, , Val loss 0.1319, Perfect loss 0.0013
2022-08-26 02:25:45.709612 Epoch 18, Train loss 0.06, , Val loss 0.1226, Perfect loss 0.0013
2022-08-26 02:28:24.121247 Epoch 19, Train loss 0.059, , Val loss 0.1376, Perfect loss 0.0013
2022-08-26 02:31:02.504210 Epoch 20, Train loss 0.0594, , Val loss 0.1283, Perfect loss 0.0013
2022-08-26 02:33:42.293874 Epoch 21, Train loss 0.0515, , Val loss 0.1192, Perfect loss 0.0013
2022-08-26 02:36:21.667113 Epoch 22, Train loss 0.0506, , Val loss 0.1171, Perfect loss 0.0013
2022-08-26 02:39:00.466399 Epoch 23, Train loss 0.0506, , Val loss 0.1251, Perfect loss 0.0013
2022-08-26 02:41:39.698980 Epoch 24, Train loss 0.0497, , Val loss 0.1208, Perfect loss 0.0013
2022-08-26 02:44:19.261162 Epoch 25, Train loss 0.0539, , Val loss 0.1197, Perfect loss 0.0013
2022-08-26 02:46:58.308387 Epoch 26, Train loss 0.045, , Val loss 0.1111, Perfect loss 0.0013
2022-08-26 02:49:37.685466 Epoch 27, Train loss 0.0443, , Val loss 0.1105, Perfect loss 0.0013
2022-08-26 02:52:16.835283 Epoch 28, Train loss 0.0454, , Val loss 0.1124, Perfect loss 0.0013
2022-08-26 02:54:55.723019 Epoch 29, Train loss 0.0446, , Val loss 0.125, Perfect loss 0.0013
2022-08-26 02:57:34.695100 Epoch 30, Train loss 0.0426, , Val loss 0.1067, Perfect loss 0.0013
2022-08-26 08:28:51.186116 Epoch 31, Train loss 0.0436, , Val loss 0.1128, Perfect loss 0.0013
2022-08-26 08:31:30.685422 Epoch 32, Train loss 0.0377, , Val loss 0.1036, Perfect loss 0.0013
2022-08-26 08:34:07.916212 Epoch 33, Train loss 0.0371, , Val loss 0.104, Perfect loss 0.0013
2022-08-26 08:36:42.814488 Epoch 34, Train loss 0.0393, , Val loss 0.1017, Perfect loss 0.0013
2022-08-26 08:39:19.256758 Epoch 35, Train loss 0.0389, , Val loss 0.1034, Perfect loss 0.0013
2022-08-26 08:41:55.988702 Epoch 36, Train loss 0.0373, , Val loss 0.1071, Perfect loss 0.0013
2022-08-26 08:44:32.487809 Epoch 37, Train loss 0.0384, , Val loss 0.1205, Perfect loss 0.0013
2022-08-26 08:47:08.811823 Epoch 38, Train loss 0.034, , Val loss 0.1027, Perfect loss 0.0013
2022-08-26 08:49:45.590230 Epoch 39, Train loss 0.0336, , Val loss 0.1056, Perfect loss 0.0013
2022-08-26 08:52:21.881708 Epoch 40, Train loss 0.0356, , Val loss 0.1042, Perfect loss 0.0013
2022-08-26 08:54:59.678288 Epoch 41, Train loss 0.0399, , Val loss 0.1117, Perfect loss 0.0014
2022-08-26 08:57:38.455920 Epoch 42, Train loss 0.0331, , Val loss 0.1131, Perfect loss 0.0014
2022-08-26 09:00:24.616595 Epoch 43, Train loss 0.0313, , Val loss 0.1116, Perfect loss 0.0014
2022-08-26 09:03:10.199388 Epoch 44, Train loss 0.0296, , Val loss 0.0996, Perfect loss 0.0014
2022-08-26 09:05:54.507094 Epoch 45, Train loss 0.0336, , Val loss 0.1069, Perfect loss 0.0014
2022-08-26 09:08:36.113709 Epoch 46, Train loss 0.0319, , Val loss 0.1022, Perfect loss 0.0014
2022-08-26 09:11:20.670246 Epoch 47, Train loss 0.0323, , Val loss 0.1116, Perfect loss 0.0014
2022-08-26 09:14:05.698126 Epoch 48, Train loss 0.031, , Val loss 0.102, Perfect loss 0.0014
2022-08-26 09:16:46.034407 Epoch 49, Train loss 0.033, , Val loss 0.1059, Perfect loss 0.0014
2022-08-26 09:19:25.724891 Epoch 50, Train loss 0.0309, , Val loss 0.1035, Perfect loss 0.0014
2022-08-26 09:22:06.058360 Epoch 51, Train loss 0.0302, , Val loss 0.1071, Perfect loss 0.0014
2022-08-26 09:24:45.027388 Epoch 52, Train loss 0.0304, , Val loss 0.1138, Perfect loss 0.0014
2022-08-26 09:27:23.962324 Epoch 53, Train loss 0.0308, , Val loss 0.1091, Perfect loss 0.0014
2022-08-26 09:30:03.546205 Epoch 54, Train loss 0.0269, , Val loss 0.1084, Perfect loss 0.0014
2022-08-26 09:32:43.071428 Epoch 55, Train loss 0.0311, , Val loss 0.1009, Perfect loss 0.0014
2022-08-26 09:35:22.781858 Epoch 56, Train loss 0.0315, , Val loss 0.11, Perfect loss 0.0014
2022-08-26 09:38:01.903672 Epoch 57, Train loss 0.027, , Val loss 0.1088, Perfect loss 0.0014
2022-08-26 09:40:40.870998 Epoch 58, Train loss 0.0253, , Val loss 0.0982, Perfect loss 0.0014
2022-08-26 09:43:24.156379 Epoch 59, Train loss 0.0299, , Val loss 0.0965, Perfect loss 0.0014
2022-08-26 09:46:04.775000 Epoch 60, Train loss 0.0286, , Val loss 0.1037, Perfect loss 0.0014
2022-08-26 09:48:46.284695 Epoch 61, Train loss 0.0262, , Val loss 0.1103, Perfect loss 0.0014
2022-08-26 09:51:26.735794 Epoch 62, Train loss 0.0275, , Val loss 0.1112, Perfect loss 0.0014
2022-08-26 09:54:09.063219 Epoch 63, Train loss 0.024, , Val loss 0.1083, Perfect loss 0.0014
