2022-08-21 12:02:33.323329 Epoch 1, Train loss 0.6892, , Val loss 0.6005, Perfect loss 0.0012
2022-08-21 12:12:52.208409 Epoch 1, Train loss 0.6004, , Val loss 0.5054, Perfect loss 0.0012
2022-08-21 12:15:55.048294 Epoch 2, Train loss 0.5242, , Val loss 0.497, Perfect loss 0.0012
2022-08-21 12:18:55.653366 Epoch 3, Train loss 0.4982, , Val loss 0.6488, Perfect loss 0.0012
2022-08-21 12:21:53.537054 Epoch 4, Train loss 0.5146, , Val loss 0.4861, Perfect loss 0.0012
2022-08-21 12:24:55.157747 Epoch 5, Train loss 0.4851, , Val loss 0.4809, Perfect loss 0.0012
2022-08-21 12:27:56.974592 Epoch 6, Train loss 0.4797, , Val loss 0.4754, Perfect loss 0.0012
2022-08-21 12:30:55.783283 Epoch 7, Train loss 0.4735, , Val loss 0.4655, Perfect loss 0.0012
2022-08-21 12:33:57.829215 Epoch 8, Train loss 0.451, , Val loss 0.3842, Perfect loss 0.0012
2022-08-21 12:37:00.132150 Epoch 9, Train loss 0.2915, , Val loss 0.246, Perfect loss 0.0012
2022-08-21 12:39:58.951390 Epoch 10, Train loss 0.2207, , Val loss 0.2197, Perfect loss 0.0012
2022-08-21 12:42:59.717827 Epoch 11, Train loss 0.1015, , Val loss 0.0433, Perfect loss 0.0013
2022-08-21 12:46:01.589946 Epoch 12, Train loss 0.0164, , Val loss 0.0218, Perfect loss 0.0013
2022-08-21 12:49:02.785943 Epoch 13, Train loss 0.0081, , Val loss 0.0015, Perfect loss 0.0013
2022-08-21 12:52:04.282906 Epoch 14, Train loss 0.0065, , Val loss 0.0014, Perfect loss 0.0013
2022-08-21 12:55:06.338982 Epoch 15, Train loss 0.0057, , Val loss 0.0007, Perfect loss 0.0013
2022-08-21 12:58:05.714737 Epoch 16, Train loss 0.0024, , Val loss 0.0167, Perfect loss 0.0013
2022-08-21 13:01:08.931774 Epoch 17, Train loss 0.0018, , Val loss 0.0165, Perfect loss 0.0013
2022-08-21 13:04:11.073073 Epoch 18, Train loss 0.0049, , Val loss 0.0002, Perfect loss 0.0013
2022-08-21 13:07:12.098662 Epoch 19, Train loss 0.0082, , Val loss 0.0003, Perfect loss 0.0013
2022-08-21 13:10:16.239571 Epoch 20, Train loss 0.0081, , Val loss 0.0163, Perfect loss 0.0013
2022-08-21 13:13:15.898999 Epoch 21, Train loss 0.0153, , Val loss 0.0439, Perfect loss 0.0013
2022-08-21 13:16:16.686555 Epoch 22, Train loss 0.026, , Val loss 0.0005, Perfect loss 0.0013
2022-08-21 13:19:19.842807 Epoch 23, Train loss 0.0025, , Val loss 0.0005, Perfect loss 0.0013
2022-08-21 13:22:23.635037 Epoch 24, Train loss 0.0077, , Val loss 0.0002, Perfect loss 0.0013
2022-08-21 13:25:24.758841 Epoch 25, Train loss 0.0263, , Val loss 0.0012, Perfect loss 0.0013
2022-08-21 13:28:29.104875 Epoch 26, Train loss 0.0056, , Val loss 0.0164, Perfect loss 0.0013
2022-08-21 13:31:31.392858 Epoch 27, Train loss 0.0438, , Val loss 0.0018, Perfect loss 0.0013
2022-08-21 13:34:31.034740 Epoch 28, Train loss 0.0116, , Val loss 0.0009, Perfect loss 0.0013
2022-08-21 13:37:33.965702 Epoch 29, Train loss 0.0085, , Val loss 0.0003, Perfect loss 0.0013
