2022-08-26 12:14:22.864517 Epoch 1, Train loss 50.0012, , Val loss 50.0, Perfect loss 0.0012
2022-08-26 12:20:48.584782 Epoch 1, Train loss 50.0012, , Val loss 50.0, Perfect loss 0.0012
2022-08-26 12:24:03.212822 Epoch 2, Train loss 50.0009, , Val loss 50.0, Perfect loss 0.0009
2022-08-26 12:27:20.563190 Epoch 3, Train loss 50.0007, , Val loss 50.0, Perfect loss 0.0007
2022-08-26 12:46:12.253818 Epoch 1, Train loss 1.7491, , Val loss 1.6974, Perfect loss 0.0013
2022-08-26 12:49:13.058309 Epoch 2, Train loss 1.6683, , Val loss 1.6345, Perfect loss 0.0013
2022-08-26 12:52:11.318532 Epoch 3, Train loss 1.6076, , Val loss 1.5766, Perfect loss 0.0012
2022-08-26 12:55:10.116137 Epoch 4, Train loss 1.5524, , Val loss 1.5258, Perfect loss 0.0012
2022-08-26 12:58:04.052121 Epoch 5, Train loss 1.504, , Val loss 1.482, Perfect loss 0.0012
2022-08-26 13:00:59.017474 Epoch 6, Train loss 1.4606, , Val loss 1.4393, Perfect loss 0.0012
2022-08-26 13:03:44.084209 Epoch 7, Train loss 1.4243, , Val loss 1.4069, Perfect loss 0.0012
2022-08-26 13:06:24.698439 Epoch 8, Train loss 1.3923, , Val loss 1.3778, Perfect loss 0.0012
2022-08-26 13:09:10.811652 Epoch 9, Train loss 1.3662, , Val loss 1.3544, Perfect loss 0.0012
2022-08-26 13:11:58.322290 Epoch 10, Train loss 1.3453, , Val loss 1.3356, Perfect loss 0.0012
2022-08-26 13:14:47.718754 Epoch 11, Train loss 1.3281, , Val loss 1.3211, Perfect loss 0.0012
2022-08-26 13:17:36.412430 Epoch 12, Train loss 1.2327, , Val loss 1.1609, Perfect loss 0.0012
2022-08-26 13:20:23.154243 Epoch 13, Train loss 1.1342, , Val loss 1.091, Perfect loss 0.0012
2022-08-26 13:23:10.174499 Epoch 14, Train loss 1.0836, , Val loss 1.0473, Perfect loss 0.0012
2022-08-26 13:25:57.781529 Epoch 15, Train loss 1.0448, , Val loss 1.0648, Perfect loss 0.0012
2022-08-26 13:28:44.321216 Epoch 16, Train loss 1.0193, , Val loss 0.9887, Perfect loss 0.0012
2022-08-26 13:31:31.380340 Epoch 17, Train loss 0.9814, , Val loss 0.958, Perfect loss 0.0012
2022-08-26 13:34:18.115892 Epoch 18, Train loss 0.9624, , Val loss 1.219, Perfect loss 0.0012
2022-08-26 13:37:04.261526 Epoch 19, Train loss 0.9663, , Val loss 0.9565, Perfect loss 0.0013
