2022-08-21 09:15:40.007104 Epoch 1, Train loss 0.6133, , Val loss 0.7667, Perfect loss 0.0012
2022-08-21 09:22:02.114414 Epoch 2, Train loss 0.5013, , Val loss 0.5345, Perfect loss 0.0012
2022-08-21 09:26:50.506542 Epoch 3, Train loss 0.4356, , Val loss 0.6666, Perfect loss 0.0012
2022-08-21 09:32:55.247278 Epoch 4, Train loss 0.3964, , Val loss 0.4895, Perfect loss 0.0012
2022-08-21 09:38:21.538398 Epoch 5, Train loss 0.3624, , Val loss 0.4266, Perfect loss 0.0012
2022-08-21 09:41:06.941042 Epoch 6, Train loss 0.3443, , Val loss 0.3915, Perfect loss 0.0013
2022-08-21 09:43:51.652496 Epoch 7, Train loss 0.3271, , Val loss 0.3477, Perfect loss 0.0013
2022-08-21 09:46:52.404276 Epoch 8, Train loss 0.3113, , Val loss 0.4405, Perfect loss 0.0013
2022-08-21 09:53:13.798729 Epoch 9, Train loss 0.2999, , Val loss 0.4547, Perfect loss 0.0013
2022-08-21 09:56:14.207938 Epoch 10, Train loss 0.2891, , Val loss 0.3671, Perfect loss 0.0013
2022-08-21 09:58:59.940785 Epoch 11, Train loss 0.2757, , Val loss 0.3669, Perfect loss 0.0013
2022-08-21 10:01:45.113309 Epoch 12, Train loss 0.2722, , Val loss 0.319, Perfect loss 0.0013
2022-08-21 10:04:35.373764 Epoch 13, Train loss 0.2573, , Val loss 0.4565, Perfect loss 0.0013
2022-08-21 10:07:24.103660 Epoch 14, Train loss 0.2515, , Val loss 0.2937, Perfect loss 0.0013
2022-08-21 10:10:12.807690 Epoch 15, Train loss 0.2471, , Val loss 0.316, Perfect loss 0.0013
2022-08-21 10:16:19.141185 Epoch 16, Train loss 0.2422, , Val loss 0.3638, Perfect loss 0.0013
2022-08-21 10:22:39.594603 Epoch 17, Train loss 0.2435, , Val loss 0.3715, Perfect loss 0.0013
2022-08-21 10:28:53.687273 Epoch 18, Train loss 0.2291, , Val loss 0.2782, Perfect loss 0.0013
2022-08-21 10:35:09.603688 Epoch 19, Train loss 0.2184, , Val loss 0.3344, Perfect loss 0.0013
2022-08-21 10:41:19.798236 Epoch 20, Train loss 0.2171, , Val loss 0.353, Perfect loss 0.0013
2022-08-21 10:48:45.891568 Epoch 21, Train loss 0.2161, , Val loss 0.2529, Perfect loss 0.0013
2022-08-21 10:54:28.963127 Epoch 22, Train loss 0.2126, , Val loss 0.2749, Perfect loss 0.0013
2022-08-21 11:00:37.922205 Epoch 23, Train loss 0.2101, , Val loss 0.264, Perfect loss 0.0013
2022-08-21 11:05:32.748257 Epoch 24, Train loss 0.2009, , Val loss 0.2542, Perfect loss 0.0013
