2022-08-21 20:29:50.243017 Epoch 1, Train loss 0.7819, , loss_ez: 0.0, loss_hd 0.7819, Val loss 0.7668, Perfect loss 0.0012
2022-08-21 20:31:45.010088 Epoch 2, Train loss 0.7164, , loss_ez: 0.0, loss_hd 0.7164, Val loss 0.6747, Perfect loss 0.0012
2022-08-21 20:33:39.481413 Epoch 3, Train loss 0.6637, , loss_ez: 0.0, loss_hd 0.6637, Val loss 0.6394, Perfect loss 0.0012
2022-08-21 20:35:33.888127 Epoch 4, Train loss 0.615, , loss_ez: 0.0, loss_hd 0.615, Val loss 0.5843, Perfect loss 0.0012
2022-08-21 20:37:28.300902 Epoch 5, Train loss 0.5522, , loss_ez: 0.0, loss_hd 0.5522, Val loss 0.517, Perfect loss 0.0012
2022-08-21 20:39:22.580301 Epoch 6, Train loss 0.4989, , loss_ez: 0.0, loss_hd 0.4989, Val loss 0.4529, Perfect loss 0.0012
2022-08-21 20:41:16.888702 Epoch 7, Train loss 0.4499, , loss_ez: 0.0, loss_hd 0.4499, Val loss 0.414, Perfect loss 0.0012
2022-08-21 20:43:11.296515 Epoch 8, Train loss 0.4182, , loss_ez: 0.0, loss_hd 0.4182, Val loss 0.4063, Perfect loss 0.0012
2022-08-21 20:45:05.688172 Epoch 9, Train loss 0.4063, , loss_ez: 0.0, loss_hd 0.4063, Val loss 0.3726, Perfect loss 0.0012
2022-08-21 20:47:00.217706 Epoch 10, Train loss 0.383, , loss_ez: 0.0, loss_hd 0.383, Val loss 0.378, Perfect loss 0.0012
2022-08-21 20:48:55.326396 Epoch 11, Train loss 0.3846, , loss_ez: 0.0, loss_hd 0.3846, Val loss 0.3719, Perfect loss 0.0012
2022-08-21 20:50:50.010806 Epoch 12, Train loss 0.3784, , loss_ez: 0.0, loss_hd 0.3784, Val loss 0.3782, Perfect loss 0.0012
2022-08-21 20:52:44.925300 Epoch 13, Train loss 0.3531, , loss_ez: 0.0, loss_hd 0.3531, Val loss 0.3568, Perfect loss 0.0012
2022-08-21 20:54:39.446131 Epoch 14, Train loss 0.3464, , loss_ez: 0.0, loss_hd 0.3464, Val loss 0.3597, Perfect loss 0.0012
2022-08-21 20:56:33.814457 Epoch 15, Train loss 0.3575, , loss_ez: 0.0, loss_hd 0.3575, Val loss 0.3435, Perfect loss 0.0012
2022-08-21 20:58:28.531653 Epoch 16, Train loss 0.349, , loss_ez: 0.0, loss_hd 0.349, Val loss 0.3511, Perfect loss 0.0012
2022-08-21 21:00:22.940349 Epoch 17, Train loss 0.3473, , loss_ez: 0.0, loss_hd 0.3473, Val loss 0.3148, Perfect loss 0.0012
