2022-08-21 18:40:28.576932 Epoch 1, Train loss 0.7182, , loss_ez: 0.717, loss_hd 0.7169, Val loss 0.7113, Perfect loss 0.0012
2022-08-21 18:42:30.335837 Epoch 2, Train loss 0.6963, , loss_ez: 0.6958, loss_hd 0.6943, Val loss 0.6858, Perfect loss 0.0012
2022-08-21 18:44:28.905341 Epoch 3, Train loss 0.6826, , loss_ez: 0.686, loss_hd 0.6769, Val loss 0.6744, Perfect loss 0.0012
2022-08-21 18:46:24.936538 Epoch 4, Train loss 0.6705, , loss_ez: 0.6817, loss_hd 0.6569, Val loss 0.6592, Perfect loss 0.0012
2022-08-21 18:48:21.287987 Epoch 5, Train loss 0.6537, , loss_ez: 0.6767, loss_hd 0.6281, Val loss 0.6412, Perfect loss 0.0012
2022-08-21 18:50:17.726594 Epoch 6, Train loss 0.6245, , loss_ez: 0.6694, loss_hd 0.5771, Val loss 0.6187, Perfect loss 0.0012
2022-08-21 18:52:14.423460 Epoch 7, Train loss 0.6059, , loss_ez: 0.6629, loss_hd 0.5465, Val loss 0.603, Perfect loss 0.0012
2022-08-21 18:54:10.769820 Epoch 8, Train loss 0.593, , loss_ez: 0.6553, loss_hd 0.5283, Val loss 0.5854, Perfect loss 0.0012
2022-08-21 18:56:07.531259 Epoch 9, Train loss 0.5821, , loss_ez: 0.6428, loss_hd 0.5189, Val loss 0.5768, Perfect loss 0.0012
2022-08-21 18:58:03.996740 Epoch 10, Train loss 0.5716, , loss_ez: 0.6369, loss_hd 0.5038, Val loss 0.5604, Perfect loss 0.0012
2022-08-21 19:00:03.572288 Epoch 11, Train loss 0.565, , loss_ez: 0.6302, loss_hd 0.4973, Val loss 0.5678, Perfect loss 0.0012
2022-08-21 19:04:13.838352 Epoch 11, Train loss 0.6083, , loss_ez: 0.6679, loss_hd 0.5462, Val loss 0.5936, Perfect loss 0.0013
2022-08-21 19:06:12.682171 Epoch 12, Train loss 0.5971, , loss_ez: 0.6619, loss_hd 0.5296, Val loss 0.6731, Perfect loss 0.0013
