2022-09-01 16:08:11.588364 Epoch 1, Train loss 0.0633, , Val loss 0.0434, Perfect loss 0.0012
2022-09-01 16:10:52.168531 Epoch 2, Train loss 0.027, , Val loss 0.0193, Perfect loss 0.0012
2022-09-01 16:13:31.036639 Epoch 3, Train loss 0.016, , Val loss 0.0127, Perfect loss 0.0012
2022-09-01 16:16:16.244930 Epoch 4, Train loss 0.0129, , Val loss 0.01, Perfect loss 0.0012
2022-09-01 16:19:06.799850 Epoch 5, Train loss 0.0106, , Val loss 0.0097, Perfect loss 0.0012
2022-09-01 16:21:55.730156 Epoch 6, Train loss 0.0079, , Val loss 0.0066, Perfect loss 0.0012
2022-09-01 16:24:41.937668 Epoch 7, Train loss 0.0066, , Val loss 0.0058, Perfect loss 0.0012
2022-09-01 16:27:21.140968 Epoch 8, Train loss 0.006, , Val loss 0.0071, Perfect loss 0.0012
2022-09-01 16:29:59.893013 Epoch 9, Train loss 0.0059, , Val loss 0.0052, Perfect loss 0.0012
2022-09-01 16:32:38.552187 Epoch 10, Train loss 0.0053, , Val loss 0.0045, Perfect loss 0.0012
2022-09-01 16:35:17.389754 Epoch 11, Train loss 0.0049, , Val loss 0.0049, Perfect loss 0.0012
2022-09-01 16:37:57.100792 Epoch 12, Train loss 0.0048, , Val loss 0.004, Perfect loss 0.0012
2022-09-01 16:40:50.156572 Epoch 13, Train loss 0.0044, , Val loss 0.0041, Perfect loss 0.0012
2022-09-01 16:43:27.145039 Epoch 14, Train loss 0.0044, , Val loss 0.0033, Perfect loss 0.0012
2022-09-01 16:46:04.311357 Epoch 15, Train loss 0.0043, , Val loss 0.0037, Perfect loss 0.0012
2022-09-01 16:48:41.576892 Epoch 16, Train loss 0.0041, , Val loss 0.0031, Perfect loss 0.0012
2022-09-01 16:51:20.019368 Epoch 17, Train loss 0.004, , Val loss 0.003, Perfect loss 0.0012
2022-09-01 16:53:58.275720 Epoch 18, Train loss 0.0041, , Val loss 0.0053, Perfect loss 0.0012
2022-09-01 16:56:36.873508 Epoch 19, Train loss 0.0038, , Val loss 0.0028, Perfect loss 0.0012
2022-09-01 16:59:23.428953 Epoch 20, Train loss 0.0033, , Val loss 0.0028, Perfect loss 0.0012
2022-09-01 17:02:17.151605 Epoch 21, Train loss 0.0034, , Val loss 0.0032, Perfect loss 0.0012
2022-09-01 17:05:15.475744 Epoch 22, Train loss 0.004, , Val loss 0.0032, Perfect loss 0.0012
2022-09-01 17:08:00.881459 Epoch 23, Train loss 0.0034, , Val loss 0.0027, Perfect loss 0.0012
2022-09-01 17:10:47.574702 Epoch 24, Train loss 0.0035, , Val loss 0.0023, Perfect loss 0.0012
2022-09-01 17:13:35.111468 Epoch 25, Train loss 0.0034, , Val loss 0.0031, Perfect loss 0.0012
2022-09-01 17:16:20.032985 Epoch 26, Train loss 0.0034, , Val loss 0.0027, Perfect loss 0.0012
2022-09-01 17:23:31.262365 Epoch 1, Train loss 0.0638, , Val loss 0.0439, Perfect loss 0.0012
2022-09-01 17:26:19.377344 Epoch 2, Train loss 0.0304, , Val loss 0.0225, Perfect loss 0.0012
2022-09-01 17:29:04.558872 Epoch 3, Train loss 0.0165, , Val loss 0.0117, Perfect loss 0.0012
2022-09-01 17:31:51.887672 Epoch 4, Train loss 0.0125, , Val loss 0.011, Perfect loss 0.0012
2022-09-01 17:34:41.357127 Epoch 5, Train loss 0.0096, , Val loss 0.0071, Perfect loss 0.0012
2022-09-01 17:37:31.016834 Epoch 6, Train loss 0.0073, , Val loss 0.0067, Perfect loss 0.0012
2022-09-01 17:40:17.535268 Epoch 7, Train loss 0.0066, , Val loss 0.0058, Perfect loss 0.0012
2022-09-01 17:43:03.774604 Epoch 8, Train loss 0.0056, , Val loss 0.0046, Perfect loss 0.0012
2022-09-01 17:45:53.627196 Epoch 9, Train loss 0.0056, , Val loss 0.0046, Perfect loss 0.0012
2022-09-01 17:48:42.497582 Epoch 10, Train loss 0.0052, , Val loss 0.0052, Perfect loss 0.0012
2022-09-01 17:51:33.081544 Epoch 11, Train loss 0.005, , Val loss 0.0044, Perfect loss 0.0012
2022-09-01 17:54:38.443144 Epoch 12, Train loss 0.0044, , Val loss 0.0042, Perfect loss 0.0012
2022-09-01 18:00:27.099959 Epoch 1, Train loss 0.0579, , Val loss 0.0449, Perfect loss 0.0012
2022-09-01 18:03:20.069176 Epoch 2, Train loss 0.0266, , Val loss 0.0174, Perfect loss 0.0012
2022-09-01 18:06:01.463401 Epoch 3, Train loss 0.0134, , Val loss 0.0108, Perfect loss 0.0012
2022-09-01 18:08:42.687025 Epoch 4, Train loss 0.0093, , Val loss 0.0095, Perfect loss 0.0012
2022-09-01 18:11:22.159401 Epoch 5, Train loss 0.0072, , Val loss 0.0065, Perfect loss 0.0012
2022-09-01 18:14:06.269016 Epoch 6, Train loss 0.0059, , Val loss 0.0057, Perfect loss 0.0012
2022-09-01 18:16:53.034619 Epoch 7, Train loss 0.0053, , Val loss 0.0049, Perfect loss 0.0012
2022-09-01 18:19:42.790698 Epoch 8, Train loss 0.0051, , Val loss 0.0042, Perfect loss 0.0012
2022-09-01 18:22:25.399874 Epoch 9, Train loss 0.005, , Val loss 0.0039, Perfect loss 0.0012
2022-09-01 18:25:14.513721 Epoch 10, Train loss 0.0045, , Val loss 0.0041, Perfect loss 0.0012
2022-09-01 18:27:56.113524 Epoch 11, Train loss 0.0043, , Val loss 0.0031, Perfect loss 0.0012
