2022-08-31 02:30:35.110085 Epoch 1, Train loss 0.619, , Val loss 0.5873, Perfect loss 0.0012
2022-08-31 02:33:35.865706 Epoch 2, Train loss 0.5846, , Val loss 0.5747, Perfect loss 0.0012
2022-08-31 02:36:38.694872 Epoch 3, Train loss 0.5723, , Val loss 0.5665, Perfect loss 0.0012
2022-08-31 02:39:44.844177 Epoch 4, Train loss 0.5711, , Val loss 0.5635, Perfect loss 0.0012
2022-08-31 02:42:44.191342 Epoch 5, Train loss 0.5549, , Val loss 0.548, Perfect loss 0.0012
2022-08-31 02:50:55.960551 Epoch 1, Train loss 1.2301, , Val loss 1.1518, Perfect loss 0.0012
2022-08-31 02:53:33.766124 Epoch 2, Train loss 1.0806, , Val loss 1.0458, Perfect loss 0.0012
2022-08-31 02:56:10.433580 Epoch 3, Train loss 0.9897, , Val loss 0.9632, Perfect loss 0.0012
2022-08-31 02:58:50.197374 Epoch 4, Train loss 0.93, , Val loss 0.9151, Perfect loss 0.0012
2022-08-31 03:01:34.310385 Epoch 5, Train loss 0.8771, , Val loss 0.8733, Perfect loss 0.0012
2022-08-31 03:04:19.179957 Epoch 6, Train loss 0.8398, , Val loss 0.8354, Perfect loss 0.0012
2022-08-31 03:07:02.549957 Epoch 7, Train loss 0.7963, , Val loss 0.8046, Perfect loss 0.0013
2022-08-31 03:09:45.292805 Epoch 8, Train loss 0.7568, , Val loss 0.757, Perfect loss 0.0013
2022-08-31 03:12:32.308887 Epoch 9, Train loss 0.7212, , Val loss 0.7271, Perfect loss 0.0013
2022-08-31 03:15:16.958519 Epoch 10, Train loss 0.6876, , Val loss 0.7014, Perfect loss 0.0013
2022-08-31 03:18:02.683044 Epoch 11, Train loss 0.6519, , Val loss 0.671, Perfect loss 0.0013
2022-08-31 03:20:48.749327 Epoch 12, Train loss 0.619, , Val loss 0.6486, Perfect loss 0.0013
2022-08-31 03:23:38.487934 Epoch 13, Train loss 0.5855, , Val loss 0.6161, Perfect loss 0.0013
2022-08-31 03:26:19.916289 Epoch 14, Train loss 0.5583, , Val loss 0.5859, Perfect loss 0.0013
2022-08-31 03:28:54.382326 Epoch 15, Train loss 0.5272, , Val loss 0.5653, Perfect loss 0.0013
2022-08-31 03:31:29.541673 Epoch 16, Train loss 0.5033, , Val loss 0.5419, Perfect loss 0.0013
2022-08-31 03:34:04.387020 Epoch 17, Train loss 0.4805, , Val loss 0.5225, Perfect loss 0.0013
2022-08-31 03:36:38.969490 Epoch 18, Train loss 0.4601, , Val loss 0.5041, Perfect loss 0.0013
2022-08-31 03:39:13.630229 Epoch 19, Train loss 0.4319, , Val loss 0.4763, Perfect loss 0.0013
2022-08-31 03:41:48.305305 Epoch 20, Train loss 0.4135, , Val loss 0.4717, Perfect loss 0.0013
2022-08-31 03:44:23.484693 Epoch 21, Train loss 0.388, , Val loss 0.4618, Perfect loss 0.0013
2022-08-31 03:46:58.378285 Epoch 22, Train loss 0.374, , Val loss 0.4409, Perfect loss 0.0013
2022-08-31 03:49:33.238124 Epoch 23, Train loss 0.3512, , Val loss 0.4089, Perfect loss 0.0013
2022-08-31 03:52:08.009699 Epoch 24, Train loss 0.3386, , Val loss 0.4136, Perfect loss 0.0013
2022-08-31 03:54:42.323331 Epoch 25, Train loss 0.3235, , Val loss 0.3922, Perfect loss 0.0013
2022-08-31 03:57:17.131127 Epoch 26, Train loss 0.3062, , Val loss 0.3713, Perfect loss 0.0013
2022-08-31 03:59:51.599381 Epoch 27, Train loss 0.2922, , Val loss 0.3717, Perfect loss 0.0013
2022-08-31 04:02:26.594816 Epoch 28, Train loss 0.2774, , Val loss 0.3555, Perfect loss 0.0014
2022-08-31 04:05:01.209917 Epoch 29, Train loss 0.2654, , Val loss 0.3331, Perfect loss 0.0014
2022-08-31 04:07:35.836331 Epoch 30, Train loss 0.2531, , Val loss 0.3348, Perfect loss 0.0014
2022-08-31 04:10:10.669142 Epoch 31, Train loss 0.2578, , Val loss 0.3272, Perfect loss 0.0014
2022-08-31 04:12:45.553458 Epoch 32, Train loss 0.2406, , Val loss 0.3258, Perfect loss 0.0014
2022-08-31 04:15:20.200004 Epoch 33, Train loss 0.2247, , Val loss 0.307, Perfect loss 0.0014
2022-08-31 04:17:54.744576 Epoch 34, Train loss 0.2205, , Val loss 0.3006, Perfect loss 0.0014
2022-08-31 04:20:29.296457 Epoch 35, Train loss 0.2091, , Val loss 0.2866, Perfect loss 0.0014
2022-08-31 04:23:04.115899 Epoch 36, Train loss 0.2026, , Val loss 0.291, Perfect loss 0.0014
2022-08-31 04:25:38.575489 Epoch 37, Train loss 0.1877, , Val loss 0.273, Perfect loss 0.0014
2022-08-31 04:28:13.033216 Epoch 38, Train loss 0.1855, , Val loss 0.2677, Perfect loss 0.0014
2022-08-31 04:30:47.305989 Epoch 39, Train loss 0.1806, , Val loss 0.2723, Perfect loss 0.0014
2022-08-31 04:33:23.389505 Epoch 40, Train loss 0.1853, , Val loss 0.2486, Perfect loss 0.0014
2022-08-31 04:35:58.484445 Epoch 41, Train loss 0.1621, , Val loss 0.2549, Perfect loss 0.0014
2022-08-31 04:38:33.665759 Epoch 42, Train loss 0.1617, , Val loss 0.2458, Perfect loss 0.0014
2022-08-31 04:41:08.033051 Epoch 43, Train loss 0.1618, , Val loss 0.2458, Perfect loss 0.0014
2022-08-31 04:43:42.558841 Epoch 44, Train loss 0.1525, , Val loss 0.2423, Perfect loss 0.0014
2022-08-31 04:46:17.246988 Epoch 45, Train loss 0.1491, , Val loss 0.2333, Perfect loss 0.0014
2022-08-31 04:48:52.459478 Epoch 46, Train loss 0.1372, , Val loss 0.2396, Perfect loss 0.0014
2022-08-31 04:51:26.908079 Epoch 47, Train loss 0.1304, , Val loss 0.2275, Perfect loss 0.0014
2022-08-31 04:54:01.351138 Epoch 48, Train loss 0.1312, , Val loss 0.2574, Perfect loss 0.0014
2022-08-31 04:56:36.030634 Epoch 49, Train loss 0.1453, , Val loss 0.2675, Perfect loss 0.0014
2022-08-31 04:59:10.848330 Epoch 50, Train loss 0.1206, , Val loss 0.2107, Perfect loss 0.0015
2022-08-31 05:01:45.829408 Epoch 51, Train loss 0.1347, , Val loss 0.2275, Perfect loss 0.0015
2022-08-31 05:04:20.182288 Epoch 52, Train loss 0.123, , Val loss 0.227, Perfect loss 0.0015
2022-08-31 05:06:54.692050 Epoch 53, Train loss 0.1215, , Val loss 0.2531, Perfect loss 0.0015
2022-08-31 05:09:29.284235 Epoch 54, Train loss 0.1195, , Val loss 0.2294, Perfect loss 0.0015
2022-08-31 05:12:03.897955 Epoch 55, Train loss 0.1147, , Val loss 0.2253, Perfect loss 0.0015
2022-08-31 05:14:38.567944 Epoch 56, Train loss 0.1132, , Val loss 0.2096, Perfect loss 0.0015
2022-08-31 05:17:13.175486 Epoch 57, Train loss 0.1065, , Val loss 0.2064, Perfect loss 0.0015
2022-08-31 05:19:47.973353 Epoch 58, Train loss 0.1086, , Val loss 0.219, Perfect loss 0.0015
2022-08-31 05:22:22.769519 Epoch 59, Train loss 0.1014, , Val loss 0.2204, Perfect loss 0.0015
2022-08-31 05:24:57.259669 Epoch 60, Train loss 0.1049, , Val loss 0.2099, Perfect loss 0.0015
