2022-08-31 12:52:44.994423 Epoch 1, Train loss 0.0661, , Val loss 0.0329, Perfect loss 0.0012
2022-08-31 12:58:08.168322 Epoch 1, Train loss 0.0616, , Val loss 0.0425, Perfect loss 0.0012
2022-08-31 13:00:59.964760 Epoch 2, Train loss 0.0294, , Val loss 0.0253, Perfect loss 0.0012
2022-08-31 13:03:56.304395 Epoch 3, Train loss 0.0183, , Val loss 0.0196, Perfect loss 0.0012
2022-08-31 13:06:48.346701 Epoch 4, Train loss 0.0151, , Val loss 0.0195, Perfect loss 0.0012
2022-08-31 13:09:40.098860 Epoch 5, Train loss 0.012, , Val loss 0.0166, Perfect loss 0.0012
2022-08-31 13:12:30.229489 Epoch 6, Train loss 0.0105, , Val loss 0.0133, Perfect loss 0.0012
2022-08-31 13:15:20.658341 Epoch 7, Train loss 0.0097, , Val loss 0.0111, Perfect loss 0.0013
2022-08-31 13:18:30.464021 Epoch 8, Train loss 0.0087, , Val loss 0.0122, Perfect loss 0.0013
2022-08-31 13:21:20.508967 Epoch 9, Train loss 0.0088, , Val loss 0.0103, Perfect loss 0.0013
2022-08-31 13:24:11.252935 Epoch 10, Train loss 0.0082, , Val loss 0.0111, Perfect loss 0.0013
2022-08-31 13:27:02.829903 Epoch 11, Train loss 0.0076, , Val loss 0.0097, Perfect loss 0.0013
2022-08-31 13:29:51.509697 Epoch 12, Train loss 0.0068, , Val loss 0.0085, Perfect loss 0.0013
2022-08-31 13:32:41.039606 Epoch 13, Train loss 0.0067, , Val loss 0.011, Perfect loss 0.0013
2022-08-31 13:36:42.798911 Epoch 11, Train loss 0.0079, , Val loss 0.0109, Perfect loss 0.0013
2022-08-31 13:39:26.402824 Epoch 12, Train loss 0.008, , Val loss 0.0105, Perfect loss 0.0013
2022-08-31 13:42:10.653462 Epoch 13, Train loss 0.0069, , Val loss 0.0081, Perfect loss 0.0013
2022-08-31 13:44:52.758489 Epoch 14, Train loss 0.0065, , Val loss 0.0105, Perfect loss 0.0013
2022-08-31 13:47:34.676797 Epoch 15, Train loss 0.0065, , Val loss 0.0092, Perfect loss 0.0013
2022-08-31 13:50:17.960132 Epoch 16, Train loss 0.0066, , Val loss 0.0084, Perfect loss 0.0013
2022-08-31 13:53:01.656576 Epoch 17, Train loss 0.0061, , Val loss 0.0085, Perfect loss 0.0013
2022-08-31 13:55:44.713235 Epoch 18, Train loss 0.0053, , Val loss 0.0066, Perfect loss 0.0013
2022-08-31 13:58:26.529104 Epoch 19, Train loss 0.0053, , Val loss 0.0079, Perfect loss 0.0013
2022-08-31 14:01:08.948684 Epoch 20, Train loss 0.0056, , Val loss 0.0082, Perfect loss 0.0013
2022-08-31 14:03:51.470968 Epoch 21, Train loss 0.006, , Val loss 0.0077, Perfect loss 0.0013
2022-08-31 14:06:33.265682 Epoch 22, Train loss 0.005, , Val loss 0.0082, Perfect loss 0.0013
2022-08-31 14:09:16.463738 Epoch 23, Train loss 0.0054, , Val loss 0.0088, Perfect loss 0.0013
2022-08-31 14:12:00.055887 Epoch 24, Train loss 0.0054, , Val loss 0.0081, Perfect loss 0.0013
2022-08-31 14:14:41.355690 Epoch 25, Train loss 0.0052, , Val loss 0.0064, Perfect loss 0.0013
2022-08-31 14:17:21.885215 Epoch 26, Train loss 0.0051, , Val loss 0.0073, Perfect loss 0.0013
2022-08-31 14:20:02.613318 Epoch 27, Train loss 0.0049, , Val loss 0.0062, Perfect loss 0.0013
2022-08-31 14:22:45.965609 Epoch 28, Train loss 0.0041, , Val loss 0.0059, Perfect loss 0.0013
2022-08-31 14:25:28.397362 Epoch 29, Train loss 0.004, , Val loss 0.0061, Perfect loss 0.0013
2022-08-31 14:28:07.803543 Epoch 30, Train loss 0.0048, , Val loss 0.0069, Perfect loss 0.0013
2022-08-31 14:30:48.248718 Epoch 31, Train loss 0.0049, , Val loss 0.0064, Perfect loss 0.0013
2022-08-31 14:33:38.316682 Epoch 32, Train loss 0.0048, , Val loss 0.0074, Perfect loss 0.0013
2022-08-31 14:36:23.542870 Epoch 33, Train loss 0.0048, , Val loss 0.0064, Perfect loss 0.0013
2022-08-31 14:39:08.442009 Epoch 34, Train loss 0.0042, , Val loss 0.007, Perfect loss 0.0013
2022-08-31 14:41:48.493165 Epoch 35, Train loss 0.0043, , Val loss 0.0045, Perfect loss 0.0013
2022-08-31 14:44:40.413458 Epoch 36, Train loss 0.0041, , Val loss 0.01, Perfect loss 0.0013
2022-08-31 14:47:15.633481 Epoch 37, Train loss 0.004, , Val loss 0.006, Perfect loss 0.0013
2022-08-31 14:49:50.863560 Epoch 38, Train loss 0.0042, , Val loss 0.0063, Perfect loss 0.0013
2022-08-31 14:52:31.803592 Epoch 39, Train loss 0.0047, , Val loss 0.0056, Perfect loss 0.0013
2022-08-31 14:55:10.296037 Epoch 40, Train loss 0.0042, , Val loss 0.0052, Perfect loss 0.0013
2022-08-31 14:57:49.571291 Epoch 41, Train loss 0.004, , Val loss 0.006, Perfect loss 0.0013
2022-08-31 15:00:27.793120 Epoch 42, Train loss 0.0043, , Val loss 0.007, Perfect loss 0.0013
2022-08-31 15:03:06.312989 Epoch 43, Train loss 0.004, , Val loss 0.0057, Perfect loss 0.0013
2022-08-31 15:05:44.939631 Epoch 44, Train loss 0.0041, , Val loss 0.0057, Perfect loss 0.0013
2022-08-31 15:08:24.581249 Epoch 45, Train loss 0.0038, , Val loss 0.0063, Perfect loss 0.0013
2022-08-31 15:11:04.039133 Epoch 46, Train loss 0.0038, , Val loss 0.0056, Perfect loss 0.0013
2022-08-31 15:13:41.390260 Epoch 47, Train loss 0.0039, , Val loss 0.0056, Perfect loss 0.0013
2022-08-31 15:16:24.878890 Epoch 48, Train loss 0.004, , Val loss 0.006, Perfect loss 0.0013
2022-08-31 15:19:06.810324 Epoch 49, Train loss 0.0035, , Val loss 0.0057, Perfect loss 0.0013
2022-08-31 15:21:49.838409 Epoch 50, Train loss 0.0041, , Val loss 0.0063, Perfect loss 0.0013
2022-08-31 15:24:51.474334 Epoch 51, Train loss 0.0038, , Val loss 0.0051, Perfect loss 0.0013
2022-08-31 15:30:52.521246 Epoch 52, Train loss 0.0037, , Val loss 0.0056, Perfect loss 0.0013
2022-08-31 15:37:02.006624 Epoch 53, Train loss 0.0037, , Val loss 0.0053, Perfect loss 0.0013
2022-08-31 15:42:57.511759 Epoch 54, Train loss 0.0038, , Val loss 0.0053, Perfect loss 0.0013
2022-08-31 15:46:12.475008 Epoch 55, Train loss 0.0037, , Val loss 0.0056, Perfect loss 0.0013
2022-08-31 15:49:24.605932 Epoch 56, Train loss 0.0038, , Val loss 0.0058, Perfect loss 0.0013
2022-08-31 15:52:01.658293 Epoch 57, Train loss 0.0036, , Val loss 0.0053, Perfect loss 0.0013
2022-08-31 15:54:40.033246 Epoch 58, Train loss 0.0037, , Val loss 0.0061, Perfect loss 0.0013
2022-08-31 15:57:23.932557 Epoch 59, Train loss 0.0033, , Val loss 0.0051, Perfect loss 0.0013
2022-08-31 16:00:03.155591 Epoch 60, Train loss 0.0033, , Val loss 0.0047, Perfect loss 0.0013
