2022-08-21 05:45:47.695040 Epoch 1, Train loss 0.4881, , Val loss 0.3066, Perfect loss 0.0012
2022-08-21 05:48:52.173435 Epoch 2, Train loss 0.2906, , Val loss 0.2552, Perfect loss 0.0012
2022-08-21 05:51:53.659871 Epoch 3, Train loss 0.2792, , Val loss 0.2527, Perfect loss 0.0012
2022-08-21 05:54:55.750882 Epoch 4, Train loss 0.258, , Val loss 0.2449, Perfect loss 0.0012
2022-08-21 05:57:58.547070 Epoch 5, Train loss 0.2474, , Val loss 0.2361, Perfect loss 0.0012
2022-08-21 06:01:02.071911 Epoch 6, Train loss 0.2376, , Val loss 0.228, Perfect loss 0.0012
2022-08-21 06:04:03.725836 Epoch 7, Train loss 0.2286, , Val loss 0.2086, Perfect loss 0.0012
2022-08-21 06:07:07.033136 Epoch 8, Train loss 0.1948, , Val loss 0.1716, Perfect loss 0.0012
2022-08-21 06:10:10.586084 Epoch 9, Train loss 0.2372, , Val loss 0.1262, Perfect loss 0.0012
2022-08-21 06:13:19.805678 Epoch 10, Train loss 0.118, , Val loss 0.0675, Perfect loss 0.0012
2022-08-21 06:16:21.218320 Epoch 11, Train loss 0.0504, , Val loss 0.0563, Perfect loss 0.0012
2022-08-21 06:19:25.157810 Epoch 12, Train loss 0.0251, , Val loss 0.013, Perfect loss 0.0012
2022-08-21 06:22:20.852505 Epoch 13, Train loss 0.0128, , Val loss 0.0101, Perfect loss 0.0012
2022-08-21 06:25:29.005231 Epoch 14, Train loss 0.0112, , Val loss 0.0065, Perfect loss 0.0012
2022-08-21 06:27:57.399292 Epoch 15, Train loss 0.0158, , Val loss 0.0367, Perfect loss 0.0012
2022-08-21 06:30:05.876849 Epoch 16, Train loss 0.0784, , Val loss 0.0212, Perfect loss 0.0012
2022-08-21 06:32:57.404700 Epoch 17, Train loss 0.0158, , Val loss 0.0057, Perfect loss 0.0012
2022-08-21 06:36:18.023686 Epoch 18, Train loss 0.0118, , Val loss 0.0036, Perfect loss 0.0012
