2022-09-01 00:21:07.898004 Epoch 1, Train loss 0.7069, , Val loss 0.7062, Perfect loss 0.0012
2022-09-01 00:23:53.417516 Epoch 2, Train loss 0.6439, , Val loss 0.7061, Perfect loss 0.0012
2022-09-01 00:27:26.367323 Epoch 1, Train loss 0.0686, , Val loss 0.0489, Perfect loss 0.0012
2022-09-01 00:30:15.331855 Epoch 2, Train loss 0.0366, , Val loss 0.0372, Perfect loss 0.0012
2022-09-01 00:33:02.683599 Epoch 3, Train loss 0.0274, , Val loss 0.0297, Perfect loss 0.0012
2022-09-01 00:35:48.762145 Epoch 4, Train loss 0.0233, , Val loss 0.0243, Perfect loss 0.0012
2022-09-01 00:38:34.773852 Epoch 5, Train loss 0.0207, , Val loss 0.0268, Perfect loss 0.0012
2022-09-01 00:41:21.260253 Epoch 6, Train loss 0.0179, , Val loss 0.0223, Perfect loss 0.0013
2022-09-01 00:44:05.108674 Epoch 7, Train loss 0.0174, , Val loss 0.0218, Perfect loss 0.0013
2022-09-01 00:46:50.098809 Epoch 8, Train loss 0.0174, , Val loss 0.021, Perfect loss 0.0013
2022-09-01 00:49:35.674619 Epoch 9, Train loss 0.0149, , Val loss 0.019, Perfect loss 0.0013
2022-09-01 00:52:20.854195 Epoch 10, Train loss 0.0146, , Val loss 0.0203, Perfect loss 0.0013
2022-09-01 01:00:25.090261 Epoch 1, Train loss 0.067, , Val loss 0.0632, Perfect loss 0.0314
2022-09-01 01:03:13.298435 Epoch 2, Train loss 0.0639, , Val loss 0.0621, Perfect loss 0.0314
2022-09-01 01:06:12.097286 Epoch 3, Train loss 0.0634, , Val loss 0.0616, Perfect loss 0.0314
2022-09-01 01:09:02.073581 Epoch 4, Train loss 0.0621, , Val loss 0.0598, Perfect loss 0.0314
2022-09-01 01:13:44.514667 Epoch 1, Train loss 0.0473, , Val loss 0.0299, Perfect loss 0.0012
2022-09-01 01:16:38.619258 Epoch 2, Train loss 0.0214, , Val loss 0.0165, Perfect loss 0.0012
2022-09-01 01:19:31.306219 Epoch 3, Train loss 0.0135, , Val loss 0.011, Perfect loss 0.0012
2022-09-01 01:22:29.606028 Epoch 4, Train loss 0.0096, , Val loss 0.0093, Perfect loss 0.0012
2022-09-01 01:25:24.181616 Epoch 5, Train loss 0.0081, , Val loss 0.0074, Perfect loss 0.0012
