2022-08-20 19:48:14.147160 Epoch 1, Train loss 0.498, , Val loss 0.4117, Perfect loss 0.0012
2022-08-20 19:54:33.948737 Epoch 2, Train loss 0.3215, , Val loss 0.3674, Perfect loss 0.0012
2022-08-20 20:00:49.151913 Epoch 3, Train loss 0.2711, , Val loss 0.3803, Perfect loss 0.0012
2022-08-20 20:05:18.914272 Epoch 4, Train loss 0.2296, , Val loss 0.4901, Perfect loss 0.0012
2022-08-20 20:08:07.378156 Epoch 5, Train loss 0.1293, , Val loss 0.2224, Perfect loss 0.0012
2022-08-20 20:10:51.814519 Epoch 6, Train loss 0.0976, , Val loss 0.3146, Perfect loss 0.0012
2022-08-20 20:13:38.413785 Epoch 7, Train loss 0.0817, , Val loss 0.2432, Perfect loss 0.0012
2022-08-20 20:16:25.639462 Epoch 8, Train loss 0.0761, , Val loss 0.2146, Perfect loss 0.0012
2022-08-20 20:19:13.611616 Epoch 9, Train loss 0.0733, , Val loss 0.2602, Perfect loss 0.0012
2022-08-20 20:22:00.870210 Epoch 10, Train loss 0.0597, , Val loss 0.2466, Perfect loss 0.0012
2022-08-20 20:24:48.693106 Epoch 11, Train loss 0.0582, , Val loss 0.2476, Perfect loss 0.0012
2022-08-20 20:31:16.778294 Epoch 12, Train loss 0.0643, , Val loss 0.1685, Perfect loss 0.0012
2022-08-20 20:38:33.306446 Epoch 13, Train loss 0.0545, , Val loss 0.1602, Perfect loss 0.0012
2022-08-20 20:45:35.514799 Epoch 14, Train loss 0.0548, , Val loss 0.2542, Perfect loss 0.0013
2022-08-20 20:52:49.297382 Epoch 15, Train loss 0.0553, , Val loss 0.2407, Perfect loss 0.0013
2022-08-20 20:57:17.597543 Epoch 16, Train loss 0.0561, , Val loss 0.1962, Perfect loss 0.0013
2022-08-20 21:00:08.169062 Epoch 17, Train loss 0.0478, , Val loss 0.2249, Perfect loss 0.0013
2022-08-20 21:02:57.192242 Epoch 18, Train loss 0.0412, , Val loss 0.181, Perfect loss 0.0013
2022-08-20 21:05:49.099887 Epoch 19, Train loss 0.0439, , Val loss 0.2123, Perfect loss 0.0013
2022-08-20 21:08:32.155170 Epoch 20, Train loss 0.0421, , Val loss 0.3132, Perfect loss 0.0013
2022-08-20 21:11:19.326538 Epoch 21, Train loss 0.0425, , Val loss 0.2879, Perfect loss 0.0013
2022-08-20 21:14:08.770902 Epoch 22, Train loss 0.0454, , Val loss 0.1951, Perfect loss 0.0013
2022-08-20 21:16:55.626039 Epoch 23, Train loss 0.038, , Val loss 0.235, Perfect loss 0.0013
2022-08-20 21:19:45.236164 Epoch 24, Train loss 0.0481, , Val loss 0.2714, Perfect loss 0.0013
2022-08-20 21:22:25.971395 Epoch 25, Train loss 0.0441, , Val loss 0.2227, Perfect loss 0.0013
2022-08-20 21:25:06.575272 Epoch 26, Train loss 0.0454, , Val loss 0.1625, Perfect loss 0.0013
2022-08-20 21:27:45.999712 Epoch 27, Train loss 0.0362, , Val loss 0.2701, Perfect loss 0.0013
2022-08-20 21:30:25.535607 Epoch 28, Train loss 0.0333, , Val loss 0.2182, Perfect loss 0.0013
2022-08-20 21:33:05.122841 Epoch 29, Train loss 0.0368, , Val loss 0.3102, Perfect loss 0.0013
2022-08-20 21:35:44.498171 Epoch 30, Train loss 0.0339, , Val loss 0.239, Perfect loss 0.0013
