2022-08-21 08:07:28.649564 Epoch 1, Train loss 0.6676, , loss_ez: 0.6862, loss_hd 0.6466, Val loss 0.5921, Perfect loss 0.0012
2022-08-21 08:19:01.572846 Epoch 1, Train loss 0.4122, , loss_ez: 0.431, loss_hd 0.3911, Val loss 0.2284, Perfect loss 0.0012
2022-08-21 08:21:56.458932 Epoch 2, Train loss 0.2036, , loss_ez: 0.2121, loss_hd 0.1926, Val loss 0.1678, Perfect loss 0.0012
2022-08-21 08:24:40.599441 Epoch 3, Train loss 0.173, , loss_ez: 0.1739, loss_hd 0.1696, Val loss 0.1633, Perfect loss 0.0012
2022-08-21 08:27:22.034014 Epoch 4, Train loss 0.1631, , loss_ez: 0.1627, loss_hd 0.161, Val loss 0.1557, Perfect loss 0.0012
2022-08-21 08:30:03.786704 Epoch 5, Train loss 0.1518, , loss_ez: 0.1511, loss_hd 0.15, Val loss 0.1436, Perfect loss 0.0012
2022-08-21 08:33:29.819120 Epoch 6, Train loss 0.1331, , loss_ez: 0.1327, loss_hd 0.131, Val loss 0.1146, Perfect loss 0.0012
2022-08-21 08:36:12.860661 Epoch 7, Train loss 0.0897, , loss_ez: 0.0895, loss_hd 0.0875, Val loss 0.064, Perfect loss 0.0012
2022-08-21 08:38:55.516097 Epoch 8, Train loss 0.0553, , loss_ez: 0.0569, loss_hd 0.0512, Val loss 0.2391, Perfect loss 0.0012
2022-08-21 08:41:38.565491 Epoch 9, Train loss 0.0987, , loss_ez: 0.105, loss_hd 0.0899, Val loss 0.1565, Perfect loss 0.0012
2022-08-21 08:44:21.849334 Epoch 10, Train loss 0.0206, , loss_ez: 0.024, loss_hd 0.0147, Val loss 0.0129, Perfect loss 0.0012
2022-08-21 08:47:10.302861 Epoch 11, Train loss 0.005, , loss_ez: 0.0037, loss_hd 0.0037, Val loss 0.0024, Perfect loss 0.0012
2022-08-21 08:50:50.874156 Epoch 12, Train loss 0.0049, , loss_ez: 0.0053, loss_hd 0.0021, Val loss 0.0015, Perfect loss 0.0012
2022-08-21 08:53:30.501291 Epoch 13, Train loss 0.0026, , loss_ez: 0.0014, loss_hd 0.0014, Val loss 0.001, Perfect loss 0.0012
2022-08-21 08:56:09.336998 Epoch 14, Train loss 0.0055, , loss_ez: 0.0075, loss_hd 0.001, Val loss 0.0007, Perfect loss 0.0012
2022-08-21 08:58:48.679954 Epoch 15, Train loss 0.002, , loss_ez: 0.0007, loss_hd 0.0008, Val loss 0.0006, Perfect loss 0.0012
2022-08-21 09:01:28.146882 Epoch 16, Train loss 0.0051, , loss_ez: 0.0071, loss_hd 0.0006, Val loss 0.0005, Perfect loss 0.0012
2022-08-21 09:04:08.521304 Epoch 17, Train loss 0.0033, , loss_ez: 0.0037, loss_hd 0.0005, Val loss 0.0003, Perfect loss 0.0012
2022-08-21 09:07:35.313220 Epoch 18, Train loss 0.0049, , loss_ez: 0.0069, loss_hd 0.0004, Val loss 0.0003, Perfect loss 0.0012
