2022-08-22 19:39:55.963323 Epoch 1, Train loss 0.5804, , Val loss 0.3368, Perfect loss 0.0034
2022-08-22 19:41:46.585196 Epoch 2, Train loss 0.4266, , Val loss 0.1416, Perfect loss 0.0034
2022-08-22 19:43:27.215531 Epoch 3, Train loss 0.1382, , Val loss 0.0898, Perfect loss 0.0034
2022-08-22 19:45:05.779744 Epoch 4, Train loss 0.078, , Val loss 0.0352, Perfect loss 0.0034
2022-08-22 19:46:44.201426 Epoch 5, Train loss 0.0429, , Val loss 0.0311, Perfect loss 0.0034
2022-08-22 19:49:11.123362 Epoch 6, Train loss 0.0389, , Val loss 0.0162, Perfect loss 0.0034
2022-08-22 19:52:18.929008 Epoch 7, Train loss 0.0207, , Val loss 0.0111, Perfect loss 0.0034
2022-08-22 19:55:23.965046 Epoch 8, Train loss 0.0786, , Val loss 0.0224, Perfect loss 0.0034
2022-08-22 19:59:00.338492 Epoch 9, Train loss 0.0311, , Val loss 0.0239, Perfect loss 0.0034
2022-08-22 20:01:55.698445 Epoch 10, Train loss 0.0213, , Val loss 0.0125, Perfect loss 0.0034
2022-08-22 20:03:33.070650 Epoch 11, Train loss 0.0122, , Val loss 0.0047, Perfect loss 0.0034
2022-08-22 20:05:09.055795 Epoch 12, Train loss 0.0179, , Val loss 0.0047, Perfect loss 0.0034
2022-08-22 20:06:46.259775 Epoch 13, Train loss 0.0209, , Val loss 0.0049, Perfect loss 0.0034
2022-08-22 20:08:23.011092 Epoch 14, Train loss 0.017, , Val loss 0.0039, Perfect loss 0.0034
2022-08-22 20:09:59.785283 Epoch 15, Train loss 0.0066, , Val loss 0.0184, Perfect loss 0.0035
2022-08-22 20:11:37.275519 Epoch 16, Train loss 0.0136, , Val loss 0.0021, Perfect loss 0.0035
2022-08-22 20:13:14.278001 Epoch 17, Train loss 0.0096, , Val loss 0.0027, Perfect loss 0.0035
2022-08-22 20:14:50.631056 Epoch 18, Train loss -0.0088, , Val loss 0.0082, Perfect loss 0.0035
2022-08-22 20:16:27.683553 Epoch 19, Train loss 0.0145, , Val loss 0.018, Perfect loss 0.0035
2022-08-22 20:18:03.597177 Epoch 20, Train loss 0.0232, , Val loss 0.0529, Perfect loss 0.0035
2022-08-22 20:19:40.745181 Epoch 21, Train loss 0.0124, , Val loss 0.0014, Perfect loss 0.0035
2022-08-22 20:21:17.922155 Epoch 22, Train loss 0.0075, , Val loss 0.0011, Perfect loss 0.0034
2022-08-22 20:22:54.673056 Epoch 23, Train loss 0.0079, , Val loss 0.0009, Perfect loss 0.0035
2022-08-22 20:24:30.973976 Epoch 24, Train loss 0.0045, , Val loss 0.0008, Perfect loss 0.0035
2022-08-22 20:26:07.999675 Epoch 25, Train loss 0.0043, , Val loss 0.0008, Perfect loss 0.0035
2022-08-22 20:27:44.300351 Epoch 26, Train loss 0.0115, , Val loss 0.0007, Perfect loss 0.0035
2022-08-22 20:29:20.659652 Epoch 27, Train loss 0.0388, , Val loss 0.0668, Perfect loss 0.0035
2022-08-22 20:30:57.643596 Epoch 28, Train loss 0.0233, , Val loss 0.0021, Perfect loss 0.0035
2022-08-22 20:32:34.080125 Epoch 29, Train loss 0.0067, , Val loss 0.0174, Perfect loss 0.0035
2022-08-22 20:34:09.297380 Epoch 30, Train loss 0.0084, , Val loss 0.001, Perfect loss 0.0035
2022-08-22 20:35:46.716545 Epoch 31, Train loss 0.0117, , Val loss 0.0175, Perfect loss 0.0035
2022-08-22 20:37:22.343617 Epoch 32, Train loss 0.0082, , Val loss 0.0017, Perfect loss 0.0035
2022-08-22 20:38:58.732180 Epoch 33, Train loss 0.005, , Val loss 0.0008, Perfect loss 0.0035
2022-08-22 20:40:36.521754 Epoch 34, Train loss 0.0042, , Val loss 0.0006, Perfect loss 0.0035
2022-08-22 20:42:13.007757 Epoch 35, Train loss 0.0401, , Val loss 0.0015, Perfect loss 0.0035
2022-08-22 20:43:48.663403 Epoch 36, Train loss 0.0165, , Val loss 0.0036, Perfect loss 0.0035
2022-08-22 20:45:25.812792 Epoch 37, Train loss 0.0203, , Val loss 0.0172, Perfect loss 0.0035
2022-08-22 20:47:02.236745 Epoch 38, Train loss 0.0304, , Val loss 0.0021, Perfect loss 0.0035
2022-08-22 20:48:39.121564 Epoch 39, Train loss 0.0062, , Val loss 0.0009, Perfect loss 0.0035
2022-08-22 20:50:19.615346 Epoch 40, Train loss 0.0077, , Val loss 0.0007, Perfect loss 0.0035
2022-08-22 20:52:01.881554 Epoch 41, Train loss 0.0075, , Val loss 0.0167, Perfect loss 0.0035
2022-08-22 20:53:39.638401 Epoch 42, Train loss 0.0074, , Val loss 0.0005, Perfect loss 0.0035
2022-08-22 20:55:17.980251 Epoch 43, Train loss 0.004, , Val loss 0.0004, Perfect loss 0.0035
2022-08-22 20:57:00.456996 Epoch 44, Train loss 0.0039, , Val loss 0.0003, Perfect loss 0.0035
2022-08-22 20:58:49.841279 Epoch 45, Train loss 0.0039, , Val loss 0.0164, Perfect loss 0.0035
